Crunchbase Rank,Company Name,Total Funding,Number of Employees,Scraped Jobs Count
11,Coinbase,567309825,1001-5000,1136
11,Polygon,450450000,251-500,238
18,CoinDCX,243991362,251-500,46
20,Animoca Brands,1341462762,101-250,
23,Digital Currency Group,1300000000,51-100,21
26,NYDIG,1405000000,251-500,
34,Gemini,423903059,501-1000,251
36,Algorand,126000000,51-100,10
41,CertiK,300200000,101-250,
47,Amber Group,328000000,251-500,75
47,Amber Group,328000000,251-500,4
49,CoinList,119200000,11-50,79
68,Axie Infinity,9000000,11-50,
70,Wyre,29146000,101-250,13
82,OpenSea,427220000,101-250,200
85,Terra,58000000,11-50,38
86,Republic,214025000,101-250,
96,Argent,56211318,11-50,13
125,LayerZero Labs,143300000,11-50,5
137,NEAR Protocol,533700000,101-250,102
137,NEAR Protocol,533700000,101-250,7
145,Robinhood,5574623000,1001-5000,
148,Helium,364800000,101-250,14
152,Matrixport,100000000,101-250,30
155,DFINITY,166875499,101-250,131
173,Blockdaemon,398230000,101-250,93
178,Yuga Labs,450000000,11-50,
180,Figment,165009947,1-10,91
213,Circle,1111000000,501-1000,128
224,Solana,335760000,101-250,33
224,Solana,335760000,101-250,7
224,Solana,335760000,101-250,4
272,2TM,250300000,501-1000,
275,PolySign,80181196,11-50,2
279,21Shares,7959342,11-50,
290,Voyager,100110545,11-50,
334,StarkWare Industries,173000000,51-100,12
336,Ziglu,22918764,51-100,1
337,0x,108999960,11-50,33
352,Brave,42000000,101-250,73
353,Celsius Network,864260000,251-500,121
358,Binance.US,200000000,251-500,1
359,Securitize,100200000,51-100,16
361,Ledger,467959856,501-1000,114
393,Ava Labs,290050000,101-250,105
403,5ire,121000000,51-100,2
444,Forte,910000000,101-250,6
456,Worldcoin,125000000,101-250,66
469,Ethereum Foundation,18400000,51-100,19
469,Ethereum Foundation,18400000,51-100,9
470,Abra,148577110,51-100,23
474,Yield Guild Games Southeast Asia,15500000,101-250,
507,Flipside Crypto,61500000,11-50,17
523,Blockchain Capital,10000000,11-50,2
526,Bitso,378350000,251-500,85
541,BlockTower Capital,140000000,11-50,
542,Dapper Labs,607450000,101-250,135
542,Dapper Labs,607450000,101-250,7
543,Gate.io,64000000,101-250,13
549,Fasset,26700000,11-50,
573,WonderFi,49086002,11-50,
578,Crowdz,25767000,11-50,20
601,Aave,49000000,11-50,86
607,Bitpanda,546013472,501-1000,31
633,FTX US,400000000,101-250,26
637,Huobi,2000000,1001-5000,
638,Decentraland,25500000,1-10,
684,Stellar Development Foundation,3000000,51-100,78
704,Optimism,178500000,1-10,40
734,Prime Trust,69000000,251-500,
757,Aptos,200000000,11-50,22
757,Aptos,200000000,11-50,14
763,BitMart,10000000,11-50,
773,BlockApps,44121905,101-250,
782,Gitcoin,11800000,1-10,3
793,"Mintbase, Inc.",14500000,11-50,
812,Mina,136650000,,11
812,Mina,136650000,,1
823,Boba Network,45000000,11-50,
827,ConsenSys,725000000,501-1000,343
827,ConsenSys,725000000,501-1000,6
835,Drip Capital,375120000,101-250,
843,Serum,120150000,1-10,
858,Figure,1551588888,251-500,163
859,bitsCrunch,4350000,11-50,
906,RockX,6000000,11-50,
910,Afterparty,7000000,11-50,
910,Functionland,2215000,1-10,
919,Community Gaming,18475000,51-100,3
930,STEPN,5000000,11-50,
988,Okcoin,10000000,251-500,327
999,Enjin,61900000,51-100,
1052,Ankr,27320000,11-50,37
1052,Ankr,27320000,11-50,13
1060,Venly,24685283,11-50,3
1079,Gem,12500000,11-50,5
1109,RealBlocks,10820000,11-50,
1126,Bitwise,84500000,11-50,18
1128,Blockmetrix,89882000,1-10,
1130,dYdX,87000000,11-50,29
1146,Magic Eden,29500000,1-10,34
1151,Coinpanion,6522294,11-50,
1172,Minka,27500000,11-50,
1178,Rarible,15950000,1-10,46
1183,Dfns,14592408,11-50,
1200,Blockstream,299000000,101-250,38
1229,Roll,10120000,11-50,
1231,Nervos Network,128000000,11-50,2
1239,BitGo,69500000,101-250,362
1239,BitGo,69500000,101-250,1
1240,Recur,55000000,11-50,235
1240,Recur,55000000,11-50,1
1262,TRM Labs,79900000,51-100,34
1318,Vauld,27000000,11-50,84
1328,Spruce,41500000,1-10,1
1363,Nexo,52500000,101-250,22
1384,Unstoppable Domains,6955997,101-250,45
1393,KuCoin,20000000,501-1000,
1419,Chainlink,32000000,1-10,251
1419,Chainlink,32000000,1-10,108
1431,Core Scientific,169000000,101-250,
1433,CoinTracker,101620000,11-50,1
1449,Syndicate,27800000,,9
1472,Harmony,18000000,11-50,15
1487,Qredo,108513562,11-50,24
1499,Fractal,35000000,1-10,6
1499,Fractal,35000000,1-10,1
1504,Mudrex,9750000,11-50,
1511,Mythical Games,260000000,101-250,46
1519,Wirex,22861145,101-250,64
1521,Arweave,22000000,11-50,
1576,Tangany,7791221,11-50,52
1577,Decrypt,10000000,11-50,
1583,Zenith Chain,36340000,11-50,
