Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Ava Labs,https://boards.greenhouse.io/avalabs/jobs/4485582004,"Brooklyn, New York, United States",Product Support - Blockchain Specialist,,Jira:Community Management:Git:Blockchain:Confluence:Golang:JavaScript,21h
Protocol Labs,https://boards.greenhouse.io/protocollabs/jobs/4490756004,Remote,Open Call to Software Engineers,,UDP:CUDA:Configuration Management:Data Visualization:File Systems:Analytics:Application Software:Ansible:Data Driven:Rust:Infrastructure:Prometheus:Terraform:Unix:InfluxDB:C:Open Source Software:Git:Application Development:Analytics Tools:Smart Contracts:Continuous Integration:Statistics:Continuous Delivery:P2P:Network Protocols:JavaScript:Golang:TCP/IP:Grafana:C/C++:Storage:OpenCL:Web3.js:Cryptography,1d
OpenSea,https://jobs.lever.co/OpenSea/4a0c4263-aea0-4499-ad93-9e612cc71b8e,"San Francisco, New York or Remote","Sr. Associate, Partner Management",,Strategic Partnerships:Partner Management:Marketing Strategy:Emotional Intelligence:Actionable Insights,2d
Element Finance,https://angel.co/company/element-finance/jobs/2156071-freelance-brand-designer,"New York, New York, United States",Freelance Brand Designer,,Design Systems:Marketing,1d
CoinSwitch Kuber,https://recruiterflow.com/coinswitch/jobs/285,"Bangalore, , India",Associate Manager- Brand Marketing,,Brand Marketing,2d
dYdX,https://boards.greenhouse.io/dydx/jobs/6090412002,"New York, New York, United States",Chief of Staff,,,3d
Axoni,https://jobs.lever.co/axoni/b1080075-3b43-4baa-8edb-1729db751326,Remote,Business Development Associate,,Project Management:Financial technology:Account Management:Capital Markets:Customer Relationship Management:Client Relations:Business Development,7d
Protocol Labs,https://boards.greenhouse.io/protocollabs/jobs/4491112004,Remote,"Marketing Content Developer for SPs, Filecoin",,Marketing,1d
Protocol Labs,https://boards.greenhouse.io/protocollabs/jobs/4491104004,Remote,"Field Marketing Manager for SPs, Filecoin",,Field Marketing,1d
Protocol Labs,https://boards.greenhouse.io/protocollabs/jobs/4486832004,Remote,People Operations Lead,,Web3.js:Greenhouse:Project Management:Blockchain,2d
OpenSea,https://jobs.lever.co/OpenSea/590d5d4a-ebd8-48ed-a9b2-a846d3dd1c2f,"San Francisco, New York or Remote","Sr. Manager, Corporate Development",,Analytical Skills:Financial Modeling:Corporate Development:Investment Banking:Sourcing:Management Consulting:Private Equity,6d
OpenSea,https://jobs.lever.co/OpenSea/f8126ee2-0b07-4ab0-89fd-6ad3a4a6999b,"San Francisco, New York or Remote",Staff Front-End Engineer,,CSS:Cross-browser Compatibility:Accessibility:Frontend Web Development,6d
OpenSea,https://jobs.lever.co/OpenSea/a98848bc-6451-4356-ae8e-6c2aef9f0c84,"San Francisco, New York or Remote","Software Engineer, Trust and Safety",,Experimentation:Fraud:Anomaly Detection:Engineering Design:Machine Learning:PyTorch:Big Data:Scikit-learn:Risk Management:Trust and Safety:SOA/Microservices,7d
Axoni,https://jobs.lever.co/axoni/df25855f-09c0-4acb-8f27-045b676e31a4,Remote,Lead Cloud Architect (AWS),,Financial technology:Configuration Management:Operating Systems:Infrastructure as Code (IaC):Helm:Linux:Apache Kafka:Containers:Kubernetes:Infrastructure:Prometheus:Terraform:Distributed Databases:Amazon Web Services:Shell Scripting:Cloud Architecture:Compliance:Grafana:Splunk:Python,8d
Protocol Labs,https://boards.greenhouse.io/protocollabs/jobs/4467648004,Remote,"Technical Program Manager, CryptoEconLab",,Program Management:Project Management:Requirements Gathering:Statistics:Decision-Making:Robotics,7d
