Company Name,Job Link,Job Location,Job Title,Salary Range,Tags,Posted Before
Wyre,https://angel.co/company/sendwyre/jobs/2154498-director-of-customer-experience,United States,Director of Customer Experience,,Sales & Business Development:Customer Service,19h
Coinbase,https://www.coinbase.com/careers/4178971?gh_jid=4178971,United States,"Technical Program Manager, Cloud Security",,IT:Operations,20h
Coinbase,https://www.coinbase.com/careers/4178128?gh_jid=4178128,Singapore,"Sr. Associate, Web3 Ecosystem (Southeast Asia)",,,20h
Coinbase,https://www.coinbase.com/careers/4176153?gh_jid=4176153,India,Senior Site Reliability Engineer,,Software Engineering,20h
Coinbase,https://www.coinbase.com/careers/3667448?gh_jid=3667448,United States,Process Owner (Content Moderation),,,20h
Coinbase,https://www.coinbase.com/careers/4069072?gh_jid=4069072,United States,Institutional Support Analyst - Prime Operations,,IT:Operations:Customer Service,20h
Coinbase,https://www.coinbase.com/careers/4181321?gh_jid=4181321,United States,Executive Development Program Manager & Coach,,Operations,20h
Coinbase,https://www.coinbase.com/careers/4169243?gh_jid=4169243,United States,"Associate General Counsel, Strategic Response",,Legal,20h
Coinbase,https://www.coinbase.com/careers/4169111?gh_jid=4169111,Singapore,"Associate General Counsel, Data Protection",,Legal,20h
Coinbase,https://www.coinbase.com/careers/4163268?gh_jid=4163268,United States,Asset Issuer Compliance Senior Associate,,Legal,20h
CoinList,https://boards.greenhouse.io/coinlist/jobs/6092933002,"San Francisco, CA, USA",Senior Enterprise Security Engineer,,,21h
CoinList,https://boards.greenhouse.io/coinlist/jobs/6093334002,Remote,Legal Administrative Assistant,,Administration:Legal,21h
OpenSea,https://jobs.lever.co/OpenSea/4a0c4263-aea0-4499-ad93-9e612cc71b8e,"San Francisco, CA, USA","Sr. Associate, Partner Management",,,21h
Composable Finance,https://incredulous.bamboohr.com/jobs/view.php?id=120,Cyprus,Full Stack Integrations Engineer (Blockchain),,Software Engineering,22h
Composable Finance,https://incredulous.bamboohr.com/jobs/view.php?id=121,Cyprus,Business Development Lead,,Sales & Business Development,22h
Anchorage Digital,https://jobs.lever.co/anchorage/0f4218b7-6ffb-48f9-a8ba-c9d7cec3f0d4,United States,Lending Accounting Lead,,Accounting & Finance,22h
Koodos,https://www.notion.so/senior-software-engineer-react-native-c68c26ea207845199c1bf50295f106bf,"New York, NY, USA",senior software engineer [react-native],,Software Engineering,22h
Paxos,https://www.paxos.com/careers/role/6088124002?gh_jid=6088124002,"New York, NY, USA",Staff Software Engineer - Blockchain Technologies,,Software Engineering,22h
Paxos,https://www.paxos.com/careers/role/6092056002?gh_jid=6092056002,"New York, USA",Senior Product Manager (Brokerage) - Trading,,Product,22h
Ripple,https://boards.greenhouse.io/ripple/jobs/4182938,"San Francisco, CA, USA","Senior Applied Scientist, Liquidity",,,23h
Ripple,https://boards.greenhouse.io/ripple/jobs/4180629,"Toronto, ON, Canada",IT Support Specialist,,IT:Customer Service,23h
Kraken,https://jobs.lever.co/kraken/0ae738b0-7934-48b4-bef0-8368c46f35e4,Remote,UX Researcher,,Design,23h
Kraken,https://jobs.lever.co/kraken/d29373cd-3007-43e4-ab38-1cff5bc85e33,Remote,Senior Rust Engineer -  Banking,,Software Engineering,23h
Kraken,https://jobs.lever.co/kraken/ddd653b8-5de5-494f-937e-5bf4e3c78612,Remote,Executive Assistant - Marketing,,Administration:Marketing & Communications,23h
Kraken,https://jobs.lever.co/kraken/304000b6-a7c4-4192-b797-452c971255d8,Remote,Crypto Investments Senior Analyst/Trader,,IT,23h
Kraken,https://jobs.lever.co/kraken/6a3cfab2-485d-4a26-9501-b4314103bf20,Remote,Crypto Investments Junior Analyst,,IT,23h
Kraken,https://jobs.lever.co/kraken/91ec4a26-c194-4674-9063-95ebb5e8b9b8,Remote,Compliance FIU Manager,,Legal,23h
Wave,https://wavebl.com/careers/sales-executive,Remote,Sales Executive,,Sales & Business Development,2d
Circle,https://www.circle.com/en/careers-detail/compliance-operations-excellence-manager-emea,,"Compliance Operations Excellence Manager, EMEA",,Legal:Operations,2d
CoinList,https://boards.greenhouse.io/coinlist/jobs/6089654002,"San Francisco, CA, USA",Senior Application Security Engineer,,,2d
CoinList,https://boards.greenhouse.io/coinlist/jobs/6089637002,Remote,"Operations Analyst, Lending",,IT:Operations,2d
Parity Technologies,https://boards.greenhouse.io/parity/jobs/5090657003,"Berlin, Germany","Ecosystem, Business Operations Manager",,Operations,2d
Paxos,https://www.paxos.com/careers/role/6090236002?gh_jid=6090236002,Remote,Market and Trade Surveillance Senior Analyst,,IT,2d
Paxos,https://www.paxos.com/careers/role/6089035002?gh_jid=6089035002,"New York, USA",Content Marketing Manager & Writer,,Marketing & Communications,2d
Coinbase,https://www.coinbase.com/careers/4177635?gh_jid=4177635,United States,"Program Manager, Strategic Programs",,Operations,2d
Coinbase,https://www.coinbase.com/careers/4178232?gh_jid=4178232,India,GENERAL - Program Manager (India),,Operations,2d
