Company Name,Job Title,Salary Range,Tags,Posted Before
Aave,Frontend Engineer (Berlin),$30k - $140k,dev:front end:remote:web3js:react,7d
Aave,Senior React Native Developer (Toronto Canada),$65k - $200k,dev:react native:mobile:javascript:react,11d
Aave,Senior React Native Developer (New York),$65k - $200k,dev:react native:mobile:javascript:react,1mo
Aave,Senior Fullstack Engineer (Toronto Canada),$70k - $180k,dev:full stack:senior:web3js:react,2mo
Aave,Senior Fullstack Engineer (New York),$70k - $180k,dev:full stack:senior:web3js:react,2mo
Aave,UX Researcher (London),$50k - $150k,design:non tech,2mo
Aave,Senior Product Designer (London),$60k - $120k,design:non tech:senior,2mo
Aave,Product Designer (London),$50k - $150k,design:non tech,2mo
Aave,"Senior React Native Developer, FinTech (Remote Friendly)",,remote:dev:finance:react native:mobile,2mo
Aave,Senior Frontend (Toronto),$120k - $200k,front end:senior:web3js:react:react native,2mo
Aave,Senior Frontend (New York),$120k - $200k,front end:senior:web3js:react:react native,2mo
Aave,"Senior Backend Engineer (Toronto, Canada)",$70k - $200k,backend:dev:senior:node,2mo
Aave,Senior Backend Engineer (New York),$70k - $200k,backend:dev:senior:node,2mo
Aave,Creator Community Development - Manager,$35k - $101k,community manager:non tech:nft,2mo
Aave,Creator Community Development - Manager,$35k - $101k,community manager:non tech:nft,2mo
Aave,"Senior Fullstack Engineer Web3 (Full Time, London or remote)",$65k - $142k,remote:dev:full time:full stack:senior,2mo
Aave,"Senior Frontend Engineer Web3 (Full Time, London or Remote)",$22k - $120k,remote:dev:front end:full time:senior,2mo
Aave,"Senior Backend Engineer Web3 (Full Time, London or Remote)",$60k - $180k,remote:backend:dev:full time:senior,2mo
Aave,Senior Smart Contract Engineer,$120k - $250k,dev:senior:smart contract:solidity:ethereum,2mo
Aave,Senior Smart Contract Engineer,$120k - $250k,dev:senior:smart contract:solidity:ethereum,2mo
Aave,Copywriter,$13k - $45k,copywriting,2mo
Aave,PR & Communications Manager,$0k,marketing:non tech,3mo
Aave,Senior HR Specialist,,hr:non tech:senior,3mo
Aave,Engineering Manager,$70k - $180k,executive,3mo
Aave,Senior Smart Contract Engineer,$120k - $250k,dev:senior:smart contract:solidity:ethereum,3mo
Aave,QA automation engineer,$65k - $110k,dev:quality assurance:node,3mo
Aave,Growth Manager,$45k - $130k,marketing:non tech,3mo
Aave,Institutional Business Manager,$50k - $150k,project manager:non tech,3mo
Aave,Institutional Business Director,$70k - $180k,executive,3mo
Aave,Community Advocate,$40k - $100k,community manager:non tech,3mo
Aave,Events Manager,$0k,events manager:non tech,4mo
Aave,Technical Writer,$150k - $240k,analyst:solidity,4mo
Aave,Social Media Manager,$33k - $85k,social media:non tech,4mo
Aave,Copy Editor,,,4mo
Aave,Content Writer,$13k - $45k,copywriting,4mo
Aave,"Senior React Native Developer, FinTech (Remote Friendly)",,remote:dev:finance:react native:mobile,4mo
Aave,"Senior Fullstack Engineer, FinTech (Remote Friendly)",,remote:dev:finance:full stack:senior,4mo
Aave,"Senior Frontend Engineer, FinTech (Remote Friendly)",,remote:dev:finance:front end:senior,4mo
Aave,"Senior Backend Engineer, FinTech (Remote Friendly)",$60k - $180k,remote:backend:dev:finance:senior,4mo
Aave,Senior Product Designer,$60k - $120k,design:non tech:senior,4mo
Aave,Content Writer,$13k - $45k,copywriting,4mo
Aave,Technical Writer,$150k - $240k,analyst:solidity,4mo
Aave,Events Coordinator,,,5mo
Aave,Senior Product Designer,$60k - $120k,design:non tech:senior,5mo
Aave,Social Media Manager,$33k - $85k,social media:non tech,5mo
Aave,Copy Editor,,,5mo
Aave,Smart Contract Auditor,$70k - $200k,smart contract:solidity,5mo
Aave,Communications Manager (Web3),$45k - $130k,marketing:non tech,5mo
Aave,Smart Contract Auditor,$70k - $200k,smart contract:solidity,5mo
Aave,Communications Manager (Web3),$0k,marketing:non tech,5mo
Aave,Security Smart Contract Auditor,,security:smart contract:solidity:remote,5mo
Aave,Product Manager,,product manager:non tech:remote,5mo
Aave,Senior Product Designer,,design:non tech:senior:remote,5mo
