Company Name,Job Title,Salary Range,Tags,Posted Before
Amun 21 Shares,"Legal Associate, Product Lawyer",$24k - $140k,legal,7d
Amun 21 Shares,"Legal Associate, Product Lawyer",$24k - $140k,legal,7d
Amun 21 Shares,Data Engineer,,data science:dev:react:node:scala,8d
Amun 21 Shares,Communications Associate,,,14d
Amun 21 Shares,Communications Associate,,,14d
Amun 21 Shares,Sr. Product Designer,$60k - $120k,design:non tech:senior,27d
Amun 21 Shares,Paralegal,,,28d
Amun 21 Shares,"ETP Product Analyst, Zurich",$40k - $120k,analyst,1mo
Amun 21 Shares,Research Coordinator,,,1mo
Amun 21 Shares,"Product Manager, Tokens",$115k - $175k,product manager:non tech:remote,2mo
Amun 21 Shares,"Head of Marketing- ETPs, US",$70k - $158k,executive:marketing:non tech,2mo
Amun 21 Shares,"Head of Marketing - ETPs, EMEA",$70k - $158k,executive:marketing:non tech:remote,2mo
Amun 21 Shares,Associate Graphic Designer,$50k - $135k,design:non tech:remote,2mo
Amun 21 Shares,Financial Planning & Analysis,$40k - $100k,finance:remote,2mo
Amun 21 Shares,"Engineering Manager, DevOps",$95k - $250k,executive:devops:remote,2mo
Amun 21 Shares,Capital Markets Analyst,$40k - $120k,analyst,2mo
Amun 21 Shares,"Engineering Manager, Blockchain",$100k - $300k,executive:blockchain:remote,3mo
Amun 21 Shares,Front End Software Lead,$56k - $79k,front end:lead:dev:remote,3mo
Amun 21 Shares,Web Engineering Manager,$79k - $200k,executive:remote,3mo
Amun 21 Shares,Business Development Manager,$29k - $108k,sales:non tech:remote,3mo
Amun 21 Shares,"Engineering Manager, Data",$85k - $400k,executive:react:solidity:solana:ethereum,3mo
Amun 21 Shares,Research Associate,$70k - $180k,solidity:rust,3mo
Amun 21 Shares,"Content Manager, Tokens",$25k - $96k,marketing:non tech:copywriting:remote,3mo
Amun 21 Shares,Research Analyst,$150k - $185k,analyst:solidity:rust,3mo
Amun 21 Shares,Product Design Intern,$18k - $28k,design:non tech:intern:entry level,3mo
Amun 21 Shares,Graphic Design Intern,$18k - $28k,design:non tech:intern:entry level:remote,3mo
Amun 21 Shares,Content Design Intern,$18k - $28k,design:non tech:intern:entry level:remote,3mo
Amun 21 Shares,Brand Design Intern,,marketing:non tech:design:intern:entry level,3mo
Amun 21 Shares,Junior Sales Associate,$78k - $93k,junior:entry level:sales:non tech:remote,3mo
Amun 21 Shares,Chief of Staff to the President,,executive:recruiter:non tech:remote,4mo
Amun 21 Shares,Research Analyst,$40k - $120k,analyst,4mo
Amun 21 Shares,UX Copywriter,,copywriting:design:non tech,4mo
Amun 21 Shares,QA Engineer,$40k - $150k,dev:quality assurance:javascript:ruby,5mo
Amun 21 Shares,Blockchain Architect,$80k,architecture:blockchain:solidity:solana:ethereum,5mo
Amun 21 Shares,Dev Ops Engineer,,dev:devops:react:node:vue,5mo
Amun 21 Shares,Full Stack Developer,$65k - $180k,dev:full stack:react:solidity:solana,5mo
Amun 21 Shares,Front End Developer,$50k - $144k,dev:front end:react:solidity:solana,5mo
Amun 21 Shares,Web Engineering Manager,$85k - $400k,executive:react:solidity:solana:ethereum,5mo
Amun 21 Shares,Engineering Security Manager,,security:react:solidity:solana:ethereum,5mo
Amun 21 Shares,Index Methodologist,,,5mo
Amun 21 Shares,Data Engineer,,data science:dev:react:node:scala,5mo
Amun 21 Shares,"Business Strategy Manager, Tokens",,,5mo
Amun 21 Shares,US Legal Associate,$24k - $140k,legal,6mo
Amun 21 Shares,Corporate Recruiter,$40k - $70k,recruiter:non tech,6mo
Amun 21 Shares,"Head of Marketing, Tokens",$70k - $158k,executive:marketing:non tech,6mo
Amun 21 Shares,"Marketing Campaign Manager, Tokens",$45k - $130k,marketing:non tech,6mo
Amun 21 Shares,Legal Associate,$24k - $140k,legal,6mo
Amun 21 Shares,"Product Manager, Web",$69k - $160k,product manager:non tech,6mo
Amun 21 Shares,"VP, Compliance",,compliance:executive,6mo
Amun 21 Shares,"Marketing Coordinator, Tokens",$45k - $130k,marketing:non tech,6mo
Amun 21 Shares,Marketing Manager,$45k - $130k,marketing:non tech,6mo
Amun 21 Shares,Head of Design,,executive:design:non tech,7mo
Amun 21 Shares,Technical Recruiter,$40k - $70k,recruiter:non tech,7mo
Amun 21 Shares,"Project Manager, Tokens",$50k - $150k,project manager:non tech,7mo
Amun 21 Shares,Graphic Designer,$50k - $150k,design:non tech,7mo
Amun 21 Shares,Staff Accountant,$25k - $150k,accounting,7mo
Amun 21 Shares,Accounts Payable Specialist,$120k - $150k,finance:accounting,7mo
Amun 21 Shares,"QA Engineer, Lead",$100k - $180k,dev:lead:quality assurance:javascript:ruby,7mo
Amun 21 Shares,Full Stack Developer,$65k - $180k,dev:full stack:react:node:vue,7mo
Amun 21 Shares,Back End Developer,$28k - $120k,backend:dev:react:node:vue,7mo
Amun 21 Shares,Blockchain Developer,$52k - $160k,dev:blockchain:solidity:solana:ethereum,7mo
Amun 21 Shares,ETF Operations Analyst,,analyst:finance:operations,7mo
Amun 21 Shares,VP of Product,$135k - $170k,product manager:non tech:executive,7mo
