Company Name,Job Title,Salary Range,Tags,Posted Before
Autograph,Head of IRL,$63k - $180k,executive:nft,2d
Autograph,Marketing Manager- Brand Experiences,$55k - $140k,marketing:non tech:nft,14d
Autograph,Growth Marketing Coordinator,$55k - $140k,marketing:non tech:nft,14d
Autograph,Social Media Coordinator,$35k - $75k,social media:non tech:nft,14d
Autograph,Strategy Lead,$70k - $200k,lead:nft,22d
Autograph,Frontend Engineer,$50k - $144k,dev:front end:react:ethereum:javascript,1mo
Autograph,Game Design Director,,design:non tech:executive:game dev:nft,2mo
Autograph,Marketing Coordinator- Music & Entertainment,,marketing:non tech:music:nft,2mo
Autograph,Head of Drop Design & Drop Architecture,,executive:design:non tech:nft,2mo
Autograph,Senior Executive Assistant to the COO,,operations:executive:senior:nft,2mo
Autograph,Executive Assistant,$63k - $180k,executive:nft,2mo
Autograph,Marketing Coordinator- Sports & Athletes,$55k - $140k,marketing:non tech:nft,3mo
Autograph,Marketing Communications Manager,$55k - $140k,marketing:non tech:nft,3mo
Autograph,"Senior Manager, Financial Planning & Analysis",,finance:senior:nft,3mo
Autograph,Head of Community,$45k - $150k,executive:community manager:non tech:nft:remote,3mo
Autograph,Marketing Manager- Sports & Athletes,$55k - $140k,marketing:non tech:nft,3mo
Autograph,Marketing Manager- Music & Entertainment,,marketing:non tech:music:nft,3mo
Autograph,Community Director,$45k - $150k,community manager:non tech:executive:nft,3mo
Autograph,Social Media Designer,,design:non tech:social media:nft,3mo
Autograph,HR Operations Generalist,,hr:non tech:operations:nft,3mo
Autograph,3D Generalist,$11k - $35k,vfx:nft,3mo
Autograph,Office Manager,$55k - $150k,nft,3mo
Autograph,Technical Project Manager/ Scrum Master,,project manager:non tech:scrum:nft,4mo
Autograph,API/ Backend Engineer (Junior/ Mid),$60k - $170k,api:backend:dev:junior:entry level,4mo
Autograph,Head of Creative Production,$63k - $180k,executive:nft,4mo
Autograph,Strategy Manager,$55k - $150k,nft,4mo
Autograph,Junior Data Analyst,,analyst:data science:junior:entry level:nft,4mo
Autograph,IT Support Specialist,,customer support:nft,4mo
Autograph,Business Development Director,$40k - $150k,sales:non tech:executive:nft,4mo
Autograph,Product Operations Analyst,,analyst:operations:nft,5mo
Autograph,Business Operations Manager,,operations:nft,5mo
Autograph,Business Affairs,$55k - $150k,nft,5mo
Autograph,"Mobile Software Engineer, iOS",$51k - $109k,dev:ios:mobile:nft,5mo
Autograph,DevOps Engineer,$95k - $145k,devops:dev:ethereum:nft,5mo
Autograph,Blockchain Engineer,$52k - $160k,dev:blockchain:solidity:nft,5mo
Autograph,Assistant,,,5mo
Autograph,Marketing Director,$70k - $158k,executive:marketing:non tech:nft,5mo
Autograph,Copywriter,,copywriting:nft,5mo
Autograph,Community Moderator (Discord),$35k - $101k,community manager:non tech:nft,5mo
Autograph,Counsel,,legal:nft,5mo
Autograph,Senior Recruiter,$40k - $70k,recruiter:non tech:senior:nft,5mo
Autograph,Controller,,legal:nft,5mo
Autograph,Creative Director,$63k - $180k,executive:nft,5mo
Autograph,Art Director (3D),,vfx:executive:nft,5mo
Autograph,API/ Backend Engineer,$60k - $170k,api:backend:dev:nft:javascript,6mo
