Company Name,Job Title,Salary Range,Tags,Posted Before
Ava Labs,Frontend Engineer,$50k - $144k,dev:front end:react:javascript,12d
Ava Labs,DevOps Engineer,$60k - $100k,devops:dev:golang,12d
Ava Labs,Senior Accountant,$80k - $110k,accounting:senior,19d
Ava Labs,DevSecOps Engineer,$60k - $180k,dev,22d
Ava Labs,SGX (TEE) C++ Application Security Engineer,$100k - $150k,c:c plus plus:dev:security,23d
Ava Labs,Community Management Director,$45k - $150k,community manager:non tech:executive,28d
Ava Labs,NodeJS Application Security Engineer,$60k - $155k,dev:javascript:node:security:solidity,1mo
Ava Labs,Creative Director,$70k - $180k,executive,1mo
Ava Labs,Senior Technical Product Manager (CoreX),$80k - $150k,product manager:non tech:senior:node,2mo
Ava Labs,Technical Product Manager (Institutional DeFi),$130k - $175k,product manager:non tech:defi,2mo
Ava Labs,Technical Product Manager (Operations and Integration),,operations:product manager:non tech,2mo
Ava Labs,Web3 Solutions Architect,$80k,architecture:solidity:node:golang,2mo
Ava Labs,Technical Product Manager - Institutional DeFi,$130k - $175k,product manager:non tech:defi,2mo
Ava Labs,Product Associate,,,2mo
Ava Labs,Director of Product Management,$135k - $170k,executive:product manager:non tech:node,2mo
Ava Labs,Software Engineer,$33k - $100k,dev:java:golang:rust,2mo
Ava Labs,"Partner Success, Gaming",$50k - $150k,game dev,2mo
Ava Labs,Embedded C Engineer,,c:c plus plus:embedded:dev:javascript,3mo
Ava Labs,"Business Development Analyst, Gaming",,analyst:sales:non tech:game dev,3mo
Ava Labs,Customer Success Manager,,sales:non tech:customer support,3mo
Ava Labs,Product Marketing Director - Culture,$70k - $158k,executive:marketing:non tech,3mo
Ava Labs,"Business Development Associate, DeFi",$79k - $140k,sales:non tech:defi,3mo
Ava Labs,"Business Development Associate, Gaming",$135k - $150k,sales:non tech:game dev,3mo
Ava Labs,"Director of Business Development, Institutional & Capital Markets",$40k - $150k,sales:non tech:executive,3mo
