Company Name,Job Title,Salary Range,Tags,Posted Before
Binance,Government Affairs Manager - South Africa,$50k - $150k,,4h
Binance,Community & Marketing Manager - Armenia,$45k - $150k,community manager:non tech:marketing,4h
Binance,Senior Business Development Manager - Pay,$50k - $150k,sales:non tech:senior,4h
Binance,"Manager/Senior Associate, Capital Markets & Industry Research",$79k - $200k,senior,4h
Binance,Growth and Community Manager,$45k - $150k,community manager:non tech:marketing:remote,5h
Binance,Java Engineer - Risk,$33k - $140k,dev:java,5h
Binance,HR Business Partner (LATAM),$60k - $150k,hr:non tech,5h
Binance,Community & Marketing Manager - Uzbekistan,$45k - $150k,community manager:non tech:marketing,5h
Binance,Investment Manager (Legal Relations),,finance:legal,6h
Binance,Community & Marketing Manager - Azerbaijan,$45k - $150k,community manager:non tech:marketing,7h
Binance,Government Affairs Manager - Canada,$50k - $150k,,10h
Binance,Foreign Exchange Manager,$50k - $150k,,10h
Binance,Content Writer - Academy,$25k - $105k,copywriting:non tech:remote,1d
Binance,PR Director - Public Affairs (Brazil),$70k - $158k,marketing:non tech:executive,1d
Binance,"BD Manager, DeFi & Financial Services - BNB Chain",$60k - $175k,finance:defi,1d
Binance,HR Operations Intern,,hr:non tech:intern:entry level:operations,1d
Binance,"Government Affairs Associate / Director, Israel",$70k - $180k,executive,1d
Binance,"Institutional Sales Manager, MENA",$26k - $140k,sales:non tech,1d
Binance,BNBChain - Senior Solution Architect,$80k,architecture:senior,2d
Binance,Policy Officer EU,$50k - $150k,,3d
Binance,Finance Manager (Reporting),$40k - $150k,finance,3d
Binance,Regulatory Reporting Officer,$24k - $140k,legal,4d
Binance,Senior HR Business Partner (Europe),,hr:non tech:senior,4d
Binance,"Data Lead, Business Intelligence and Analytics - Europe",,stats:lead,5d
Binance,Senior QA Engineer - Internal System,$30k - $50k,dev:quality assurance:senior,5d
Binance,Senior Product Manager - KYC,,kyc:product manager:non tech:senior,5d
Binance,API Product Expert,$60k - $170k,api:remote,5d
Binance,Business Data Analyst - Latam,$36k - $85k,analyst:data science,5d
Binance,Incident Manager,$50k - $150k,,6d
Binance,Community & Marketing Manager - Kazakhstan,$45k - $150k,community manager:non tech:marketing,6d
Binance,HR Business Partner - Fiat,$60k - $150k,hr:non tech,6d
Binance,SEO / ASO Manager (Trust Wallet),,seo:non tech:remote,6d
Binance,Incident Manager,$50k - $150k,,6d
Binance,Regional Head of Finance,$90k - $200k,executive:finance,6d
Binance,Growth Manager (Custody) - Remote,$25k - $120k,remote:marketing:non tech,6d
Binance,Regional Head of Finance,$90k - $200k,executive:finance,6d
Binance,Business Platform Operations (NFT),,operations:nft:remote,6d
Binance,Operations Manager,$80k - $110k,operations:remote,6d
Binance,Foreign Exchange Manager,$50k - $150k,,6d
Binance,Community & Marketing Manager - Georgia,$45k - $150k,community manager:non tech:marketing,6d
Binance,Content & Copy Writer (Trust Wallet),$56k - $160k,remote,6d
Binance,Senior Designer (Trust Wallet),$60k - $120k,design:non tech:senior:remote,7d
Binance,Head of Compliance - Benelux,,compliance:executive,8d
Binance,Project Manager (Custody) - Remote,$56k - $150k,remote:project manager:non tech,8d
Binance,Institutional Product Marketing Executive (Custody) - Remote,$45k - $158k,remote:executive:marketing:non tech,8d
Binance,Channel Operations Specialist (FIAT) - Brazil,$60k - $200k,operations,8d
Binance,Content Writer,$25k - $96k,copywriting:non tech,8d
Binance,Compliance Officer Latam (Swipe),,compliance,9d
Binance,Global Affiliate Manager,$25k - $120k,marketing:non tech:remote,9d
Binance,Frontend Developer - Risk,$50k - $150k,dev:front end,9d
Binance,QA Engineer (Functional Testing),$50k - $150k,dev:quality assurance,9d
Binance,Events Manager (BNB Chain),,events manager:non tech:remote,10d
Binance,Affiliate/ Influencer Marketing Coordinator,$25k - $120k,marketing:non tech:remote,10d
Binance,Accountant,$25k - $150k,accounting,11d
Binance,QA Engineer (Automation),$50k - $150k,dev:quality assurance,11d
Binance,DevOps Engineer,$70k - $180k,devops:dev,11d
Binance,Java Engineer,$33k - $140k,dev:java,11d
Binance,BNB Chain Operations Manager,$80k - $110k,operations:remote,11d
Binance,Product Designer - Instant Messaging,$50k - $150k,design:non tech,13d
Binance,Senior UI/UX Designer - Defi,$60k - $120k,design:non tech:senior:defi,13d
Binance,Growth Marketing Manager - Mongolia,$45k - $130k,marketing:non tech,13d
Binance,Senior HR Business Partner / HRBP (Canada),,hr:non tech:senior,14d
Binance,Global Strategy & Operations Manager,$60k - $200k,operations,14d
Binance,HR Operations Specialist,,hr:non tech:operations,14d
Binance,"Director, Strategic Finance",$40k - $225k,executive:finance:remote,14d
Binance,Global Product Communications Head,$79k - $200k,executive:remote,14d
Binance,"Global Product Communications Lead - Web3, Metaverse, NFT, Fan Tokens",,lead:metaverse:nft:remote,14d
Binance,Head of Compliance - Iberia,,compliance:executive,14d
Binance,"Global Product Communications Lead - FinTech, Payments",,finance:lead:remote,14d
Binance,Quality Assurance Analyst,$40k - $120k,analyst,15d
Binance,DevOps Engineer,$70k - $180k,devops:dev,15d
Binance,Customer Service Representative (English),$40k - $80k,customer support,15d
Binance,Customer Service Representative (English),$40k - $80k,customer support,15d
Binance,Senior/ Community Manager - BNB Chain (Europe),,community manager:non tech:senior,16d
Binance,Operations Manager - Latam,$60k - $200k,operations,17d
Binance,Senior Product Manager (Prime Services - Trading),,accounting:product manager:non tech:senior:remote,17d
Binance,Office Manager/Administrator - Brazil,$56k - $150k,react,18d
Binance,Legal Technology Manager - Europe,$24k - $140k,legal,19d
Binance,Finance Manager - Ireland,$40k - $150k,finance,19d
Binance,"Compliance Manager, Australia",,compliance,19d
Binance,HRBP - Operations,$60k - $200k,operations,19d
Binance,Business Development Manager - Latam,$26k - $140k,sales:non tech,19d
Binance,Customer Service Agent - Clearing Team,$40k - $80k,customer support,19d
Binance,"Strategy Intern, CEO Office",,executive:intern:entry level,19d
Binance,Government Affairs - Portugal,,,20d
Binance,Business Analyst Intern,$20k - $30k,analyst:intern:entry level,20d
Binance,Marketing Analyst - Latam,,analyst:marketing:non tech,20d
Binance,Product Management Intern,,intern:entry level,20d
Binance,Data Analytics Manager (Marketing) - Latam,,stats:marketing:non tech,20d
Binance,Security Auditor (Mobile),,mobile:security,20d
Binance,IT Support Engineer,$90k - $140k,dev:customer support,20d
Binance,Junior Marketing Analyst - Latam,$10k - $13k,analyst:junior:entry level:marketing:non tech,20d
Binance,Fraud & Risk Operation,$95k - $200k,security,20d
Binance,Fraud & Risk Operation,$95k - $200k,security,21d
Binance,Head of Marketing - Brazil,$70k - $158k,executive:marketing:non tech,21d
Binance,Staking Project manager (Binance Earn),$56k - $150k,project manager:non tech:remote,21d
Binance,Senior Web/Mobile Product Manager,,mobile:product manager:non tech:senior,21d
Binance,Complaint Management Manager,,,21d
Binance,Customer Service Representative (Spanish/English),$40k - $80k,customer support,21d
Binance,IT Support Specialist - Brazil,$40k - $80k,customer support,22d
Binance,Senior Product Manager (Wallet & DeFi),$80k - $150k,product manager:non tech:senior:defi:remote,22d
Binance,Java Backend Developer (Security),$60k - $160k,backend:dev:java:security,22d
Binance,"Senior BD Manager, Web3 Infrastructure - BNB Chain",$80k - $200k,senior:remote,22d
Binance,Marketing Specialist,$45k - $130k,marketing:non tech,23d
Binance,Business Operations Manager (Russian speaker),$60k - $200k,operations,23d
Binance,Control Assurance Lead,$95k - $200k,lead:remote,23d
Binance,Operation Manager (Finance Products) - Asia,$40k - $150k,finance,23d
Binance,Business Operations Manager (Africa),$60k - $200k,operations,23d
Binance,"Senior Finance Manager, M&A",$50k - $150k,finance:senior,23d
Binance,Events Manager - Brazil,,events manager:non tech,24d
Binance,Product Manager (NFT) - Trading,$69k - $160k,product manager:non tech:nft,24d
Binance,Product Manager (NFT) - Platform ability,$69k - $160k,product manager:non tech:nft,24d
Binance,Recruiting Lead (Product),$40k - $70k,lead:recruiter:non tech:remote,26d
Binance,"Chief Information Security Officer, Fiat",$95k - $250k,executive:security,26d
Binance,Office Manager/Administrator,,,26d
Binance,"Financial Controller, Crypto PE Fund",,legal:finance:crypto,26d
Binance,UI Designer,$50k - $150k,design:non tech,26d
Binance,Regulatory Counsel - APAC,$24k - $140k,legal,26d
Binance,Netsuite Administrator,,,26d
Binance,Office Manager (Bahrain),,,27d
Binance,Customer Support Specialist - Spanish,$40k - $80k,customer support,27d
Binance,Live Stream Product Manager,$69k - $160k,product manager:non tech,27d
Binance,"Senior Finance Manager, M&A",$50k - $150k,finance:senior,28d
Binance,Global Equity Compensation Specialist,,,28d
Binance,"Senior Finance Manager, M&A",$50k - $150k,finance:senior,28d
Binance,Product Management Intern,,intern:entry level,28d
Binance,Office Manager/Administrator,,,28d
Binance,Lead Graphic Designer - North America,$40k - $190k,design:non tech:lead,28d
Binance,Senior Product Designer - Defi,$60k - $120k,design:non tech:senior:defi,28d
Binance,Senior UI/UX Product Designer,$60k - $120k,design:non tech:senior:remote:solana,28d
Binance,Product Analyst/Senior Product Analyst,$150k - $185k,analyst:senior,28d
Binance,Project Manager (Back Support),,project manager:non tech:customer support,28d
Binance,Global Benefits Specialist,,,28d
Binance,Finance Manager,$40k - $150k,finance,28d
Binance,BNB Chain Community Manager (France),$40k - $100k,community manager:non tech,29d
Binance,Strategy & Operations Manager,$60k - $200k,operations,29d
Binance,"Manager/ Senior Manager, Strategic Finance",$50k - $150k,finance:senior,29d
Binance,Leadership/Executive Recruiter (LatAm),,executive:recruiter:non tech,29d
Binance,Customer Service Representative - P2P (Portuguese),$40k - $80k,customer support:remote,29d
Binance,Customer Experience Specialist- Bundle Africa,$40k - $80k,customer support:remote,29d
Binance,Senior Finance Controller,,legal:finance:senior:remote,1mo
Binance,Technical Support Engineer / SL3 Application Owner,$90k - $140k,dev:customer support,1mo
Binance,Channel Lead (Fiat) - MEA,$95k - $200k,lead:remote,1mo
Binance,"Business Development Manager (NFT) - Fine Art, Generative Art & Collectibles",$100k - $180k,sales:non tech:nft:remote,1mo
Binance,Data Product Manager,$115k - $175k,product manager:non tech:remote,1mo
Binance,Product Lead - Fiat,$95k - $200k,lead:remote,1mo
Binance,Office Manager/Administrator,$56k - $160k,remote,1mo
Binance,Director/VP of Product,$135k - $170k,executive:product manager:non tech:remote,1mo
Binance,Business Data Analyst - Europe Market,$36k - $72k,analyst:data science,1mo
Binance,DevOps Engineer - Cloud Data Platform Specialist,,cloud:devops:dev:remote,1mo
Binance,iOS Engineer (Security Team),$51k - $109k,dev:ios:mobile:security:remote,1mo
Binance,Growth Marketing Director - BNB Chain,$70k - $158k,executive:marketing:non tech:remote,1mo
Binance,Community Operation Intern,,community manager:non tech:intern:entry level:remote,1mo
Binance,BNB Chain Community Manager (India),$40k - $100k,community manager:non tech,1mo
Binance,HR Operations Intern,,hr:non tech:intern:entry level:operations,1mo
Binance,Research Analyst Intern (Macro/Industry Research),$20k - $30k,analyst:intern:entry level:remote,1mo
Binance,Financial Accountant - ANZ,$120k - $150k,accounting:finance,1mo
