Company Name,Job Title,Salary Range,Tags,Posted Before
Bit Go,"Engineering Manager, DeFi",$70k - $180k,executive:defi,20h
Bit Go,Compensation Manager,$50k - $155k,,5d
Bit Go,"Senior Frontend Engineer, Blockchain Team",$70k - $190k,dev:front end:senior:blockchain:react,12d
Bit Go,Data Quality Analyst,$40k - $120k,analyst,13d
Bit Go,German Trust Operations Lead,,lead:operations:remote,15d
Bit Go,Director of Design,,design:non tech:executive,16d
Bit Go,Firmware Engineer,$56k - $150k,dev:javascript,16d
Bit Go,Events Associate (Intern),,intern:entry level,20d
Bit Go,Associate Counsel,$24k - $140k,legal,20d
Bit Go,Director of Talent,,executive:recruiter:non tech,22d
Bit Go,Prime Analyst (Intern),$20k - $30k,analyst:intern:entry level:javascript,23d
Bit Go,Compliance Associate (Intern),,compliance:intern:entry level,23d
Bit Go,Prime Client Service Manager,,,27d
Bit Go,Brand Designer,,marketing:non tech:design,27d
Bit Go,Vendor Management Analyst,$40k - $120k,analyst,28d
Bit Go,Operations Specialist (BitGo GmbH),$80k - $110k,operations:remote,29d
Bit Go,UX and Content Strategist,$50k - $150k,design:non tech,29d
Bit Go,Recruiting Coordinator,$40k - $70k,recruiter:non tech,29d
Bit Go,Senior Infrastructure Engineer,$65k - $150k,dev:senior:golang,30d
Bit Go,Software Engineer,$60k - $180k,dev:react:node:java:golang,1mo
Bit Go,Associate - Digital Asset Sales & Research (US),$100k - $180k,sales:non tech:nft,1mo
Bit Go,Accounts Receivable Manager,,,1mo
Bit Go,Technical Support Engineer - Weekend Shift,$90k - $140k,dev:customer support,1mo
Bit Go,Customer Success Manager (EMEA),,sales:non tech:customer support,1mo
Bit Go,Customer Success Manager (EMEA),,sales:non tech:customer support:remote,1mo
Bit Go,Customer Success Manager (APAC),,sales:non tech:customer support,1mo
Bit Go,"Software Engineer, Infrastructure (New Grad)",$22k - $124k,dev:javascript:golang,1mo
Bit Go,"Software Engineer, Infrastructure (Intern - 2022)",$12k - $33k,dev:intern:entry level:javascript:golang,1mo
Bit Go,"Software Engineer, Full Stack (New Grad)",$65k - $180k,dev:full stack:javascript,1mo
Bit Go,"Software Engineer, Full Stack (Intern - 2022)",$60k,dev:full stack:intern:entry level:javascript,1mo
Bit Go,"Software Engineer, Data (Intern - 2022)",$12k - $33k,dev:intern:entry level:javascript,1mo
Bit Go,"Software Engineer, Backend (New Grad)",$65k - $150k,backend:dev:javascript,1mo
Bit Go,"Software Engineer, Backend (Intern - 2022)",,backend:dev:intern:entry level:javascript,1mo
Bit Go,Frontend Engineer,$50k - $144k,dev:front end:react:javascript:node,2mo
Bit Go,Institutional Sales Associate (LATAM),$26k - $140k,sales:non tech,2mo
Bit Go,Institutional Sales Associate (LATAM),$26k - $140k,sales:non tech,2mo
Bit Go,Institutional Sales Associate (LATAM),$26k - $140k,sales:non tech,2mo
Bit Go,People Business Partner,,,2mo
Bit Go,Early Talent Recruiter,$40k - $70k,recruiter:non tech,2mo
Bit Go,Compliance Onboarding Manager,,compliance,2mo
Bit Go,Prime Client Service Analyst,$40k - $120k,analyst,2mo
Bit Go,ERM Director - Risk Incidents,$70k - $180k,executive,2mo
Bit Go,Senior Technical Writer,,senior:analyst:node,2mo
Bit Go,Senior Technical Writer,,senior:analyst:node,2mo
