Company Name,Job Title,Salary Range,Tags,Posted Before
Bit Mex,Performance Marketing Manager,$45k - $130k,marketing:non tech,1mo
Bit Mex,Software Engineer - Custody Engineering,$65k - $180k,dev:react:react native,2mo
Bit Mex,Senior Software Engineer - Algo and Electronic Trading,$50k - $200k,dev:senior:java,2mo
Bit Mex,Senior Software Engineer - Algo & Electronic Trading Platform,$50k - $200k,dev:senior:java,2mo
Bit Mex,Senior Software Engineer (Python) - Blockchain & Wallets,$79k - $200k,dev:python:senior:blockchain,2mo
Bit Mex,Software Engineer - Custody Engineering,$65k - $180k,dev:react:react native,2mo
Bit Mex,Software Engineer - Custody Engineering (Signer),$65k - $180k,dev:react:react native,2mo
Bit Mex,Customer Support Specialist - Vancouver - Mandarin,$40k - $80k,customer support,2mo
Bit Mex,Software Engineer - Custody Engineering (Signer),$65k - $180k,dev:react:react native,3mo
Bit Mex,(senior) Python Developer - Blockchain & Wallets,$79k - $200k,dev:python:senior:blockchain,3mo
Bit Mex,"Senior Software Engineer - Custody Engineering ( Python, Blockchain & Wallets )",$79k - $200k,dev:python:senior:blockchain,4mo
Bit Mex,"Software Engineer - Custody Engineering ( Python, Blockchain & Wallets)",,dev:python:blockchain,4mo
Bit Mex,Senior Kubernetes Engineer - Global Derivatives Exchange,$65k - $150k,dev:senior:golang,5mo
Bit Mex,Senior Kubernetes Engineer - Global Derivatives Exchange,$65k - $150k,dev:senior:golang,5mo
Bit Mex,IT Support Engineer,$90k - $140k,dev:customer support,5mo
Bit Mex,"Compliance Officer, FCC",,compliance,5mo
Bit Mex,Product Manager - Trading Applications (Web/Mobile),,mobile:product manager:non tech,5mo
Bit Mex,Trader Assistant,$31k - $37k,trader,6mo
Bit Mex,Senior DevOps Engineer,$120k - $200k,devops:dev:senior:java,6mo
Bit Mex,Senior Software Engineer - Mobile,$120k - $200k,dev:mobile:senior:react:react native,6mo
Bit Mex,Project Manager,$50k - $150k,project manager:non tech,6mo
Bit Mex,Product Manager - Trading Platform (Web/Mobile),,mobile:product manager:non tech,6mo
Bit Mex,Operations Specialist,$60k - $200k,operations,6mo
Bit Mex,Kubernetes Engineer,$48k - $150k,dev:golang,6mo
Bit Mex,Senior Trading Technology Engineer,$50k - $200k,dev:senior:java,6mo
Bit Mex,Senior Software Engineer - Marketing Technology,$85k - $120k,dev:marketing:non tech:senior:react,6mo
Bit Mex,Senior Risk Management Engineer,$50k - $200k,dev:senior:java,6mo
Bit Mex,Communications Intern,,intern:entry level,6mo
Bit Mex,Senior Software Engineer - Marketing Technology,$85k - $120k,dev:marketing:non tech:senior:react,6mo
Bit Mex,Senior Trading Technology Engineer,$50k - $200k,dev:senior:java,6mo
Bit Mex,Site Reliability Engineer,$150k - $200k,dev:sys admin,6mo
Bit Mex,Senior Software Engineer - Frontend Web,$70k - $190k,dev:front end:senior:react,6mo
Bit Mex,Senior Software Engineer - Digital and Creative,$70k - $180k,dev:senior:react,6mo
Bit Mex,"Senior Compliance Officer, FCC",,compliance:senior,6mo
Bit Mex,IT Support Engineer (Tier 2),$90k - $140k,dev:customer support,6mo
Bit Mex,Senior Software Engineer - Digital and Creative,$70k - $180k,dev:senior:react,6mo
Bit Mex,Senior Communications Manager,$46k - $109k,marketing:non tech:senior,6mo
Bit Mex,Site Reliability Engineer: Monitoring & Observability,$150k - $200k,dev:sys admin,6mo
Bit Mex,Site Reliability Engineer: Database & Messaging,$150k - $200k,dev:sys admin,6mo
Bit Mex,Human Resources Information System Analyst,$40k - $120k,analyst,7mo
Bit Mex,UX Product Designer,$50k - $150k,design:non tech,7mo
Bit Mex,UX Product Designer,$50k - $150k,design:non tech,7mo
Bit Mex,Product Designer - Systems,$50k - $150k,design:non tech,7mo
Bit Mex,Product Designer - Systems,$50k - $150k,design:non tech,7mo
Bit Mex,Quantitative Developer - Trading Engine,$33k - $140k,dev:java,7mo
Bit Mex,Quantitative Developer - Trading Engine,$33k - $140k,dev:java,7mo
Bit Mex,Python Developer - Blockchain & Wallets,,dev:python:blockchain,7mo
Bit Mex,Security Penetration Tester,$95k - $200k,security,7mo
Bit Mex,Security Penetration Tester,$95k - $200k,security,7mo
Bit Mex,Security Assurance Analyst,$60k - $185k,analyst:security,7mo
Bit Mex,Detection & Response Engineer,$33k - $87k,dev:ruby:golang,7mo
Bit Mex,Detection & Response Engineer,$33k - $87k,dev:ruby:golang,7mo
Bit Mex,Trader,$31k - $37k,trader,7mo
Bit Mex,Senior Quant Trader,,senior:trader,7mo
Bit Mex,Senior Risk Manager,$78k - $200k,senior,7mo
Bit Mex,Senior Software Engineer - Digital Technology,$70k - $180k,dev:senior:react,7mo
Bit Mex,Senior Software Engineer - Digital Technology,$70k - $180k,dev:senior:react,7mo
Bit Mex,Trading Applications Product Manager - Web/Mobile,,mobile:product manager:non tech,7mo
Bit Mex,Product Manager - Web/Mobile,,mobile:product manager:non tech,7mo
Bit Mex,Product Manager - Trading App (Web/Mobile),,mobile:product manager:non tech,7mo
Bit Mex,Product Manager - Trading API,,api:product manager:non tech,7mo
Bit Mex,Product Manager - Custody Integration,$69k - $160k,product manager:non tech,7mo
Bit Mex,Business Manager - Trading Platform,$50k - $150k,project manager:non tech,7mo
Bit Mex,Compliance Operations Specialist,,compliance:operations,7mo
Bit Mex,Client Due Diligence Operations Analyst,,analyst:operations,7mo
Bit Mex,Sports & eSports Sponsorships Manager,$80k - $120k,esports,7mo
Bit Mex,Sports & eSports Sponsorships Manager,$80k - $120k,esports,7mo
Bit Mex,Social Media Manager,$33k - $85k,social media:non tech,7mo
Bit Mex,Growth Marketing Manager,$45k - $130k,marketing:non tech,7mo
Bit Mex,Growth Marketing Manager,$25k - $120k,marketing:non tech:remote,7mo
Bit Mex,Digital Marketing Content Writer,$25k - $96k,copywriting:marketing:non tech,7mo
Bit Mex,Digital Graphics Designer,$50k - $150k,design:non tech,7mo
Bit Mex,CX Designer,$50k - $150k,design:non tech,7mo
Bit Mex,Campaign Manager,$45k - $130k,marketing:non tech,7mo
Bit Mex,Brand Manager,$45k - $130k,marketing:non tech,7mo
Bit Mex,Brand Manager,$45k - $130k,marketing:non tech,7mo
Bit Mex,IT Support Engineer (Tier 3),$90k - $140k,dev:customer support,7mo
Bit Mex,IT Support Engineer (Tier 3),$90k - $140k,dev:customer support,7mo
Bit Mex,IT Support Engineer (Tier 2),$90k - $140k,dev:customer support,7mo
Bit Mex,Senior Derivatives Structurer,$78k - $200k,senior,7mo
Bit Mex,Senior Derivatives Quantitative Analyst,$150k - $185k,analyst:senior,7mo
Bit Mex,Derivatives Structurer,,,7mo
Bit Mex,Derivatives Quant Analyst,$40k - $120k,analyst,7mo
Bit Mex,Senior Financial Analyst,,analyst:finance:senior,7mo
Bit Mex,Chief of Staff to Group CFO,,finance:executive:recruiter:non tech,7mo
Bit Mex,Project Manager - Engineering,$50k - $150k,project manager:non tech,7mo
Bit Mex,Custody Engineering Manager - Global Team Leader,,executive:lead:ethereum,7mo
Bit Mex,Custody Engineering Manager - Global Team Leader,,executive:lead:ethereum,7mo
Bit Mex,Global Data Analyst,,analyst:data science:scala,7mo
Bit Mex,Global Data Analyst,,analyst:data science:scala,7mo
Bit Mex,Global Data Analyst,,analyst:data science:scala,7mo
Bit Mex,CRM BI Analyst,,analyst:crm:scala,7mo
Bit Mex,CRM BI Analyst,,analyst:crm:scala,7mo
Bit Mex,Senior Product Manager - Digital Custody,$80k - $150k,product manager:non tech:senior,7mo
Bit Mex,Custody Business Manager,$50k - $150k,project manager:non tech,7mo
Bit Mex,Investment Associate - Corporate Development,$40k - $150k,finance,7mo
Bit Mex,"Senior Compliance Officer, FCC",,compliance:senior,7mo
Bit Mex,Communications & Content Manager,$25k - $96k,marketing:non tech:copywriting,7mo
Bit Mex,Communications & Content Manager,$25k - $96k,marketing:non tech:copywriting,7mo
Bit Mex,Senior Institutional Sales & Client Development Manager - APAC,$50k - $150k,sales:non tech:senior,7mo
Bit Mex,Trade Management Lead Developer,$30k - $180k,dev:lead:java,7mo
Bit Mex,Trade Management Lead Developer,$30k - $180k,dev:lead:java,7mo
Bit Mex,Technical Project Management Lead,$60k - $200k,lead,7mo
Bit Mex,Technical Project Management Lead,$60k - $200k,lead,7mo
Bit Mex,Senior DevOps Engineer,$120k - $200k,devops:dev:senior:java,7mo
Bit Mex,Electronic Trading Platform Lead Developer,$30k - $180k,dev:lead:java,7mo
Bit Mex,Electronic Trading Platform Lead Developer,$30k - $180k,dev:lead:java,7mo
Bit Mex,Data Engineering Lead Developer,$30k - $180k,dev:lead:java,7mo
Bit Mex,Data Engineering Lead Developer,$30k - $180k,dev:lead:java,7mo
Bit Mex,Client Connectivity Lead,$60k - $200k,lead,7mo
Bit Mex,Algo Developer,$33k - $140k,dev:java,7mo
Bit Mex,Algo Developer,$33k - $140k,dev:java,7mo
Bit Mex,IT Support Manager,$40k - $80k,customer support,7mo
