Company Name,Job Title,Salary Range,Tags,Posted Before
Bitfury,"Associate Director of Tax (Remote+Office work, 50/50)",,remote:executive:accounting,7d
Bitfury,Directory Researcher - Crystal (Remote),$56k - $160k,remote,7d
Bitfury,Directory Researcher - Crystal (Remote),$56k - $160k,remote,7d
Bitfury,Legal Counsel - Crystal (Remote),,legal:remote,9d
Bitfury,Group Financial Reporting Manager (Remote),$40k - $100k,remote:finance,9d
Bitfury,Group Financial Reporting Manager (Remote),$40k - $100k,remote:finance,9d
Bitfury,UX/UI Designer (Crystal Blockchain),$100k - $200k,design:non tech:blockchain:javascript,16d
Bitfury,Senior/Lead Python Developer - Crystal Blockchain,$140k - $180k,dev:lead:python:senior:blockchain,16d
Bitfury,Training and Certification Program Lead - Crystal Blockchain (Remote),,remote:lead:education:blockchain,19d
Bitfury,Training and Certification Program Lead - Crystal Blockchain (Remote),,remote:lead:education:blockchain,19d
Bitfury,Directory Researcher - Crystal (Remote),$56k - $160k,remote,19d
Bitfury,Directory Researcher - Crystal (Remote),$56k - $160k,remote,19d
Bitfury,Directory Researcher - Crystal (Remote),$56k - $160k,remote,19d
Bitfury,Product Marketing Manager (Crystal Blockchain),$13k - $100k,marketing:non tech:blockchain,26d
Bitfury,Senior Legal Counsel - Corporate Transactional Lawyer (Remote),,legal:remote:senior,1mo
Bitfury,Senior Legal Counsel - Corporate Transactional Lawyer (Remote),,legal:remote:senior,1mo
Bitfury,"QA Manual Engineer, Crystal (Remote)",,remote:dev:quality assurance,1mo
Bitfury,"QA Manual Engineer, Crystal (Remote)",,remote:dev:quality assurance,1mo
Bitfury,"Frontend Developer (Angular + Wordpress) - Crystal Blockchain, Remote",,remote:javascript:angular:dev:front end,1mo
Bitfury,Senior/Lead Python Developer - Crystal (Remote),$100k - $200k,remote:dev:lead:python:senior,2mo
Bitfury,Senior/Lead Python Developer - Crystal (Remote),$100k - $200k,remote:dev:lead:python:senior,2mo
Bitfury,DevOps/Linux System Administrator - Crystal (Remote),,remote:devops:linux:sys admin:golang,2mo
Bitfury,DevOps/Linux System Administrator - Crystal (Remote),,remote:devops:linux:sys admin:golang,2mo
Bitfury,Project Manager for Bitfury Data Centers (Remote),$56k - $150k,remote:project manager:non tech,2mo
Bitfury,Project Manager for Bitfury Data Centers (Remote),$56k - $150k,remote:project manager:non tech,2mo
Bitfury,Intelligence Trends and Analysis Manager - Crystal (Remote),$56k - $160k,remote,2mo
Bitfury,Intelligence Trends and Analysis Manager - Crystal (Remote),$56k - $160k,remote,2mo
Bitfury,Intelligence Trends and Analysis Manager - Crystal (Remote),$56k - $160k,remote,2mo
Bitfury,Power / Energy Leader (Remote),$95k - $200k,remote:lead,2mo
Bitfury,Power / Energy Leader (Remote),$95k - $200k,remote:lead,2mo
Bitfury,Power / Energy Leader (Remote),$95k - $200k,remote:lead,2mo
Bitfury,Power / Energy Leader (Remote),$95k - $200k,remote:lead,2mo
Bitfury,Power / Energy Leader (Remote),$95k - $200k,remote:lead,2mo
Bitfury,Power / Energy Leader (Remote),$95k - $200k,remote:lead,2mo
Bitfury,Power / Energy Leader (Remote),$95k - $200k,remote:lead,2mo
Bitfury,Project Manager for Bitfury Data Centers (Remote),$56k - $150k,remote:project manager:non tech,3mo
Bitfury,Project Manager for Bitfury Data Centers (Remote),$56k - $150k,remote:project manager:non tech,3mo
Bitfury,Project Manager for Bitfury Data Centers (Remote),$56k - $150k,remote:project manager:non tech,3mo
Bitfury,Project Manager for Bitfury Data Centers (Remote),$56k - $150k,remote:project manager:non tech,3mo
Bitfury,Project Manager for Bitfury Data Centers (Remote),$56k - $150k,remote:project manager:non tech,3mo
Bitfury,Training and Certification Program Lead - Crystal Blockchain,,lead:education:blockchain,3mo
Bitfury,Training and Certification Program Lead - Crystal Blockchain,,lead:education:blockchain,3mo
Bitfury,Power Procurement Coordinator (Remote),$56k - $160k,remote,4mo
Bitfury,Power Procurement Coordinator (Remote),$56k - $160k,remote,4mo
Bitfury,Power Procurement Coordinator (Remote),$56k - $160k,remote,4mo
Bitfury,Power Procurement Coordinator (Remote),$56k - $160k,remote,4mo
Bitfury,"Senior Backend Developer (Go, Solidity)",$33k - $160k,backend:dev:golang:senior:solidity,4mo
Bitfury,"Senior Backend Developer (Go, Solidity)",$33k - $160k,backend:dev:golang:senior:solidity,4mo
Bitfury,"Senior Backend Developer (Go, Solidity)",$33k - $160k,backend:dev:golang:senior:solidity,4mo
Bitfury,Legal Counsel - Crystal (Remote),,legal:remote,4mo
Bitfury,"Construction engineer for Bitfury Data Centers (NAM, Remote)",$65k - $180k,remote:dev,4mo
Bitfury,"Construction engineer for Bitfury Data Centers (NAM, Remote)",$65k - $180k,remote:dev,4mo
Bitfury,"Senior Backend Developer (Go, Solidity)",$33k - $160k,backend:dev:golang:senior:solidity,4mo
Bitfury,Monitoring Specialist for Bitfury Data Centers,,,4mo
Bitfury,"Content Marketing Manager (Crystal Blockchain, Remote)",$25k - $120k,remote:marketing:non tech:blockchain,5mo
Bitfury,"Content Marketing Manager (Crystal Blockchain, Remote)",$25k - $120k,remote:marketing:non tech:blockchain,5mo
Bitfury,"Content Marketing Manager (Crystal Blockchain, Remote)",$25k - $120k,remote:marketing:non tech:blockchain,5mo
Bitfury,RTL Verification Engineer,$60k - $180k,dev,5mo
Bitfury,RTL Verification Engineer,$60k - $180k,dev,5mo
Bitfury,RTL Verification Engineer,$60k - $180k,dev,5mo
Bitfury,Physical Design Engineer (IC Backend),,backend:design:non tech:dev,5mo
Bitfury,Physical Design Engineer (IC Backend),,backend:design:non tech:dev,5mo
Bitfury,Physical Design Engineer (IC Backend),,backend:design:non tech:dev,5mo
Bitfury,Supply Chain Coordinator (Remote),$80k - $110k,remote:operations,5mo
Bitfury,Supply Chain Coordinator (Remote),$80k - $110k,remote:operations,5mo
Bitfury,Visual Content Manager - Crystal Blockchain (Remote),$25k - $120k,remote:marketing:non tech:copywriting:vfx,5mo
Bitfury,Visual Content Manager - Crystal Blockchain (Remote),$25k - $120k,remote:marketing:non tech:copywriting:vfx,5mo
Bitfury,Visual Content Manager - Crystal Blockchain (Remote),$25k - $120k,remote:marketing:non tech:copywriting:vfx,5mo
Bitfury,"Tech / Development Lead (Go, Solidity)",$70k - $180k,golang:lead:solidity,5mo
Bitfury,"Tech / Development Lead (Go, Solidity)",$70k - $180k,golang:lead:solidity,5mo
Bitfury,"Tech / Development Lead (Go, Solidity)",$70k - $180k,golang:lead:solidity,5mo
Bitfury,"Senior QA Automation Engineer, Crystal (remote)",,remote:dev:quality assurance:senior:java,5mo
Bitfury,Senior/Lead Python Developer,$140k - $180k,dev:lead:python:senior,5mo
Bitfury,"QA Manual Engineer, Crystal (remote)",,remote:dev:quality assurance,5mo
