Company Name,Job Title,Salary Range,Tags,Posted Before
Bitwise Asset Management,Product Strategist (San Francisco or NYC),$50k - $150k,,6d
Bitwise Asset Management,Business Development Officer (US Based),$26k - $140k,sales:non tech,18d
Bitwise Asset Management,Risk Manager/Analyst (NYC or US Remote),$45k - $120k,remote:analyst,18d
Bitwise Asset Management,Investment Analyst (NYC or US Remote),,remote:analyst:finance,18d
Bitwise Asset Management,Executive Assistant & Special Projects,$70k - $180k,executive,22d
Bitwise Asset Management,Head of Operational Due Diligence (NYC or US Remote),,executive:remote:operations,28d
Bitwise Asset Management,Marketing Operations & Analytics Associate,,stats:marketing:non tech:operations,1mo
Bitwise Asset Management,Director of National Accounts,$70k - $180k,executive,2mo
Bitwise Asset Management,"Senior Technical Recruiter (SF, NYC, or US Remote)",,remote:recruiter:non tech:senior,2mo
Bitwise Asset Management,"Crypto Equities Specialist (NYC, SF or US Remote)",$35k - $150k,remote:crypto,2mo
Bitwise Asset Management,"Research Operations Coordinator (NYC, SF or US Remote)",$80k - $110k,remote:operations,2mo
Bitwise Asset Management,Fund Administration Associate,,,2mo
Bitwise Asset Management,"Associate Marketing Designer (NYC or Greenville, SC)",,design:non tech:marketing,3mo
Bitwise Asset Management,Associate Events Coordinator (NYC or SF ),,,3mo
Bitwise Asset Management,Marketing Operations Associate,,marketing:non tech:operations,3mo
Bitwise Asset Management,Associate Writer,$56k - $160k,remote,3mo
Bitwise Asset Management,Director of ETF & ETP Capital Markets,$90k - $200k,executive:finance,5mo
Bitwise Asset Management,Director of ETF & ETP Capital Markets,$40k - $225k,executive:finance:remote,5mo
Bitwise Asset Management,Director of ETF & ETP Capital Markets,$90k - $200k,executive:finance,5mo
Bitwise Asset Management,Sales Strategist,$26k - $140k,sales:non tech,5mo
Bitwise Asset Management,National Accounts Business Development Officer,$26k - $140k,sales:non tech,5mo
Bitwise Asset Management,"Distribution Manager, BDA Desk Manager",,,5mo
Bitwise Asset Management,"Business Development Associate, ""Pacific South"" Territory",$26k - $140k,sales:non tech,5mo
Bitwise Asset Management,Business Development Associate (Roles in Multiple Territories),$26k - $140k,sales:non tech,5mo
Bitwise Asset Management,Crypto Research Analyst: NFT Specialist,$31k - $120k,analyst:crypto:nft:remote,5mo
Bitwise Asset Management,"Senior Fund Operations Associate (CT, NY or SF Area)",,operations:senior,5mo
Bitwise Asset Management,"Senior Fund Operations Associate (CT, NY or SF Area)",,operations:senior,5mo
Bitwise Asset Management,"Senior Fund Operations Associate (CT, NY or SF Area)",,operations:senior,5mo
Bitwise Asset Management,Corporate Finance & Planning (NY or SF Area),$40k - $150k,finance,5mo
Bitwise Asset Management,Head of Field Marketing,$70k - $158k,executive:marketing:non tech:remote,5mo
Bitwise Asset Management,Head of Field Marketing,$70k - $158k,executive:marketing:non tech,5mo
Bitwise Asset Management,Full Stack Software Engineer,$65k - $180k,dev:full stack,5mo
Bitwise Asset Management,Investor Relations Associate (NY or SF Area),$40k - $150k,finance,5mo
Bitwise Asset Management,Crypto Research Analyst: Smart Contract Platforms & Web3 Specialist,,analyst:crypto:smart contract:remote,5mo
Bitwise Asset Management,Active Portfolio Manager (NY or SF Area),$40k - $150k,finance,5mo
Bitwise Asset Management,Investor Relations Associate (NY or SF Area),$40k - $150k,finance,5mo
Bitwise Asset Management,Active Portfolio Manager (SF or NY Area),$40k - $150k,finance,6mo
Bitwise Asset Management,Crypto Research Analyst: Indexing Specialist,,analyst:crypto:remote,6mo
Bitwise Asset Management,Senior Recruiter (NY or SF Area),$40k - $70k,recruiter:non tech:senior,6mo
Bitwise Asset Management,Crypto Research Analyst: Governance Specialist,,analyst:crypto:remote,6mo
Bitwise Asset Management,Product Management & Development Lead (NY or SF Area),$60k - $200k,lead,6mo
Bitwise Asset Management,"Crypto Research Analyst: Layer 1, Layer 2, Web3 Specialist",$20k - $120k,analyst:crypto,6mo
Bitwise Asset Management,Institutional Business Development Associate,$26k - $140k,sales:non tech,6mo
Bitwise Asset Management,Head of Field Marketing,$70k - $158k,executive:marketing:non tech,6mo
Bitwise Asset Management,Executive Assistant,$70k - $180k,executive,6mo
