Company Name,Job Title,Salary Range,Tags,Posted Before
Blockchain,"Lead, Gaming Partnerships",$135k - $150k,sales:non tech:game dev:lead,18h
Blockchain,M&A Strategy Associate,$50k - $150k,,6d
Blockchain,People Associate,$50k - $155k,,8d
Blockchain,Director of Accounting Policy and Reporting,$120k - $150k,accounting:executive,8d
Blockchain,"Senior Software Engineer, Institutional Platform",$130k - $160k,dev:senior:scala:java,14d
Blockchain,Latin America - Product Manager,$69k - $160k,product manager:non tech,16d
Blockchain,Office Manager & Executive Assistant,$70k - $180k,executive,19d
Blockchain,"Markets Compliance Specialist, North America",,compliance,19d
Blockchain,Senior Tax Manager,$80k - $110k,senior:accounting,19d
Blockchain,Trading System Support Engineer,,dev:customer support:react:javascript,20d
Blockchain,Senior Counsel (Institutional Markets),,legal:senior,20d
Blockchain,Front End Engineer,$50k - $144k,dev:front end:react:javascript:node,20d
Blockchain,Talent Operations Manager,,operations:recruiter:non tech,22d
Blockchain,Financial Operations Associate,$55k - $200k,finance:operations,22d
Blockchain,Senior IT Support Engineer,,dev:senior:customer support,22d
Blockchain,Senior IT Support Engineer,,dev:senior:customer support,22d
Blockchain,General Manager - Mexico,$70k - $180k,executive,22d
Blockchain,General Manager - Brazil,$70k - $180k,executive,22d
Blockchain,Finance Systems Intern,,finance:intern:entry level,22d
Blockchain,"Portfolio Development Lead, Investments",$35k - $150k,finance:lead,26d
Blockchain,"Investment Analyst Intern, Principal Investments",$20k - $30k,analyst:intern:entry level:finance:executive,26d
Blockchain,Executive Assistant,$70k - $180k,executive,28d
Blockchain,"Legal Counsel, EMEA Regulatory",$24k - $140k,legal,1mo
Blockchain,Total Rewards Partner,,,1mo
Blockchain,"Legal Program Manager, Corporate & Commercial",,legal:executive,1mo
Blockchain,Transaction Monitoring Analyst,$40k - $120k,analyst,1mo
Blockchain,Senior Data Protection Specialist,$78k - $200k,senior,2mo
Blockchain,Latin America Senior Compliance Regulatory Specialist,,compliance:legal:senior,2mo
Blockchain,"Chief Compliance Officer / Money Laundering Reporting Officer, Germany",,compliance:executive:remote,2mo
Blockchain,Senior Solana Engineer,$90k - $200k,dev:senior:web3js:solana:javascript,2mo
Blockchain,Solana Product Analyst,$150k - $185k,analyst:solana:javascript:rust,2mo
Blockchain,Solana Engineer,$33k - $200k,dev:web3js:solana:javascript:rust,2mo
Blockchain,Customer Success Associate,$40k - $80k,customer support,2mo
Blockchain,Customer Success Operations Specialist,$60k - $80k,customer support:operations,2mo
Blockchain,Accounting Manager - Corporate Accounting,$25k - $150k,accounting,2mo
Blockchain,Senior Site Reliability Engineer - Low Latency (Tooling),$150k - $200k,dev:sys admin:senior,3mo
Blockchain,Senior Site Reliability Engineer - Low Latency (Hardware),,dev:hardware:sys admin:senior,3mo
Blockchain,Head of Trading Operation,$70k - $180k,executive,3mo
Blockchain,Growth & Performance Leader,$50k - $120k,marketing:non tech:lead:nft,3mo
Blockchain,Marketing Manager,$45k - $130k,marketing:non tech,3mo
Blockchain,"Finance Manager, Power User Oracle",$40k - $150k,finance,3mo
Blockchain,US Domestic Payroll Manager,$25k - $150k,accounting,3mo
Blockchain,IT Support - Level I,,customer support:react:nft:node:vue,3mo
