Company Name,Job Title,Salary Range,Tags,Posted Before
Boson Protocol,Head of Operations,$150k - $230k,executive:operations,8h
Boson Protocol,Talent Acquisition Partner,$51k - $70k,recruiter:non tech:nft,13d
Boson Protocol,Financial Accountant,$120k - $150k,accounting:finance,14d
Boson Protocol,Community & Customer Support Manager (Americas),,community manager:non tech:customer support:nft,1mo
Boson Protocol,Quality Assurance Analyst,$40k - $120k,analyst,1mo
Boson Protocol,Sr. Product Manager - Web3,$80k - $150k,product manager:non tech:senior:ethereum,1mo
Boson Protocol,Senior Product Designer,$60k - $120k,design:non tech:senior,2mo
Boson Protocol,Internal Recruitment Coordinator,$51k - $70k,recruiter:non tech:nft,2mo
Boson Protocol,Recruitment Coordinator,$51k - $70k,recruiter:non tech:nft,2mo
Boson Protocol,Delivery Lead,$60k - $200k,lead,2mo
Boson Protocol,Business Operations Associate (Contract),$60k - $200k,operations,2mo
Boson Protocol,Partnerships Manager,$100k - $180k,sales:non tech:nft,2mo
Boson Protocol,Paralegal,,,2mo
Boson Protocol,Content Creator & Video Editor,,video,3mo
Boson Protocol,Experiences & Events Marketing Executive,$70k - $158k,executive:marketing:non tech:nft,3mo
Boson Protocol,Community & Social Media Coordinator,$45k - $100k,community manager:non tech:social media:nft,3mo
Boson Protocol,Project & Account Manager,,account manager,3mo
Boson Protocol,Chief Marketing Officer,$70k - $158k,executive:marketing:non tech,3mo
Boson Protocol,Senior Blockchain Engineer,$80k - $200k,dev:senior:blockchain:web3js:solidity,3mo
Boson Protocol,Senior Backend Engineer,$70k - $200k,backend:dev:senior:web3js:react,3mo
Boson Protocol,Infrastructure Engineer,$60k - $135k,dev:web3js:solidity:ethereum:javascript,3mo
Boson Protocol,Full Stack Engineer,$80k - $130k,dev:full stack:web3js:react:solidity,3mo
Boson Protocol,UX Designer,$50k - $150k,design:non tech,3mo
Boson Protocol,Head of Communications,$79k - $158k,executive:ethereum,3mo
Boson Protocol,Head of Brand Design,$70k - $158k,executive:marketing:non tech:design:ethereum,3mo
Boson Protocol,Community & Customer Support Manager,,community manager:non tech:customer support:nft,4mo
Boson Protocol,Crypto Financial Director,$90k - $140k,executive:finance:crypto,4mo
Boson Protocol,Business Operations Associate,$60k - $200k,operations,4mo
Boson Protocol,Head of UX,,executive:design:non tech:ethereum:nft,4mo
Boson Protocol,Crypto Assistant Accountant,$24k - $45k,accounting:crypto,5mo
Boson Protocol,Technical Talent Application,,recruiter:non tech:react:solidity:ethereum,5mo
Boson Protocol,Senior Blockchain Engineer,$80k - $200k,dev:senior:blockchain:ethereum,5mo
Boson Protocol,Global Director of eCommerce,$56k - $400k,executive:ecommerce,5mo
Boson Protocol,Community Manager - Projects,$35k - $101k,community manager:non tech:nft,6mo
