Company Name,Job Title,Salary Range,Tags,Posted Before
Braintrust,Principal Full Stack Software Engineer [REMOTE],$70k - $200k,remote:dev:full stack:executive:javascript,20h
Braintrust,Senior Full Stack Software Engineer [REMOTE],$70k - $200k,remote:dev:full stack:senior:javascript,21h
Braintrust,Sr DevOps Engineer,$50k - $100k,devops:dev:golang,2d
Braintrust,"Smart Contract Developer (Solidity, NFT) [Remote]",$90k - $180k,remote:dev:nft:smart contract:solidity,2d
Braintrust,Full Stack Engineer (Mobile -- React Native + NodeJS) [REMOTE],$70k - $200k,remote:dev:full stack:mobile:javascript,2d
Braintrust,Senior UX Writer/Content Designer [REMOTE],$50k - $150k,remote:design:non tech:senior,6d
Braintrust,Sr Content Designer [REMOTE],$50k - $135k,remote:design:non tech,6d
Braintrust,Senior Front End Developer [REMOTE],$30k - $140k,remote:dev:front end:senior:react,7d
Braintrust,Senior Back-End Engineer [REMOTE],$60k - $180k,remote:backend:dev:senior:react,8d
Braintrust,Database Architect (Firebase + GCP) [REMOTE],,remote:architecture:firebase,8d
Braintrust,Communication Designer [Remote],$50k - $135k,remote:design:non tech,8d
Braintrust,Sr. PHP Developer [Remote],,remote:dev:php:senior,8d
Braintrust,Sr. Performance Engineer - Remote - NOT C2C,,c:c plus plus:remote:dev:senior,8d
Braintrust,Sr Protocol Engineer,$48k - $150k,dev:golang,9d
Braintrust,Solution Engineer – Scrum Lead [REMOTE],$100k - $200k,remote:dev:lead:scrum,9d
Braintrust,Sr. Frontend Enginee [Remote],$70k - $190k,remote:front end:senior:react:javascript,9d
Braintrust,Back End Java Engineer [REMOTE],$60k - $180k,remote:backend:dev:java,9d
Braintrust,"Back End Developer, Ruby on Rails [Remote]",$60k - $180k,remote:backend:dev:ruby,9d
Braintrust,Service Designer [Remote],$50k - $135k,remote:design:non tech,9d
Braintrust,Product / UX Designer [REMOTE],$50k - $135k,remote:design:non tech,9d
Braintrust,Senior API Designer Engineer (Blockchain Team) [Remote],,remote:api:design:non tech:dev,9d
Braintrust,Senior Data Modeler Engineer (Blockchain Team) [Remote],$89k - $200k,remote:dev:senior:blockchain:java,9d
Braintrust,Digital Project Manager - Ecommerce Brand [Remote],$25k - $120k,remote:marketing:non tech:ecommerce:project manager,12d
Braintrust,QA Analyst [Remote],,remote:analyst:quality assurance,13d
Braintrust,Sr Software Engineer [REMOTE],$65k - $180k,remote:dev,19d
Braintrust,Full Stack Developer [Remote],$70k - $200k,remote:dev:full stack:react:ethereum,20d
Braintrust,Senior Web3 / Blockchain Developer,$80k - $200k,dev:senior:blockchain:solidity:ethereum,20d
Braintrust,Senior Blockchain Engineer (Rust) [Remote],$70k - $180k,remote:dev:rust:senior:blockchain,20d
Braintrust,Full Stack Software Engineers [REMOTE],$70k - $200k,remote:full stack:dev,22d
Braintrust,Senior Software Engineer,$80k - $200k,dev:senior:ethereum,29d
Braintrust,Senior Devops Engineer,$120k - $200k,devops:dev:senior:ethereum,1mo
Braintrust,Senior Smart Contract Developer,$120k - $250k,dev:senior:smart contract:solidity:nft,1mo
Braintrust,Sr Backend Engineer,$33k - $160k,backend:dev:golang,1mo
Braintrust,Community Gaming | Rust Developer,,community manager:non tech:dev:game dev:rust,1mo
Braintrust,Rust Developer (REMOTE),$70k - $180k,remote:dev:rust:solana,1mo
Braintrust,Senior developer (REMOTE),$85k - $200k,remote:dev:senior:solidity:node,1mo
Braintrust,Founding Engineer [Remote],$60k - $150k,remote:dev:ethereum,2mo
Braintrust,Lead Solidity/Vyper Engineer (REMOTE),$100k - $200k,remote:dev:lead:solidity:ethereum,2mo
Braintrust,"Mobile Developer, React Native (Remote)",$65k - $180k,remote:dev:mobile:react native:javascript,2mo
Braintrust,NFT/Blockchain Developer (REMOTE) (AMERICA AND EUROPE ONLY),$70k - $190k,remote:dev:blockchain:nft:javascript,2mo
Braintrust,Smart Contract Developer - Remote,$80k - $200k,remote:dev:smart contract:solidity:solana,2mo
Braintrust,Web3 Developer - Remote,$50k - $150k,remote:dev:react:solidity:ethereum,2mo
Braintrust,Blockchain Engineer - Remote,$70k - $190k,remote:dev:blockchain:ethereum:rust,2mo
Braintrust,Junior Front End engineer (REMOTE),$22k - $120k,remote:dev:front end:junior:entry level,2mo
Braintrust,DevOps Engineer (REMOTE) (GLOBAL),$95k - $180k,remote:devops:dev:javascript:ruby,2mo
Braintrust,"Solidity Developer [Remote, global]",$80k - $170k,remote:dev:solidity:nft:ruby,2mo
Braintrust,Lead Front End Developer (REMOTE) (GLOBAL),$22k - $120k,remote:dev:front end:lead:react,2mo
Braintrust,"Sr. Gameplay Unity Programmer - (REMOTE, global)",$85k - $200k,remote:dev:senior,2mo
Braintrust,"Blockchain Engineer, Rust [REMOTE, Global]",$70k - $180k,remote:dev:rust:blockchain:solidity,2mo
Braintrust,"Unity Gameplay Developer [Remote, Global]",$65k - $180k,remote:dev,2mo
Braintrust,[REMOTE] Full stack engineer,$70k - $200k,remote:dev:full stack:nft,3mo
