Company Name,Job Title,Salary Range,Tags,Posted Before
Brave,Senior DevOps Engineer,$120k - $200k,devops:dev:senior:javascript:ruby,5d
Brave,Security Researcher,$150k - $185k,security:javascript:rust,20d
Brave,Account Manager,,account manager:javascript,26d
Brave,IT Support Engineer,,dev:customer support:javascript,27d
Brave,"Product Marketing Manager, Ads & Rewards",,marketing:non tech:javascript,29d
Brave,"Product Marketing Manager, Wallet",$55k - $140k,marketing:non tech:nft:javascript,29d
Brave,Data Engineer,,data science:dev:javascript,29d
Brave,Anti-Fraud Engineer - Red Team,$130k - $200k,dev:security:javascript:golang,29d
Brave,Backend Engineer,$65k - $150k,backend:dev:javascript,29d
Brave,Anti-Fraud Engineer,,dev:security:ethereum:javascript:ruby,29d
Brave,"Sr. Marketing Manager, B2B & Events",$46k - $109k,marketing:non tech:senior:javascript,1mo
Brave,Mobile Product Designer,,design:non tech:mobile:javascript,1mo
Brave,"Director, Head of Product Marketing",$70k - $158k,executive:marketing:non tech:product manager:javascript,2mo
Brave,Android Engineer - Intern - Remote - USA,,remote:android:mobile:dev:intern,2mo
Brave,Marketing Copywriter/Content Strategist,$25k - $96k,copywriting:marketing:non tech:javascript,2mo
Brave,Engineering Intern - Ads,$18k - $28k,intern:entry level:javascript,2mo
Brave,Sr. Creative/Brand Designer,,marketing:non tech:design:senior:javascript,2mo
Brave,User Support Engineer,,dev:customer support:remote,3mo
Brave,Sr. Chromium Engineer,$80k - $200k,dev:senior:javascript,3mo
Brave,Brave Wallet - Sr. Software Engineer - Core,$90k - $220k,dev:senior:solana:ethereum:javascript,3mo
Brave,Sr. Engineer - Ledger,$90k - $220k,dev:senior:solana:ethereum:javascript,3mo
Brave,Social Media Manager,$33k - $85k,social media:non tech,3mo
Brave,Anti-Fraud Engineer,,dev:security:ethereum:javascript:ruby,3mo
Brave,Front End Engineer / Brave Wallet,$50k - $144k,dev:front end:react:javascript,4mo
Brave,Research Engineer,$75k - $190k,dev:rust,4mo
Brave,Security and Cryptography Engineer,$130k - $200k,dev:security:javascript:ruby:node,5mo
Brave,DevOps Engineer,$150k - $200k,devops:dev:javascript:ruby:php,5mo
Brave,Software Engineer (Ruby on Rails),$18k - $52k,dev:ruby:javascript,5mo
Brave,Ph.D. intern,,intern:entry level,5mo
Brave,Machine Learning Researcher,,machine learning:javascript:java,5mo
Brave,Product Marketing Manager,$45k - $130k,marketing:non tech,5mo
Brave,Sr. Software Engineer - Ruby on Rails,$32k - $113k,dev:ruby:senior:react:ethereum,5mo
Brave,Sr. Software Engineer - Full Stack,$70k - $180k,dev:full stack:senior:ethereum:javascript,5mo
Brave,"Sr. Software Engineer, Android UI",,android:mobile:dev:senior:design,5mo
Brave,Sr. iOS Engineer - Wallets,$51k - $109k,dev:ios:mobile:senior:javascript,5mo
Brave,Senior Android Engineer,,android:mobile:dev:senior:java,5mo
Brave,Quality Assurance Engineer,$60k - $180k,dev,5mo
Brave,Machine Learning Engineer,,dev:machine learning:javascript:java,5mo
Brave,Integration Engineer,$54k - $140k,dev:ethereum:javascript:ruby:rust,5mo
Brave,Blockchain Engineer,$50k - $130k,dev:blockchain:react:solana:ethereum,5mo
Brave,Ads Product Manager,$69k - $160k,product manager:non tech,5mo
Brave,Sr. Software Engineer - Blockchain,$80k - $200k,dev:senior:blockchain:react:solana,6mo
