Company Name,Job Title,Salary Range,Tags,Posted Before
C Labs,Product Marketing Manager,$25k - $120k,marketing:non tech:remote,9d
C Labs,Senior Financial Software Engineer,,dev:finance:senior,18d
C Labs,"IT Helpdesk Engineer - Berlin, Germany",$60k - $180k,dev,18d
C Labs,Tell us how you would like to contribute!,$56k - $160k,remote,18d
C Labs,Recruiting Coordinator,,recruiter:non tech:remote,18d
C Labs,Commerce Business Development Lead,,sales:non tech:lead:remote,18d
C Labs,Working student Recruiting (f/m/x),$40k - $70k,recruiter:non tech,18d
C Labs,Partner Engineering,$56k - $160k,remote,28d
C Labs,GRC/Incident Response Manager,$56k - $160k,remote,1mo
C Labs,"Product Manager, Applications",$115k - $175k,product manager:non tech:remote,2mo
C Labs,DevOps Engineer,$95k - $180k,devops:dev:remote,2mo
C Labs,Security Analyst,,analyst:security:remote,2mo
C Labs,Partner Engineering Lead,$95k - $200k,lead:remote,2mo
C Labs,Technical Recruiter,$40k - $70k,recruiter:non tech,3mo
C Labs,"Investment Intern, Celo Foundation (Summer 2022)",,intern:entry level:finance:remote,3mo
C Labs,"Events Partner, Celo Foundation",$56k - $160k,remote,3mo
C Labs,"Product Manager, Blockchain",$35k - $120k,product manager:non tech:blockchain:remote,4mo
C Labs,Technical Program Manager,$79k - $200k,executive:remote,4mo
C Labs,"Head of Risk and Compliance, Celo Foundation",,compliance:executive:remote,5mo
C Labs,Head of Risk and Compliance,,compliance:executive:remote,5mo
C Labs,Accounting Intern,,accounting:intern:entry level,5mo
C Labs,HR Business Partner,$60k - $120k,hr:non tech:remote,5mo
C Labs,"Community Programs Management Intern, Celo Foundation (Spring/Summer 2022)",,community manager:non tech:intern:entry level:remote,5mo
C Labs,"Solutions Engineer, CBDC Solutions/Provo",$65k - $180k,dev:remote,5mo
C Labs,"Software Engineer, New Grad",$65k - $180k,dev:remote,5mo
C Labs,Developer Relations Engineer,,customer support:dev:remote,5mo
C Labs,"Software Engineer, Applications",$65k - $180k,dev:remote,5mo
C Labs,Smart Contracts Engineer,$80k - $200k,dev:smart contract:remote,5mo
C Labs,Senior Rust Engineer,$120k - $210k,dev:rust:senior:remote,5mo
C Labs,Senior Distributed Systems Engineer,$150k - $200k,dev:senior:sys admin:ethereum:node,5mo
C Labs,Full-Stack Engineer,$70k - $200k,dev:full stack:remote,5mo
C Labs,Data Engineer,,data science:dev:remote,5mo
C Labs,Core Security Engineer,$95k - $250k,dev:security:remote,5mo
C Labs,People Operations Intern / Working Student,,intern:entry level:operations:remote,5mo
C Labs,"Investment Analyst Partner, Celo Foundation",,analyst:finance:remote,5mo
C Labs,"Head of Marketing, Celo Foundation",$70k - $158k,executive:marketing:non tech:remote,5mo
C Labs,Head of Government Relations,$79k - $200k,executive:remote,5mo
C Labs,Executive Assistant,$70k - $180k,executive,5mo
C Labs,"Developer Communications Lead, Celo Foundation",$100k - $200k,dev:lead,5mo
C Labs,"Corporate Communications Lead, Celo Foundation",$95k - $200k,lead:remote,5mo
C Labs,"Communications Coordinator, Celo Foundation",$56k - $160k,remote,5mo
C Labs,Asia Ecosystem Lead,$60k - $200k,lead,5mo
C Labs,"APAC Communications Partner, Celo Foundation",,,5mo
C Labs,Africa Ecosystem Lead,$95k - $200k,lead:remote,5mo
C Labs,"Technical Recruiter, Celo Foundation",,recruiter:non tech:remote,5mo
C Labs,Community Manager,$40k - $100k,community manager:non tech,5mo
C Labs,"Partner, Accounting",$25k - $150k,accounting,5mo
C Labs,"Research & Innovation Intern, Celo Foundation (Spring/Summer 2022)",$24k - $48k,intern:entry level:remote,5mo
C Labs,Commerce Product Intern (Spring/Summer 2022),$24k - $48k,intern:entry level:remote,6mo
C Labs,Economics Product Intern (Spring/Summer 2022),$24k - $48k,intern:entry level:remote,6mo
C Labs,Software Engineering Intern (Summer 2022),$12k - $33k,intern:entry level:dev:remote,6mo
C Labs,Platform Product Intern (Spring/Summer 2022),$24k - $48k,intern:entry level:remote,6mo
C Labs,IT Manager,$79k - $200k,executive:remote,6mo
C Labs,Ethereum L1 Blockchain Engineer,$33k - $120k,dev:blockchain:ethereum:remote,6mo
C Labs,Senior Legal Counsel,,legal:senior:remote,6mo
