Company Name,Job Title,Salary Range,Tags,Posted Before
Cake Pte Ltd,Software Engineer (C++),$100k - $255k,c:c plus plus:dev:node:rust,6h
Cake Pte Ltd,Senior Product Manager,$80k - $150k,product manager:non tech:senior,1d
Cake Pte Ltd,Head of Brand & Communications,$70k - $158k,executive:marketing:non tech,2d
Cake Pte Ltd,Head of Social Media & Community,$45k - $150k,executive:community manager:non tech:social media,6d
Cake Pte Ltd,Corporate/ Commercial Lawyer (2-4 years PQE),$24k - $140k,legal,16d
Cake Pte Ltd,Payroll Accountant,$25k - $150k,accounting,23d
Cake Pte Ltd,Information Technology Support Specialist,$40k - $80k,customer support,30d
Cake Pte Ltd,QA Automation Engineer,$40k - $150k,dev:quality assurance:javascript,1mo
Cake Pte Ltd,Product Designer,$50k - $150k,design:non tech,1mo
Cake Pte Ltd,Software Engineer (Web3),$67k - $200k,dev:react:solidity:node,1mo
Cake Pte Ltd,Software Engineer (React),$56k - $160k,dev:javascript:react:react native:nextjs,1mo
Cake Pte Ltd,Software Engineer (Blockchain),$50k - $120k,dev:blockchain:javascript:node:rust,1mo
Cake Pte Ltd,Software Engineer (Backend),$65k - $150k,backend:dev:javascript:node,1mo
Cake Pte Ltd,Recruiter,$40k - $70k,recruiter:non tech,2mo
Cake Pte Ltd,Brand Communications & PR Manager,$45k - $130k,marketing:non tech,2mo
Cake Pte Ltd,Senior Project Manager,,project manager:non tech:senior,2mo
Cake Pte Ltd,Finance & Reporting Manager,$40k - $150k,finance,2mo
Cake Pte Ltd,Project Manager,$50k - $150k,project manager:non tech,2mo
Cake Pte Ltd,Software Engineer (Javascript),$56k - $160k,dev:javascript:react:react native:nextjs,2mo
Cake Pte Ltd,Senior Software Engineer,$80k - $200k,dev:senior:javascript:node:rust,2mo
Cake Pte Ltd,Software Engineer (DevOps),$70k - $180k,devops:dev,2mo
Cake Pte Ltd,Senior DevOps Engineer,$120k - $200k,devops:dev:senior,2mo
Cake Pte Ltd,Business Development Manager,$26k - $140k,sales:non tech,2mo
Cake Pte Ltd,"VP, Operations",$150k - $230k,operations:executive,2mo
Cake Pte Ltd,Social Media Executive,$45k - $150k,executive:social media:non tech:remote,3mo
Cake Pte Ltd,Senior Marketing Designer,,design:non tech:marketing:senior,3mo
Cake Pte Ltd,Marketing Campaign Manager,$45k - $130k,marketing:non tech,3mo
Cake Pte Ltd,Rust Engineer,$69k - $160k,dev:rust:javascript,3mo
Cake Pte Ltd,Customer Success Specialist,$40k - $80k,customer support:remote,3mo
Cake Pte Ltd,Finance & Reporting Specialist,$40k - $150k,finance,3mo
Cake Pte Ltd,Senior Graphic Designer,$60k - $120k,design:non tech:senior,3mo
Cake Pte Ltd,Loyalty & CRM Manager,,crm,3mo
Cake Pte Ltd,Product Marketing Manager,$45k - $130k,marketing:non tech,3mo
Cake Pte Ltd,Head of Engineering,$70k - $180k,executive,3mo
Cake Pte Ltd,Mobile App Engineer,$120k - $200k,dev:mobile:react:react native:node,3mo
Cake Pte Ltd,DevOps Engineer,$95k - $180k,devops:dev:remote,3mo
Cake Pte Ltd,Solidity Smart Contract DeFi engineer,$100k - $300k,dev:defi:smart contract:solidity:ethereum,3mo
Cake Pte Ltd,Product Designer,$50k - $150k,design:non tech,3mo
Cake Pte Ltd,Social & Community Executive,$45k - $150k,community manager:non tech:executive,3mo
Cake Pte Ltd,Senior Manager - People Ops,$78k - $200k,senior,4mo
Cake Pte Ltd,Risk and Internal Controls Specialist,,,4mo
Cake Pte Ltd,Product Manager,$69k - $160k,product manager:non tech,4mo
Cake Pte Ltd,Senior Backend Engineer (Scaling),$70k - $200k,backend:dev:senior:web3js:ethereum,5mo
Cake Pte Ltd,Technology Controls Specialist,,,5mo
Cake Pte Ltd,Head of Digital Performance and Marketing,$70k - $158k,executive:marketing:non tech,5mo
Cake Pte Ltd,Treasury and FP&A Manager,,,5mo
Cake Pte Ltd,Business Development Manager,$26k - $140k,sales:non tech,5mo
Cake Pte Ltd,Business Intelligence & Data Engineer (MicroStrategy Architect),,architecture:data science:dev:javascript,5mo
Cake Pte Ltd,Legal Counsel,$24k - $140k,legal,6mo
Cake Pte Ltd,VP of Compliance,,compliance:executive,6mo
Cake Pte Ltd,Finance Engineering Analyst,,analyst:finance:javascript,6mo
Cake Pte Ltd,Product Designer,$50k - $150k,design:non tech,7mo
Cake Pte Ltd,Software Engineer (JS),$60k - $150k,javascript:dev:web3js:react:ethereum,7mo
Cake Pte Ltd,Senior Rust Engineer,$120k - $210k,dev:rust:senior:javascript,7mo
Cake Pte Ltd,QA Automation Engineer,$40k - $150k,dev:quality assurance:javascript:node,7mo
Cake Pte Ltd,Mobile Lead Engineer,$140k - $180k,dev:lead:mobile:react:react native,7mo
Cake Pte Ltd,Information Technology Specialist,$40k - $80k,customer support,7mo
Cake Pte Ltd,Fullstack Javascript Engineer,$65k - $180k,dev:full stack:javascript:web3js:react,7mo
Cake Pte Ltd,Business Intelligence Data Lead,$78k - $180k,lead:javascript,7mo
Cake Pte Ltd,Head of Customer Success,,executive:customer support,7mo
Cake Pte Ltd,Senior Manager - Affiliate Marketing,$46k - $109k,marketing:non tech:senior,7mo
Cake Pte Ltd,Head of Social Media & Community,$45k - $150k,executive:community manager:non tech:social media,7mo
Cake Pte Ltd,Head of Brand & Comms,$70k - $158k,executive:marketing:non tech,7mo
Cake Pte Ltd,Technical Recruiter / Sourcer,$40k - $70k,recruiter:non tech,7mo
Cake Pte Ltd,Finance & Accounting Specialist,$120k - $150k,accounting:finance,7mo
Cake Pte Ltd,Accountant,$25k - $150k,accounting,7mo
Cake Pte Ltd,Marketing Editor,$45k - $130k,marketing:non tech,7mo
Cake Pte Ltd,Senior Software Engineer,$90k - $200k,dev:senior:web3js:react:ethereum,7mo
Cake Pte Ltd,HR Exec,$60k - $150k,hr:non tech,7mo
Cake Pte Ltd,Senior Software Engineer - Backend (JS),$65k - $150k,javascript:backend:dev:senior:web3js,7mo
Cake Pte Ltd,Blockchain Engineer (Rust),$79k - $190k,dev:rust:blockchain:javascript,7mo
