Company Name,Job Title,Salary Range,Tags,Posted Before
Candy,Lead Business Operations Associate - Analytics,,stats:lead:operations,1d
Candy,VFX Producer,$11k - $80k,vfx:non tech,2d
Candy,Creative Director,$70k - $180k,executive,2d
Candy,"3D Generalist (Lighting, Texturing and Compositing)",$11k - $80k,vfx:non tech,2d
Candy,"Manager, Engineering",$67k - $175k,react:nextjs,5d
Candy,Infrastructure Security Engineer,$95k - $250k,dev:security,5d
Candy,Application Security Engineer,$95k - $250k,dev:security,5d
Candy,Senior Product Manager,$80k - $150k,product manager:non tech:senior:nft,5d
Candy,Director of Data Science,,data science:executive:nft,5d
Candy,Senior Unity Engineer,$90k - $200k,dev:senior:nft,5d
Candy,Senior Producer (Gaming Products),$80k - $150k,game dev:senior:nft,5d
Candy,Senior Design Operations Associate,,design:non tech:operations:senior,5d
Candy,Design Director (Gaming Products),,design:non tech:executive:game dev:nft,5d
Candy,Staff Software Engineer - DevOps,$80k - $145k,devops:dev:node:java:rust,5d
Candy,Staff Experience Engineer (R&D),$50k - $150k,dev:golang,5d
Candy,Senior Frontend Engineer,$70k - $200k,dev:front end:senior:react:javascript,5d
Candy,Senior Blockchain Engineer (Smart Contracts),$80k - $200k,dev:senior:blockchain:smart contract:solidity,5d
Candy,Senior Backend Engineer,$70k - $200k,backend:dev:senior:java,5d
Candy,Data Scientist,$50k - $150k,data science:nft,5d
Candy,User Experience Researcher,$60k - $150k,design:non tech:nft,5d
Candy,Recruitment Brand Marketing Manager,,marketing:non tech:recruiter,5d
Candy,Recruitment Brand Marketing Manager,,marketing:non tech:recruiter,5d
Candy,Junior Technical Recruiter,,junior:entry level:recruiter:non tech,5d
Candy,HR Business Partner (Learning and Development),$60k - $150k,hr:non tech,5d
Candy,Executive Assistant,$70k - $180k,executive,5d
Candy,eCommerce Site Ops Associate,$220k - $400k,ecommerce:react:javascript,5d
Candy,eCommerce Business Analyst,,analyst:ecommerce:react:javascript,5d
Candy,Senior Marketing Copywriter,$25k - $105k,copywriting:non tech:marketing:senior,5d
