Company Name,Job Title,Salary Range,Tags,Posted Before
Celo Foundation,Global Developer Events Manager,,events manager:non tech:dev,28d
Celo Foundation,Recruiter Intern,,intern:entry level:recruiter:non tech:remote,2mo
Celo Foundation,Senior Social Media Manager,,senior:social media:non tech:remote,2mo
Celo Foundation,Developer Community Manager (Node Operator Community),,community manager:non tech:dev:javascript:node,2mo
Celo Foundation,Communications Lead,$95k - $200k,lead:remote,2mo
Celo Foundation,Product Marketing Manager,$25k - $120k,marketing:non tech:remote,2mo
Celo Foundation,Europe Ecosystem Lead,$95k - $200k,lead:remote,2mo
Celo Foundation,Philippines Ecosystem Lead,$95k - $200k,lead:remote,2mo
Celo Foundation,Marcom Coordinator,$56k - $160k,remote,2mo
Celo Foundation,Sr. Business Analyst - Crypto,,analyst:senior:crypto:remote,2mo
Celo Foundation,Argentina Ecosystem Lead,$95k - $200k,lead:remote,2mo
Celo Foundation,"Philippines Eco System Lead, Celo Foundation",$95k - $200k,lead:remote,3mo
Celo Foundation,"Visual Designer, Celo Foundation",$50k - $135k,design:non tech:remote,3mo
Celo Foundation,"Technical Recruiter, Celo Foundation",,recruiter:non tech:remote,3mo
Celo Foundation,"Business Development, Web3 Partnerships, Celo Foundation",$29k - $108k,sales:non tech:remote,3mo
Celo Foundation,"Strategic Initiatives Project Manager, Celo Foundation",$56k - $150k,project manager:non tech:remote,3mo
Celo Foundation,"Strategy & Operations, Celo Foundation",$80k - $110k,operations:remote,3mo
Celo Foundation,Developer Relations Engineer (Infrastructure),,customer support:dev:remote,3mo
Celo Foundation,Developer Community Manager (dapp Developer Community),,community manager:non tech:dev:dapp:remote,3mo
Celo Foundation,Developer Relations Engineer (web2/mobile web),,customer support:dev:mobile:ethereum,3mo
Celo Foundation,Developer Relations Engineer (web3 dapps),,customer support:dev:remote,3mo
Celo Foundation,Developer Community Manager (Core Community),,community manager:non tech:dev:remote,3mo
Celo Foundation,Dev Rel Engineer (web2/mobile web),$51k - $109k,dev:mobile:ethereum,3mo
Celo Foundation,Freelance Writer,$56k - $160k,remote,3mo
Celo Foundation,"Technical Recruiter, Celo Foundation",$40k - $70k,recruiter:non tech,5mo
Celo Foundation,"Research & Innovation Intern, Celo Foundation (Spring/Summer 2022)",,intern:entry level,5mo
Celo Foundation,"Investment Analyst Partner, Celo Foundation",,analyst:finance,5mo
Celo Foundation,"Developer Communications Lead, Celo Foundation",$100k - $200k,dev:lead,5mo
Celo Foundation,"Corporate Communications Lead, Celo Foundation",$60k - $200k,lead,5mo
Celo Foundation,"Communications Coordinator, Celo Foundation",,,5mo
Celo Foundation,"APAC Communications Partner, Celo Foundation",,,5mo
Celo Foundation,"Head of Marketing, Celo Foundation",$70k - $158k,executive:marketing:non tech,5mo
