Company Name,Job Title,Salary Range,Tags,Posted Before
Chainlink Labs,Blockchain Research Engineer,$52k - $160k,dev:blockchain:solidity:java:golang,1mo
Chainlink Labs,"Engineering Manager, Incident Response",$79k - $158k,executive:ethereum,2mo
Chainlink Labs,Senior UX Researcher,$60k - $120k,senior:design:non tech,2mo
Chainlink Labs,Senior Product Designer,$60k - $120k,design:non tech:senior,2mo
Chainlink Labs,Sr. Talent Brand Manager,$46k - $109k,marketing:non tech:senior:recruiter,2mo
Chainlink Labs,"Engineering Manager, Infrastructure",$70k - $180k,executive,2mo
Chainlink Labs,"Engineering Manager, DevOps",$95k - $250k,executive:devops,3mo
Chainlink Labs,"Engineering Manager, Engineering Operations",,executive:operations:ethereum:node,3mo
Chainlink Labs,Director of Integrations,$70k - $180k,executive,3mo
Chainlink Labs,Director of Infrastructure,$79k - $200k,executive:remote,3mo
Chainlink Labs,Motion Graphics Designer,$11k - $80k,design:non tech:vfx,3mo
Chainlink Labs,"Manager, Data Science & Analytics",,stats:data science:solidity:nft,3mo
Chainlink Labs,Developer Documentation Manager,$60k - $180k,dev,3mo
Chainlink Labs,Developer Advocate Manager,$60k - $180k,dev,3mo
Chainlink Labs,Data Engineer,$130k - $160k,data science:dev:scala:java,3mo
Chainlink Labs,Senior UX Researcher,$60k - $120k,senior:design:non tech,4mo
Chainlink Labs,Senior DevOps Engineer - GCP,$120k - $200k,devops:dev:senior:web3js:node,4mo
Chainlink Labs,Security Engineering Manager,$95k - $250k,executive:security,4mo
Chainlink Labs,Research Engineer,$100k - $180k,dev:solidity:rust,4mo
Chainlink Labs,Release Engineer,$80k - $160k,dev:node,4mo
Chainlink Labs,QA Engineer,$80k - $180k,dev:quality assurance:solidity:javascript:golang,4mo
Chainlink Labs,Observability Engineer,$33k - $140k,dev:java,4mo
Chainlink Labs,Network & Systems Admin,$100k - $180k,,4mo
Chainlink Labs,Lead Software Engineer in Test - Typescript/Go,$100k - $180k,quality assurance:dev:golang:lead:solidity,4mo
Chainlink Labs,Full Stack Developer,$65k - $180k,dev:full stack,4mo
Chainlink Labs,Engineering Manager,$80k - $160k,executive,4mo
Chainlink Labs,Developer Events Manager,,events manager:non tech:dev:ethereum,4mo
Chainlink Labs,"Developer Advocate, Chainlink China",$40k - $120k,dev:solidity:ethereum:javascript:golang,4mo
Chainlink Labs,DevOps Engineer - Europe,,devops:dev:web3js:node,4mo
Chainlink Labs,DevOps Engineer,$80k - $160k,devops:dev:node,4mo
Chainlink Labs,"Data Scientist, Data Feeds",,data science:solidity:golang,4mo
Chainlink Labs,Data Scientist,,data science:remote:web3js:solidity:golang,4mo
Chainlink Labs,"Data Engineer, Observability",,data science:dev:java,4mo
Chainlink Labs,Blockchain Systems Admin/ Ops,$50k - $120k,blockchain:ethereum:node,4mo
Chainlink Labs,Big Data Engineer,,big data:data science:dev:scala:java,4mo
Chainlink Labs,Automation and Process Design Leader,$40k - $190k,design:non tech:lead,4mo
Chainlink Labs,Senior UX Researcher,$60k - $120k,senior:design:non tech,4mo
Chainlink Labs,Senior Product Designer,$60k - $120k,design:non tech:senior,4mo
Chainlink Labs,Senior Brand Designer,,marketing:non tech:design:senior,4mo
Chainlink Labs,Head of Design,,executive:design:non tech,4mo
Chainlink Labs,Blockchain Partnerships Manager,$78k - $150k,sales:non tech:blockchain,5mo
Chainlink Labs,Solidity Engineer,$54k - $150k,dev:solidity:javascript,5mo
Chainlink Labs,Smart Contract Auditor,$60k - $110k,smart contract:solidity:golang:remote,5mo
