Company Name,Job Title,Salary Range,Tags,Posted Before
Change,Chief Technology Officer (CTO),$56k - $200k,cto:executive,18d
Change,Senior Product Designer,$60k - $120k,design:non tech:senior,18d
Change,LORD(ESS) OF THE MEMES,,,18d
Change,Senior Accountant,$80k - $110k,accounting:senior,18d
Change,Customer Support Specialist - Spanish Language,$40k - $80k,customer support,18d
Change,Customer Support Specialist - Italian Language,$40k - $80k,customer support,18d
Change,Social Media Manager,$33k - $85k,social media:non tech,3mo
Change,VP of Marketing,$70k - $158k,marketing:non tech:executive,3mo
Change,Mobile Engineer (Flutter),,dev:flutter:mobile,3mo
Change,MT Administrator,,,3mo
Change,Lawyer,$24k - $140k,legal,3mo
Change,Senior Security Operations Engineer,,dev:operations:security:senior,3mo
Change,Senior Information Security Specialist,$95k - $250k,security:senior,3mo
Change,Senior QA Engineer,$30k - $50k,dev:quality assurance:senior,3mo
Change,Senior ReactJS Software Engineer,$56k - $160k,dev:javascript:react:senior,3mo
Change,Designer (Marketing),,design:non tech:marketing,3mo
Change,Copywriter,$13k - $45k,copywriting,3mo
Change,Compliance Specialist,,compliance,3mo
Change,Senior Dealer,$78k - $200k,senior,3mo
Change,Product Designer - B2B,$50k - $150k,design:non tech,3mo
Change,Office Manager,,,4mo
Change,Executive Assistant,$70k - $180k,executive,4mo
Change,Senior Recruiter,$40k - $70k,recruiter:non tech:senior,5mo
Change,Senior Backend Software Engineer,$70k - $200k,backend:dev:senior,5mo
Change,Data Engineer,$70k - $160k,data science:dev,5mo
Change,Head of Information Security,$95k - $250k,executive:security,5mo
Change,Compliance Officer,,compliance,5mo
Change,Card Product Manager,$69k - $160k,product manager:non tech,5mo
Change,Assets Product Manager,$69k - $160k,product manager:non tech,5mo
Change,Senior Technical Recruiter,$40k - $70k,recruiter:non tech:senior,5mo
Change,Recruiter,$40k - $70k,recruiter:non tech,5mo
Change,People and Culture Manager,,,5mo
Change,Front Desk and Office Admin,,,5mo
Change,Marketing Manager (Spanish Market),$25k - $120k,marketing:non tech:remote,5mo
Change,Communications Coordinator,,,5mo
Change,ASO Manager,,,5mo
Change,Senior Treasury Operations Specialist,,operations:senior,5mo
Change,Junior Dealer (Night Shift Only),$12k - $120k,junior:entry level,5mo
Change,KYC/Operations Specialist,,kyc:operations,5mo
Change,Customer Support/Verification Specialist - Evening shift,$40k - $80k,customer support,5mo
Change,Customer Support Specialist -Spanish Language,$40k - $80k,customer support,5mo
Change,Customer Support Specialist - Estonian Language,$40k - $80k,customer support,5mo
Change,Customer Support Specialist,$40k - $80k,customer support,5mo
Change,Tech Lead,$96k - $220k,lead:tech lead,6mo
Change,Lead DevOps Engineer,$60k - $100k,devops:dev:lead,6mo
