Company Name,Job Title,Salary Range,Tags,Posted Before
Chronicled.Com,"Director of Engineering, Platform",$79k - $200k,executive:remote,22h
Chronicled.Com,Implementation Consultant,,consulting:remote,13d
Chronicled.Com,"Principal Software Engineer, Backend",$140k - $300k,backend:dev:executive:remote,13d
Chronicled.Com,"Principal Software Engineer, Backend",$140k - $300k,backend:dev:executive:remote,13d
Chronicled.Com,"Principal Software Engineer, Backend",$140k - $300k,backend:dev:executive:remote,13d
Chronicled.Com,"Senior Software Engineer, Backend (copy)",$70k - $200k,backend:dev:senior:remote,15d
Chronicled.Com,"Senior Software Engineer, Backend",$70k - $200k,backend:dev:senior:remote,15d
Chronicled.Com,"Senior Software Engineer, Backend",$70k - $200k,backend:dev:senior:remote,15d
Chronicled.Com,Senior Marketing Manager,$46k - $109k,marketing:non tech:senior:remote,16d
Chronicled.Com,"Engineering Director, Quality Assurance",$79k - $200k,executive:remote,3mo
Chronicled.Com,"Director, Operations and SRE",,executive:operations:senior:remote,3mo
Chronicled.Com,Head of Marketing,$70k - $158k,executive:marketing:non tech:remote,4mo
Chronicled.Com,Implementation Consultant,,consulting:remote,5mo
Chronicled.Com,Senior Site Reliability Engineer,$150k - $200k,dev:sys admin:senior:remote,5mo
Chronicled.Com,"Senior Software Engineer, Backend",$70k - $200k,backend:dev:senior:remote,5mo
Chronicled.Com,Technical Recruiting Sourcer,,recruiter:non tech:remote,5mo
Chronicled.Com,Technical Recruiter,,recruiter:non tech:remote,5mo
Chronicled.Com,Technical Recruiter,$40k - $70k,recruiter:non tech,5mo
Chronicled.Com,"Vice President, Product",,,5mo
Chronicled.Com,"Software Engineer, Fullstack",$70k - $200k,dev:full stack:remote,5mo
Chronicled.Com,"Senior Software Engineer, Fullstack",$70k - $180k,dev:full stack:senior:remote,5mo
Chronicled.Com,"Senior Software Engineer, Fullstack",$70k - $180k,dev:full stack:senior:remote,5mo
Chronicled.Com,"Senior Software Engineer, Fullstack",$70k - $180k,dev:full stack:senior,5mo
Chronicled.Com,"Senior Software Engineer, Fullstack",$70k - $180k,dev:full stack:senior:remote,5mo
Chronicled.Com,"Senior Software Engineer, Cryptography",$85k - $200k,dev:senior:remote,5mo
Chronicled.Com,"Senior Software Engineer, Backend",$70k - $200k,backend:dev:senior:remote,5mo
Chronicled.Com,Senior QA Automation Engineer,$30k - $50k,dev:quality assurance:senior:remote,5mo
Chronicled.Com,Senior QA Automation Engineer,$30k - $50k,dev:quality assurance:senior:remote,5mo
Chronicled.Com,Senior QA Automation Engineer,$30k - $50k,dev:quality assurance:senior:remote,5mo
Chronicled.Com,"Lead Software Engineer, Fullstack",$100k - $200k,dev:full stack:lead:remote,5mo
Chronicled.Com,"Lead Software Engineer, Fullstack",$100k - $200k,dev:full stack:lead,5mo
Chronicled.Com,"Lead Software Engineer, Fullstack",$100k - $200k,dev:full stack:lead:remote,5mo
Chronicled.Com,"Lead Software Engineer, Fullstack",$100k - $200k,dev:full stack:lead:remote,6mo
