Company Name,Job Title,Salary Range,Tags,Posted Before
Coin List,Data Engineer,,data science:dev:remote:solana,14h
Coin List,Institutional Sales Lead,,lead:sales:non tech:solana,19d
Coin List,Institutional Loan Structurer,$78k - $180k,solana,19d
Coin List,"Principal, CoinList Seed",$85k - $180k,executive:solana,27d
Coin List,"Business Operations Analyst, Payments",,analyst:operations:solana,27d
Coin List,IT Admin,$78k - $180k,solana,28d
Coin List,"Quantitative Analyst, Payments",$36k - $185k,analyst:solana,28d
Coin List,"Senior Product Counsel, Lending",,legal:senior,1mo
Coin List,Protocol Operations Associate,,operations:solana,2mo
Coin List,Senior Compliance Associate (KYC/EDD),,compliance:kyc:senior:solana,2mo
Coin List,Senior Accountant,$80k - $110k,accounting:senior,2mo
Coin List,Payroll Manager,$25k - $150k,accounting,2mo
Coin List,Compliance Manager - KYC,,compliance:kyc:solana,3mo
Coin List,Compliance Associate - Regulatory Affairs,,compliance:legal:solana,3mo
Coin List,Compliance Associate - Sanctions,,compliance:solana,3mo
Coin List,Compliance Associate - FIU,,compliance:solana,3mo
Coin List,Trust and Safety Analyst,$36k - $185k,analyst:solana,3mo
Coin List,"Operations Analyst, Token Sales",,analyst:operations:sales:non tech:solana,5mo
Coin List,Data Analyst,,analyst:data science:solana,5mo
Coin List,Business Development Associate,$100k - $180k,sales:non tech:solana,5mo
Coin List,Product Manager (Lending),,product manager:non tech:solana,5mo
Coin List,Technical Recruiter,,recruiter:non tech:solana,5mo
Coin List,Onboarding Associate (Individual Accounts),$78k - $180k,solana,5mo
Coin List,Onboarding Associate (Business Accounts),$78k - $180k,solana,5mo
Coin List,Lead Front-end Engineer,$56k - $79k,dev:front end:lead:react:solana,5mo
Coin List,Business Operations Associate,,operations:solana,5mo
Coin List,Software Engineer,$73k - $200k,dev:react:solana,5mo
Coin List,Site Reliability Engineer,,dev:sys admin:react:solana,5mo
Coin List,Senior Trading Engineer,$70k - $180k,dev:senior:react:solana:javascript,5mo
Coin List,Senior Security Engineer,$95k - $250k,dev:security:senior,5mo
Coin List,Senior Exchange Engineer,$90k - $220k,dev:senior:solana:node,5mo
Coin List,Senior Data Engineer,$130k - $160k,data science:dev:senior:solana,5mo
Coin List,Protocol Engineer,$75k - $200k,dev:solana,5mo
Coin List,Product Designer,$100k - $150k,design:non tech:solana,5mo
Coin List,Head of Lending,$85k - $180k,executive:solana,5mo
Coin List,Wallets Support Analyst,,analyst:customer support:solana,5mo
Coin List,Office Manager and Executive Assistant,$70k - $180k,executive,5mo
Coin List,Exchange Data Analyst,$36k - $72k,analyst:data science,5mo
Coin List,Performance Marketing Associate,$45k - $130k,marketing:non tech,5mo
Coin List,Product Counsel,$24k - $140k,legal,5mo
Coin List,Onboarding/Verification Specialist [Contract Role],,,5mo
Coin List,Legal and Compliance Operations Specialist,,compliance:legal:operations,5mo
Coin List,Assistant Controller,,finance:legal,5mo
Coin List,Customer Support Analyst (Social Media) [Contract],,analyst:customer support:social media:non tech:solana,5mo
Coin List,"Customer Support Analyst, Europe [Contract]",,analyst:customer support:solana,5mo
Coin List,"Customer Support Analyst, Asia Pacific Region [Contract]",,analyst:customer support:solana,5mo
Coin List,"Customer Support Analyst, Americas [Contract]",,analyst:customer support:solana,5mo
Coin List,General Interest - Opportunistic,$78k - $180k,solana,6mo
Coin List,Litigation Associate,$24k - $140k,legal,6mo
