Company Name,Job Title,Salary Range,Tags,Posted Before
Coin Metrics,HEAD OF PEOPLE,$70k - $180k,executive,6d
Coin Metrics,RECRUITING SOURCER,$40k - $70k,recruiter:non tech,7d
Coin Metrics,Frontend Software Engineer,$50k - $144k,dev:front end:react:javascript,24d
Coin Metrics,SENIOR CRYPTOASSET INDEX ANALYST,$150k - $185k,analyst:senior,27d
Coin Metrics,LEAD INFRASTRUCTURE ENGINEER,$100k - $200k,dev:lead,2mo
Coin Metrics,UX/UI DESIGNER,$45k - $135k,design:non tech:javascript,2mo
Coin Metrics,CRYPTO ECOSYSTEM BUSINESS DEVELOPMENT,$30k - $140k,sales:non tech:crypto,2mo
Coin Metrics,UX/UI Designer,$45k - $135k,design:non tech:javascript,2mo
Coin Metrics,CHIEF PEOPLE OFFICER,$70k - $180k,executive,2mo
Coin Metrics,TECHNICAL RESEARCH ANALYST,$36k - $185k,analyst:solana:ethereum,3mo
Coin Metrics,DATA QUALITY ENGINEER,$33k - $140k,dev:java,3mo
Coin Metrics,CRYPTOASSET RESEARCH ANALYST,$36k - $185k,analyst:solana:ethereum,3mo
Coin Metrics,CUSTOMER SUPPORT ENGINEER,$90k - $140k,customer support:dev,3mo
Coin Metrics,TECHNICAL PROJECT MANAGER,$50k - $150k,project manager:non tech,3mo
Coin Metrics,BLOCKCHAIN ATTRIBUTION SPECIALIST,$46k - $120k,blockchain:ethereum,3mo
Coin Metrics,CUSTOMER SUCCESS,$40k - $80k,customer support,3mo
Coin Metrics,SR. PRODUCT ANALYST,$150k - $185k,analyst:senior,4mo
Coin Metrics,TECHNICAL CUSTOMER SUPPORT SPECIALIST,$40k - $80k,customer support,5mo
Coin Metrics,GROWTH ASSOCIATE- EUROPE,$45k - $130k,marketing:non tech,5mo
Coin Metrics,GROWTH ASSOCIATE- ASIA,$45k - $130k,marketing:non tech,5mo
Coin Metrics,ENTERPRISE GROWTH- EUROPE,$45k - $130k,marketing:non tech,5mo
Coin Metrics,ENTERPRISE GROWTH- ASIA,$45k - $130k,marketing:non tech,5mo
Coin Metrics,GROWTH ASSOCIATE,$45k - $130k,marketing:non tech,5mo
Coin Metrics,ENTERPRISE GROWTH,$45k - $130k,marketing:non tech,5mo
Coin Metrics,BUSINESS DEVELOPMENT INDEXES,$26k - $140k,sales:non tech,5mo
Coin Metrics,BUSINESS DEVELOPMENT FARUM™,$26k - $140k,sales:non tech,5mo
Coin Metrics,SITE RELIABILITY ENGINEER (SRE),$150k - $200k,dev:sys admin:senior:ethereum:node,5mo
Coin Metrics,DATA SCIENTIST,$50k - $150k,data science,5mo
Coin Metrics,CRYPTOASSET INDEX ANALYST,$40k - $120k,analyst,5mo
Coin Metrics,BUSINESS ANALYST INDEXES,$40k - $120k,analyst,5mo
Coin Metrics,JOIN COIN METRICS TALENT COMMUNITY,,community manager:non tech:recruiter:ethereum,5mo
Coin Metrics,TECHNICAL PROJECT MANAGER,$50k - $150k,project manager:non tech,5mo
Coin Metrics,Frontend Software Engineer,$50k - $144k,dev:front end:react:javascript,5mo
Coin Metrics,DATA QUALITY ENGINEER,$33k - $140k,dev:java,5mo
Coin Metrics,BACKEND SOFTWARE ENGINEER,$60k - $160k,backend:dev:java,5mo
Coin Metrics,CUSTOMER SUCCESS,$40k - $80k,customer support,5mo
Coin Metrics,BUSINESS ANALYST,$40k - $120k,analyst,5mo
Coin Metrics,INFRASTRUCTURE ENGINEER,$65k - $165k,dev:node,6mo
Coin Metrics,Business Analyst,$40k - $120k,analyst,6mo
Coin Metrics,RISK MANAGEMENT & COMPLIANCE LEAD,,compliance:lead,6mo
