Company Name,Job Title,Salary Range,Tags,Posted Before
Coinbase,"Group Product Manager, NFT",$67k - $160k,product manager:non tech:nft:remote,2d
Coinbase,Senior Product Manager - DevRel,$80k - $150k,product manager:non tech:senior:remote:ethereum,4d
Coinbase,"Senior Engineer, Blockchain Security - Asset Review",$95k - $250k,dev:security:senior:blockchain:remote,4d
Coinbase,"Global Trainer, Crypto",,education:crypto,6d
Coinbase,"Senior Product Illustrator, Internationalization",,illustrator:senior:remote,11d
Coinbase,DeFi & Institutional Structuring,$72k - $200k,defi:remote,11d
Coinbase,"Staff SW Engineer, Enterprise Apps, Sales, Marketing & Support",$85k - $120k,dev:marketing:non tech:sales:customer support,19d
Coinbase,"Senior Director, Treasury Growth & Product Enablement",$70k - $158k,executive:marketing:non tech:senior:remote,19d
Coinbase,Senior Software Engineer - React Native,$65k - $200k,dev:react native:mobile:javascript:react,19d
Coinbase,Senior IT Service Desk Engineer,,customer support:dev:senior,19d
Coinbase,Coinbase Analytics Blockchain Researcher,,stats:blockchain:remote,19d
Coinbase,Blockchain Security Engineering Manager,,executive:security:blockchain:remote:nft,19d
Coinbase,Software Engineer - Market Data & Analytics,,stats:dev:remote,19d
Coinbase,Staff Visual Designer (India),$50k - $135k,design:non tech:remote,19d
Coinbase,"Senior Product Marketing Manager, NFT Growth",$46k - $109k,marketing:non tech:senior:nft:remote,19d
Coinbase,"Software Engineer, Enterprise Apps",$50k - $150k,dev:remote:react:javascript:node,19d
Coinbase,"Program Management Associate, NFT Marketplace",$56k - $165k,nft:remote,19d
Coinbase,"Manager, Account Management (Hedge Funds, Crypto-native)",$35k - $150k,crypto:remote,19d
Coinbase,"Communications Manager, NFT",$55k - $140k,marketing:non tech:nft:remote,19d
Coinbase,Senior Developer Relations Engineer,,customer support:dev:senior:react:react native,19d
Coinbase,"Product Manager, Cryptoasset Keys",$115k - $175k,product manager:non tech:remote,19d
Coinbase,Senior Software Engineer - Exchange and Institutional Trading (Capital Markets),$85k - $200k,dev:senior:remote:java:golang,19d
Coinbase,Senior Software Engineer for Blockchain Data Team,$80k - $200k,dev:senior:blockchain:remote:scala,19d
Coinbase,University Grad Engineer (Frontend),$22k - $120k,dev:front end:remote:react:react native,19d
Coinbase,"Senior Content Designer, Platform",$60k - $120k,design:non tech:senior:remote,19d
Coinbase,Backend Software Engineer (University Grad),,backend:dev:remote:golang:intern,19d
Coinbase,Frontend Engineer (University Grad),$115k - $120k,dev:front end:remote:react:javascript,19d
Coinbase,Associate Product Manager (University Grad) (Remote),$115k,remote:product manager:non tech:intern,19d
Coinbase,Executive Protection Senior,$95k - $250k,executive:senior:remote:security:dev,19d
Coinbase,"Community Manager, Crypto Intelligence",$35k - $100k,community manager:non tech:crypto,5mo
Coinbase,Content Strategist,$56k - $160k,remote,5mo
Coinbase,"Community Operations Incidents and Escalations Analyst, Customer Support",,analyst:community manager:non tech:customer support:operations,5mo
Coinbase,"Senior Engineering Manager, Backend",,executive:backend:senior:remote,5mo
Coinbase,Staff Software Engineer,$65k - $120k,dev:ethereum:ruby:golang:remote,5mo
Coinbase,Senior Frontend Engineer,$70k - $190k,dev:front end:senior:react:react native,5mo
Coinbase,"Support Analyst, Onboarding",$40k - $95k,analyst:customer support:remote,5mo
Coinbase,Product Designer,$50k - $135k,design:non tech:remote,5mo
Coinbase,"Product Designer, Bison Trails",$50k - $135k,design:non tech:remote,5mo
Coinbase,"Senior Content Designer, Institutional",$60k - $120k,design:non tech:senior:remote,5mo
Coinbase,"Senior Content Designer, Institutional",$60k - $120k,design:non tech:senior:remote,5mo
Coinbase,"Senior Content Designer, Platform",$60k - $120k,design:non tech:senior:remote,5mo
Coinbase,Senior Product Designer,$60k - $120k,design:non tech:senior:remote,5mo
Coinbase,Senior Product Designer,$60k - $120k,design:non tech:senior:remote,5mo
Coinbase,General - Senior Staff Engineer,$85k - $200k,dev:senior:remote,5mo
Coinbase,Senior Backend Engineer (Remote - USA),$60k - $180k,remote:backend:dev:senior:ethereum,5mo
Coinbase,Site Reliability Engineer - Coinbase Cloud,,cloud:dev:sys admin:rust:remote,5mo
Coinbase,Staff Applied Cryptographer,$65k - $120k,ruby:remote,5mo
Coinbase,Staff Software Engineer,$65k - $120k,dev:ethereum:ruby:golang,5mo
