Company Name,Job Title,Salary Range,Tags,Posted Before
Coinsquare,Delivery Manager (copy),,dev:executive:ethereum,2d
Coinsquare,Principal Security Engineer,$95k - $250k,dev:executive:security,12d
Coinsquare,Director of Cyber Security,$95k - $250k,executive:security,12d
Coinsquare,Application Security Engineer,,dev:security:ethereum,12d
Coinsquare,Mobile Software Developer III - iOS,$51k - $109k,dev:ios:mobile:node,18d
Coinsquare,Mobile Software Developer III - Android,,android:mobile:dev:node:java,18d
Coinsquare,Frontend Software Developer III - Web,$50k - $144k,dev:front end:react:javascript,18d
Coinsquare,"Backend Software Developer III, Exchange",$70k - $200k,backend:dev:node:java,18d
Coinsquare,Human Resources Business Partner,$60k - $150k,ethereum,18d
Coinsquare,Legal Counsel,,legal:ethereum,18d
Coinsquare,Sr. Manager Anti Money Laundering (Hybrid),$80k - $200k,senior:ethereum,18d
Coinsquare,Infrastructure Engineer,$60k - $158k,dev:ethereum,1mo
Coinsquare,Content Strategist,$60k - $150k,ethereum,2mo
Coinsquare,Office Manager & Executive Assistant,$79k - $158k,executive:ethereum,2mo
Coinsquare,Fraud Investigator,$150k - $185k,security:ethereum,2mo
Coinsquare,IT Systems Administrator,,sys admin:ethereum,3mo
Coinsquare,Legal & Compliance Assistant,,compliance:legal:ethereum,3mo
Coinsquare,People Experience (HR) Manager,,hr:non tech:ethereum,3mo
Coinsquare,Product Manager,$80k - $150k,product manager:non tech:ethereum,3mo
Coinsquare,Lead Product Manager,,lead:product manager:non tech,3mo
Coinsquare,Senior Product Manager,$80k - $150k,product manager:non tech:senior:ethereum,3mo
Coinsquare,Detection Engineer,$60k - $158k,dev:ethereum,3mo
Coinsquare,Data Analyst - Co-op,,analyst:data science:ethereum,3mo
Coinsquare,Chief Anti Money Laundering Officer (CAMLO),$79k - $158k,executive:ethereum,5mo
Coinsquare,Compliance Analyst,,compliance:analyst:ethereum,5mo
Coinsquare,Senior UX Designer,$60k - $120k,design:non tech:senior:ethereum,5mo
Coinsquare,"Director, UX",,executive:design:non tech:ethereum,5mo
Coinsquare,Account Manager,,account manager:ethereum,5mo
Coinsquare,Account Manager,,account manager:ethereum,5mo
Coinsquare,Senior QA,,quality assurance:senior:ethereum,5mo
Coinsquare,"Director, Product",$79k - $158k,executive:ethereum,5mo
Coinsquare,Marketing Developer,$85k - $120k,dev:marketing:non tech:ethereum,5mo
Coinsquare,"Senior Manager, Regulatory Compliance",,compliance:legal:senior:ethereum,5mo
Coinsquare,"AML Analyst, Compliance",,compliance:analyst:ethereum,5mo
Coinsquare,Client Support Representative,,customer support:ethereum:remote,5mo
Coinsquare,Site Reliability Engineer,,dev:sys admin:ethereum,6mo
