Company Name,Job Title,Salary Range,Tags,Posted Before
Consensys,"Technical Product Marketing Lead, Developer Tools",,dev:lead:marketing:non tech:remote,7h
Consensys,Tech Lead (Accounts and Key Management),$96k - $118k,lead:tech lead:remote:react:react native,7h
Consensys,Social Media Associate (MetaMask),$35k - $110k,social media:non tech:remote:ethereum,5d
Consensys,Global Head of Developer and Community Experience,$45k - $150k,executive:community manager:non tech:dev:remote,6d
Consensys,"Global Creative Director / Head of Creative, Marketing",$70k - $158k,executive:marketing:non tech:remote:ethereum,6d
Consensys,Director of Partnership Marketing,$40k - $150k,sales:non tech:executive:marketing:remote,6d
Consensys,Security Analyst,,analyst:security:remote:ethereum,7d
Consensys,Non-Technical Template,$60k - $146k,remote:ethereum,8d
Consensys,Technical Sourcer - Blockchain (EMEA),,recruiter:non tech:blockchain:remote:ethereum,8d
Consensys,Talent Operations - 8 Month Contract,,operations:recruiter:non tech:ethereum,12d
Consensys,Internal Event Manager,,events manager:non tech:remote:ethereum,12d
Consensys,Senior People Partner - UK Remote,$80k - $160k,remote:senior:ethereum,15d
Consensys,People Partner - United Kingdom Remote,$60k - $145k,remote:ethereum,15d
Consensys,"Senior People Partner - GTM (East Coast, USA)",$80k - $160k,senior:remote:ethereum,16d
Consensys,Senior HR Business Partner - United States Pacific Time Zone,,hr:non tech:senior:remote:ethereum,16d
Consensys,People Operations & Payroll Coordinator UK/IRE,,operations:accounting:ethereum,16d
Consensys,Executive Assistant,$79k - $158k,executive:ethereum,20d
Consensys,Product Manager (CNFT),$80k - $150k,product manager:non tech:ethereum:nft,20d
Consensys,"Business Analyst (Professional Services, Hong Kong, APAC)",$45k - $55k,analyst:remote:ethereum,22d
Consensys,Summer 2022 Intern,,intern:dev:entry level:remote:ethereum,22d
Consensys,Site Reliability Engineer (SRE),$150k - $200k,dev:sys admin:senior:remote:react,22d
Consensys,Senior QA Engineer (Consensys NFT Business),$30k - $50k,dev:quality assurance:senior:nft:remote,22d
Consensys,Director of Engineering,$79k - $158k,executive:remote:ethereum:nft,22d
Consensys,Business Analyst / Senior Associate,,analyst:senior:remote:ethereum:nft,22d
Consensys,"Product Manager, Developer Experience",$135k - $175k,dev:product manager:non tech:remote:ethereum,26d
Consensys,"Principal Technical Product Manager, Platform Services",$135k - $170k,executive:product manager:non tech:remote:ethereum,26d
Consensys,Lead Project Manager,,lead:project manager:non tech:remote:ethereum,28d
Consensys,Blockchain Systems Engineer,,dev:sys admin:blockchain:remote:ethereum,28d
Consensys,Technical Content Writer,,copywriting:remote:solidity:ethereum,1mo
Consensys,Technical Content Writer,,copywriting:remote:solidity:ethereum,1mo
Consensys,Technical Content Writer,,copywriting:remote:solidity:ethereum,1mo
Consensys,Technical Content Writer,,copywriting:remote:solidity:ethereum,1mo
Consensys,Sr. PM - QBS,$80k - $160k,senior:remote:ethereum,1mo
Consensys,Sr. Executive Assistant (Global Marketing),$70k - $158k,executive:marketing:non tech:senior:ethereum,1mo
Consensys,Senior Software Engineer (Dapp API),,api:dev:senior:dapp:react,1mo
Consensys,Portfolio Marketing Lead,,finance:lead:marketing:non tech:remote,1mo
Consensys,Multimedia Content Designer,$50k - $135k,design:non tech:remote:ethereum:javascript,1mo
Consensys,HR Program Manager,,hr:non tech:executive:remote:ethereum,1mo
Consensys,Director of Operations,,executive:operations:ethereum,1mo
Consensys,Digital Copywriter,,copywriting:remote:ethereum,1mo
Consensys,HRIS Analyst,$45k - $55k,analyst:remote:ethereum,1mo
Consensys,Director of Product Management,$135k - $170k,executive:product manager:non tech:remote:ethereum,1mo
Consensys,Technical Content Writer,,copywriting:remote:ethereum,1mo
Consensys,Service Delivery Manager,$95k - $300k,dev:executive:remote:ethereum,1mo
Consensys,Node.js Backend Engineer,$65k - $150k,javascript:backend:dev:node:remote,1mo
Consensys,Fullstack engineer,$70k - $200k,dev:full stack:remote:web3js:react,1mo
Consensys,Front-end Engineer,$22k - $120k,dev:front end:remote:react:react native,1mo
Consensys,Business Analyst,$45k - $55k,analyst:remote:ethereum,1mo
Consensys,UX Researcher - MetaMask Institutional,$50k - $135k,design:non tech:remote,1mo
Consensys,Product Manager - Finance,,finance:product manager:non tech:ethereum:remote,1mo
Consensys,Principal Software Engineer,$95k - $300k,dev:executive:remote:web3js:solidity,1mo
Consensys,Copy of Technical Content Writer,,copywriting:ethereum,1mo
Consensys,Lead Content Designer,$40k - $190k,design:non tech:lead:remote:ethereum,1mo
Consensys,Head of Design,,executive:design:non tech:remote:ethereum,1mo
Consensys,Business Operations Core Process Manager,,operations:remote:ethereum,1mo
Consensys,"Product Manager, Growth/Activation",,marketing:non tech:product manager:remote:ethereum,2mo
Consensys,Senior DevOps Engineer - Protocols,$120k - $200k,devops:dev:senior:remote:ethereum,2mo
Consensys,Senior Brand Designer,,marketing:non tech:design:senior:ethereum,2mo
Consensys,Security Project Manager,,project manager:non tech:security:remote:ethereum,2mo
Consensys,Security Project Manager,,project manager:non tech:security:remote:ethereum,2mo
Consensys,Security Project Manager,,project manager:non tech:security:remote:ethereum,2mo
Consensys,Design System Engineer,$80k - $150k,design:non tech:dev:sys admin:remote,2mo
Consensys,Software Engineer (MetaMask Core),$50k - $150k,dev:remote:react:ethereum:javascript,2mo
Consensys,Senior DevOps Engineer - Office of the CTO,$95k - $250k,executive:devops:dev:senior:remote,2mo
Consensys,UX Engineer,$80k - $150k,dev:design:non tech:react:ethereum,2mo
Consensys,Technical Support Manager APAC,,customer support:remote:ethereum,2mo
Consensys,Technical Project Manager (ConsenSys NFT),$55k - $75k,project manager:non tech:nft:ethereum:remote,2mo
Consensys,Motion Designer,$50k - $135k,design:non tech:remote:ethereum,2mo
Consensys,"Designer, Web UX / UI",$50k - $135k,design:non tech:remote:ethereum,2mo
Consensys,Brand Designer,,marketing:non tech:design:remote:ethereum,2mo
Consensys,Backend Software Engineer - Protocols,$60k - $180k,backend:dev:remote:web3js:ethereum,2mo
Consensys,Backend Software Engineer - Protocols,$60k - $180k,backend:dev:remote:web3js:ethereum,2mo
Consensys,Backend Software Engineer - Protocols,$60k - $180k,backend:dev:remote:web3js:ethereum,2mo
Consensys,Strategic Finance Associate,$15k - $150k,finance:ethereum,2mo
Consensys,UX Researcher,$50k - $135k,design:non tech:remote:ethereum,2mo
Consensys,Senior HR Business Partner - United States,,hr:non tech:senior:remote:ethereum,2mo
Consensys,"Director, Global Payroll",$120k - $150k,executive:accounting:ethereum:remote,2mo
Consensys,"Director, Compensation & Benefits",$79k - $158k,executive:remote:ethereum,2mo
Consensys,Group Executive Assistant,$79k - $158k,executive:ethereum,2mo
Consensys,Social Media Associate,$35k - $110k,social media:non tech:remote:ethereum,2mo
Consensys,"Diversity, Equity and Inclusion Data and Program Analyst",$45k - $55k,analyst:remote:ethereum,2mo
Consensys,Employer Brand Coordinator,$25k - $120k,marketing:non tech:remote:ethereum,2mo
Consensys,"Strategic Sales Manager, Japan",$29k - $108k,sales:non tech:remote:ethereum,2mo
Consensys,Help Desk Agent,,customer support:ethereum,2mo
Consensys,Technical Recruiting Evangelist - DEI,,recruiter:non tech:remote:solidity:ethereum,2mo
Consensys,Senior DevOps Engineer (ConsenSys NFT),$120k - $200k,devops:dev:senior:nft:ethereum,2mo
Consensys,Global Public Relations Specialist,$25k - $120k,marketing:non tech:remote:ethereum,2mo
Consensys,Technical Project Manager,$56k - $150k,project manager:non tech:remote:ethereum,2mo
