Company Name,Job Title,Salary Range,Tags,Posted Before
Energi Core Limited,Business Development Generalist - Sports,$29k - $43k,sales:non tech:ethereum:nft,12h
Energi Core Limited,Finance Manager,$15k - $150k,finance:ethereum,7d
Energi Core Limited,QA Engineer,$65k - $150k,dev:quality assurance:ethereum,7d
Energi Core Limited,Community Moderator,$40k - $101k,community manager:non tech:remote:ethereum,16d
Energi Core Limited,Blockchain Developer,$52k - $160k,dev:blockchain:solidity:ethereum:node,26d
Energi Core Limited,Audio / Visual Specialist,$70k - $158k,ethereum:nft,29d
Energi Core Limited,Sr. Recruiter,$40k - $70k,recruiter:non tech:senior:ethereum,30d
Energi Core Limited,Content Writer,,copywriting:ethereum,2mo
Energi Core Limited,dApp Developer,,dev:dapp:react:solidity:ethereum,2mo
Energi Core Limited,Audio / Visual Producer,$70k - $158k,ethereum:nft,2mo
Energi Core Limited,Sr. DevOps Engineer,$120k - $200k,devops:dev:senior:remote:ethereum,2mo
Energi Core Limited,Lore Writer,$70k - $158k,ethereum:nft,3mo
Energi Core Limited,3D Animator,,vfx:video:ethereum:nft:java,3mo
Energi Core Limited,Digital Artist Recruiter,,recruiter:non tech:ethereum:nft,4mo
Energi Core Limited,NFT Community / Social Media Manager,$45k - $100k,community manager:non tech:social media:nft:ethereum,4mo
Energi Core Limited,Business Development Specialist,$29k - $43k,sales:non tech:ethereum,4mo
Energi Core Limited,Business Development Generalist,$29k - $43k,sales:non tech:ethereum:nft,4mo
Energi Core Limited,Legal Counsel (part-time),,legal:part time:ethereum,5mo
Energi Core Limited,Full Stack Web Developer,$65k - $180k,dev:full stack:react:ethereum:javascript,5mo
Energi Core Limited,Operations Generalist,$60k - $80k,operations:ethereum,5mo
Energi Core Limited,Senior Blockchain Developer (C++/ Go),$100k - $150k,c:c plus plus:dev:golang:senior,5mo
Energi Core Limited,QA Engineer (part-time),,dev:part time:quality assurance:ethereum,5mo
Energi Core Limited,Product Designer (part-time),,design:non tech:part time:ethereum,5mo
Energi Core Limited,Mobile Developer (ios/Android),,android:mobile:dev:ios:ethereum,5mo
Energi Core Limited,Senior Recruiter,$40k - $70k,recruiter:non tech:senior:ethereum,5mo
Energi Core Limited,Quantitative Macroeconomic Analyst (part-time),,analyst:part time:ethereum,5mo
Energi Core Limited,NFT Artist,$70k - $158k,nft:ethereum,5mo
Energi Core Limited,Financial Statistician (part-time),,finance:part time:ethereum,5mo
Energi Core Limited,Energi Proposal Analyst (part-time),,analyst:part time:ethereum,5mo
Energi Core Limited,Blockchain Auditor (part-time),,part time:blockchain:ethereum,5mo
Energi Core Limited,Marketing Generalist (part-time),,marketing:non tech:part time:ethereum,5mo
Energi Core Limited,Graphic and Visual Designer (part-time),,design:non tech:part time:ethereum,5mo
Energi Core Limited,Energi Impact Team Lead (part-time),,lead:part time:ethereum,5mo
Energi Core Limited,Community Moderator,$15k - $30k,community manager:non tech:ethereum,5mo
Energi Core Limited,Junior Blockchain Developer,$45k - $180k,dev:junior:entry level:blockchain:react,6mo
Energi Core Limited,Blockchain Developer (DeFi),$70k - $200k,dev:blockchain:defi:web3js:solidity,6mo
Energi Core Limited,Community Support Representative,,community manager:non tech:customer support:ethereum,6mo
Energi Core Limited,Social Media Engineer Specialist,,dev:social media:non tech:ethereum,6mo
