Company Name,Job Title,Salary Range,Tags,Posted Before
Figment,"Senior Product Manager, Trading Experience",$80k - $150k,product manager:non tech:senior,18h
Figment,Senior Product Manager,$80k - $150k,product manager:non tech:senior,18h
Figment,Product Manager,$67k - $160k,product manager:non tech,18h
Figment,"Product Lead, Growth",$50k - $120k,marketing:non tech:lead,18h
Figment,Principal Product Designer,,design:non tech:executive,18h
Figment,Senior Product Designer,$60k - $120k,design:non tech:senior,19h
Figment,Revenue Accountant,$25k - $150k,accounting,5d
Figment,Analytics and Research Lead,,stats:lead,6d
Figment,Senior Product Analyst,$150k - $185k,analyst:senior,6d
Figment,Channel Reporting Analyst,$150k - $185k,analyst:javascript,13d
Figment,"Director of Sales, DataHub",$40k - $150k,executive:sales:non tech,14d
Figment,Security Operations Analyst,,analyst:operations:security:ruby,15d
Figment,Security Engineer,,dev:security:ruby:java,15d
Figment,Customer Success Lead,$25k - $35k,customer support:lead,28d
Figment,Web Developer,$56k - $160k,dev:react:javascript:nextjs,1mo
Figment,"Principal TypeScript & React Software Engineer, Product Engineering",$200k - $400k,dev:executive:javascript:react,1mo
Figment,"Principal Ruby on Rails Software Engineer, Product Engineering",,dev:executive:ruby,1mo
Figment,"Lead TypeScript & React Software Engineer, Product Engineering",$100k - $200k,dev:lead:javascript:react,1mo
Figment,Sr. Security Engineer,$95k - $250k,dev:security:senior:ruby,1mo
Figment,HR Director,,executive:hr:non tech,1mo
Figment,Tech Support Lead - DataHub,,lead:customer support:solidity:javascript:golang,1mo
Figment,Jr. Accountant (AP & AR Administrator),$25k - $150k,accounting,2mo
Figment,"Account Executive, DataHub",$63k - $180k,executive:nft,2mo
Figment,Platform Team Manager,,,2mo
Figment,Protocol Specialist - EVM,$60k - $145k,ethereum:node,2mo
Figment,Protocol Growth Lead,$50k - $120k,marketing:non tech:lead,2mo
Figment,Content Specialist - Developer Marketing,$25k - $96k,marketing:non tech:copywriting:dev,2mo
Figment,Tax Manager,$25k - $150k,accounting,2mo
Figment,Business Development Manager,$26k - $140k,sales:non tech,2mo
Figment,Sales Operations Manager,,operations:sales:non tech,2mo
Figment,Creative Designer,$50k - $150k,design:non tech,2mo
Figment,"Web App Developer, DataHub",$56k - $160k,dev:react:javascript:ruby,2mo
Figment,Account Manager,,account manager,2mo
Figment,Social Media Strategist,$33k - $85k,social media:non tech,2mo
Figment,Marketing Data Analyst,,analyst:data science:marketing:non tech,2mo
Figment,Sr. Events Manager,,events manager:non tech:senior,2mo
Figment,"Developer Relations - Americas, Marketing",,customer support:dev:marketing:non tech,3mo
Figment,Digital Marketing Manager,$45k - $130k,marketing:non tech,3mo
Figment,Growth & Product Marketing Specialist - Partnerships,$100k - $200k,sales:non tech:marketing,3mo
Figment,Growth & Product Marketing Specialist - Crypto Finance,$50k - $100k,finance:marketing:non tech:crypto,3mo
Figment,Growth Marketing Specialist - Market Research,$45k - $130k,marketing:non tech,3mo
