Company Name,Job Title,Salary Range,Tags,Posted Before
Figure,"Lead Product Designer, Figure Pay",$40k - $190k,design:non tech:lead,22d
Figure,"Lead Product Designer, Figure Lending",$40k - $190k,design:non tech:lead,22d
Figure,Payments and Blockchain Compliance Director,,compliance:executive:blockchain,26d
Figure,Office Coordinator,,,27d
Figure,"Lead Product Designer, Figure Marketplace",$40k - $190k,design:non tech:lead,28d
Figure,"Senior Product Manager, Marketplace Onboarding Experience",$80k - $150k,product manager:non tech:senior,30d
Figure,Marketplace Operations Analyst,,analyst:operations,30d
Figure,Digital Funds Services Operations Analyst,,analyst:operations,30d
Figure,Principal Machine Learning Engineer,,dev:machine learning:executive,1mo
Figure,Principal Data Analyst,,analyst:data science:executive,1mo
Figure,Principal Data Scientist,,data science:executive,1mo
Figure,Data Engineer,$130k - $160k,data science:dev:scala,1mo
Figure,"Senior Software Engineer, Anti-Fraud (Remote)",$95k - $250k,remote:dev:security:senior,1mo
Figure,"Staff Software Engineer, Anti-Fraud (remote)",$95k - $250k,remote:dev:security,1mo
Figure,Investor Relations Analyst,,analyst:finance,1mo
Figure,Data Engineer,$130k - $160k,data science:dev:scala,2mo
Figure,People Operations Internship,,intern:entry level:operations,2mo
Figure,"Director, Data Analytics - Marketing",,stats:executive:marketing:non tech,2mo
Figure,"Senior Director, FP&A",$46k - $110k,executive:senior,2mo
Figure,Senior Data Analyst,,analyst:data science:senior,2mo
Figure,Senior Accountant,$80k - $110k,accounting:senior,2mo
Figure,"Senior Software Engineer, Anti-Fraud (Remote)",$95k - $250k,remote:dev:security:senior,2mo
Figure,Senior Back End Software Engineer - Provenance Blockchain Banking,$170k - $250k,backend:finance:dev:senior:blockchain,3mo
Figure,Staff Data Analyst (REMOTE),$45k - $120k,remote:analyst:data science,3mo
Figure,Sr. Data Analyst,,analyst:data science:senior,3mo
Figure,Machine Learning Engineer,$140k - $180k,dev:machine learning,3mo
Figure,"Partnership Manager (Associate), Startups",$26k - $140k,sales:non tech,3mo
Figure,"Senior Front End Software Engineer, Figure Lending",$70k - $190k,dev:front end:senior:javascript,3mo
Figure,"Software Engineer, Figure Lending",$43k - $140k,dev:react:java,4mo
Figure,Office Coordinator,,,4mo
Figure,"Managing Director, Figure Ventures",$70k - $180k,executive,4mo
Figure,"Credit Risk Manager, Pricing Strategy",,,4mo
Figure,"Credit Risk Manager, Machine Learning",$140k - $180k,machine learning,4mo
Figure,"Credit Risk Manager, Forecasting & Analytics",$50k - $150k,stats,4mo
Figure,"Director, People Operations",$150k - $230k,executive:operations,4mo
Figure,"Front-End Software Engineer, Portfolio Management",,finance:dev:front end:react:javascript,4mo
Figure,"Senior Front-End Software Engineer, Core UI / Accessibility",$70k - $190k,dev:front end:senior:design:non tech,4mo
Figure,Omnichannel Contact Center Manager,,,4mo
Figure,Figure Pay Support Specialist,$40k - $80k,customer support,4mo
Figure,"Product Counsel - Blockchain, Payments and Lending",,legal:blockchain,4mo
Figure,Call Center Quality Management Supervisor,,,4mo
Figure,"Senior Front-End Software Engineer, Digital Funds Services",$70k - $190k,dev:front end:senior:react,5mo
Figure,Head of Investor Relations,$90k - $200k,executive:finance,5mo
Figure,"Senior Software Engineer, Servicing",$50k - $200k,dev:senior:java,5mo
Figure,"Staff Front-End Engineer, Growth Tech",,dev:front end:marketing:non tech:react,5mo
Figure,"Senior Product Designer, Figure Tech",$60k - $120k,design:non tech:senior,5mo
Figure,Lead Product Designer,$40k - $190k,design:non tech:lead,5mo
Figure,"Product Manager, Figure Marketplace",$69k - $160k,product manager:non tech,5mo
Figure,Investor Relations Analyst,,analyst:finance,5mo
Figure,Capital Markets Analyst,$40k - $120k,analyst,5mo
Figure,Customer Success Supervisor NC,$40k - $80k,customer support,5mo
Figure,"Business Operations Analyst, Marketplace",,analyst:operations,5mo
Figure,"Senior Product Manager, HELOC",$80k - $150k,product manager:non tech:senior,5mo
Figure,"Product Manager, Figure Equity Solutions",$69k - $160k,product manager:non tech,5mo
Figure,Director of Talent Acquisition,,executive:recruiter:non tech,5mo
