Company Name,Job Title,Salary Range,Tags,Posted Before
Finoa Gmb H,Expansion Manager (m/f/d),$56k - $160k,remote,28d
Finoa Gmb H,(Senior) Partnerships and Ecosystem Manager (m/f/d),$50k - $150k,sales:non tech:senior:remote,28d
Finoa Gmb H,Data Science and Analytics Lead (m/f/d),,stats:data science:lead:remote,28d
Finoa Gmb H,(Senior) Partnerships and Ecosystem Manager (m/f/d),$50k - $150k,sales:non tech:senior:remote,28d
Finoa Gmb H,Inside Sales Associate (m/f/d),$29k - $108k,sales:non tech:remote,1mo
Finoa Gmb H,(Senior) Legal Counsel (m/f/d),,legal:senior:remote,1mo
Finoa Gmb H,Senior Staking Engineer - Berlin / Porto (m/f/d),$85k - $200k,dev:senior:remote:node,1mo
Finoa Gmb H,(Senior) Partnerships and Ecosystem Manager (m/f/d),$50k - $150k,sales:non tech:senior:remote,1mo
Finoa Gmb H,Blockchain Integration Engineer (m/f/d),$70k - $190k,dev:blockchain:remote,2mo
Finoa Gmb H,Backend Engineer (m/f/d),$60k - $180k,backend:dev:remote,2mo
Finoa Gmb H,Senior Staking Engineer - Berlin / Porto (m/f/d),$85k - $200k,dev:senior:remote:node,2mo
Finoa Gmb H,Technical Product Manager (Blockchain Integration) - Berlin / Porto (m/f/d),$35k - $120k,product manager:non tech:blockchain:remote,2mo
Finoa Gmb H,Summer Internship (m/f/d),$24k - $48k,intern:entry level:remote,2mo
Finoa Gmb H,(Senior) Partnerships and Ecosystem Manager (m/f/d),$50k - $150k,sales:non tech:senior:remote,2mo
Finoa Gmb H,Expansion Manager (m/f/d),$56k - $160k,remote,2mo
Finoa Gmb H,Senior Staking Engineer - Berlin / Porto (m/f/d),$85k - $200k,dev:senior:remote:node,2mo
Finoa Gmb H,Senior Staking Engineer - Berlin / Porto (m/f/d),$85k - $200k,dev:senior:remote:node,2mo
Finoa Gmb H,Senior Staking Engineer - Berlin / Porto (f/m/d),$85k - $200k,dev:senior:remote:node,2mo
Finoa Gmb H,Head of Data Science and Analytics (m/f/d),,executive:stats:data science:remote,2mo
Finoa Gmb H,Expansion Manager (m/f/div),$56k - $160k,remote,2mo
Finoa Gmb H,Expansion Manager (m/f/div),$56k - $160k,remote,2mo
Finoa Gmb H,(Senior) Partnerships and Ecosystem Manager (m/f/div),$50k - $150k,sales:non tech:senior:remote,2mo
Finoa Gmb H,Backend Engineer (m/f/d),$60k - $180k,backend:dev:remote,2mo
Finoa Gmb H,Head of Data Science and Analytics (m/f/d),,executive:stats:data science:remote,2mo
Finoa Gmb H,Head of Data Science and Analytics (m/f/d),,executive:stats:data science:remote,2mo
Finoa Gmb H,(Senior) Partnerships and Ecosystem Manager (m/f/div),$50k - $150k,sales:non tech:senior:remote,2mo
Finoa Gmb H,Backend Engineer (m/f/d),$60k - $180k,backend:dev:remote,3mo
Finoa Gmb H,Technical Product Manager (Blockchain Integration) Portugal / Germany (m/f/div),$35k - $120k,product manager:non tech:blockchain:remote,3mo
Finoa Gmb H,Expansion Manager (m/f/div),$56k - $160k,remote,3mo
Finoa Gmb H,Blockchain Integration Engineer (m/f/d),$70k - $190k,dev:blockchain:remote,3mo
Finoa Gmb H,Backend Engineer (m/f/d),$60k - $180k,backend:dev:remote,3mo
Finoa Gmb H,(Senior) Partnerships and Ecosystem Manager (m/f/div),$50k - $150k,sales:non tech:senior:remote,3mo
Finoa Gmb H,Expansion Manager (m/f/div),$56k - $160k,remote,3mo
Finoa Gmb H,Frontend Developer (m/f/div) Germany / Portugal,$22k - $120k,dev:front end:remote:react:javascript,3mo
Finoa Gmb H,Blockchain Integration Engineer (m/f/d),$70k - $190k,dev:blockchain:remote,3mo
Finoa Gmb H,Backend Engineer (m/f/d),$60k - $180k,backend:dev:remote,3mo
Finoa Gmb H,Blockchain Integration Engineer (m/f/d),$70k - $190k,dev:blockchain:remote,4mo
Finoa Gmb H,(Senior) Partnerships and Ecosystem Manager (m/f/div),$50k - $150k,sales:non tech:senior:remote,4mo
Finoa Gmb H,Expansion Manager (m/f/div),$56k - $160k,remote,4mo
Finoa Gmb H,Backend Engineer (m/f/d),$60k - $180k,backend:dev:remote,4mo
Finoa Gmb H,Expansion Manager (m/f/div),$56k - $160k,remote,4mo
Finoa Gmb H,Blockchain Integration Engineer (m/f/d),$70k - $190k,dev:blockchain:remote,4mo
Finoa Gmb H,(Senior) Partnerships and Ecosystem Manager (m/f/div),$50k - $150k,sales:non tech:senior:remote,4mo
Finoa Gmb H,Legal Counsel (m/f/div),,legal:remote,4mo
Finoa Gmb H,(Senior) Institutional Sales Manager (m/f/div),$50k - $150k,sales:non tech:senior:remote,4mo
Finoa Gmb H,IT Intern (m/f/div),$24k - $48k,intern:entry level:remote,4mo
Finoa Gmb H,Frontend Developer (m/f/div),$50k - $144k,dev:front end:react:javascript:java,4mo
Finoa Gmb H,Incident Response/ Purple Team Lead (m/f/div),$95k - $200k,lead:remote,4mo
Finoa Gmb H,Backend Engineer (m/f/d),$60k - $180k,backend:dev:remote,4mo
Finoa Gmb H,Backend Engineer (m/f/d),$60k - $180k,backend:dev:remote,5mo
Finoa Gmb H,Blockchain Integration Engineer (m/f/d),$70k - $190k,dev:blockchain:remote,5mo
