Company Name,Job Title,Salary Range,Tags,Posted Before
Galaxy Digital Services,Executive Assistant to Director of Firmwide Research,$70k - $180k,executive,20h
Galaxy Digital Services,Digital Asset Investment Analyst,,analyst:finance,8d
Galaxy Digital Services,GVH Portfolio Associate,$40k - $150k,finance,13d
Galaxy Digital Services,"Senior Security Analyst, Detection and Response",$150k - $185k,analyst:security:senior,15d
Galaxy Digital Services,"VP, Corporate Security",$95k - $250k,security:executive,15d
Galaxy Digital Services,Executive Assistant to Chief Marketing Officer (CMO),$70k - $158k,executive:marketing:non tech,20d
Galaxy Digital Services,Accounts Payable Specialist,$120k - $150k,finance:accounting,22d
Galaxy Digital Services,"Associate, Request for Proposal Writer",,,22d
Galaxy Digital Services,MiFi Associate/VP,$70k - $180k,executive,27d
Galaxy Digital Services,2022 Mining Intern,,intern:entry level,28d
Galaxy Digital Services,"Risk Associate/VP, Ventures",$79k - $200k,executive:remote,1mo
Galaxy Digital Services,"VP, Strategic Solutions",$79k - $200k,executive:remote,1mo
Galaxy Digital Services,Mining Analyst,$45k - $120k,analyst:remote,1mo
Galaxy Digital Services,"Vice President / Director, Electronic Sales & Distribution",$40k - $150k,executive:sales:non tech:remote,1mo
Galaxy Digital Services,"Risk Associate/VP, Trading",$79k - $200k,executive:remote,1mo
Galaxy Digital Services,"Strategic Finance & Corporate Development, Associate/VP",$40k - $225k,finance:executive:remote,2mo
Galaxy Digital Services,2022 ESG & Sustainability Intern,$24k - $48k,intern:entry level:remote,2mo
Galaxy Digital Services,"2022 Tech Intern, Product",$24k - $48k,intern:entry level:remote,2mo
Galaxy Digital Services,Executive Assistant to VP of Engineering,$79k - $200k,executive:remote,2mo
Galaxy Digital Services,Bitcoin Mining Business Development,,sales:non tech:btc:remote,2mo
Galaxy Digital Services,Fund Operations Associate,$80k - $110k,operations:remote,2mo
Galaxy Digital Services,"Vice President, Quantitative Trader / Developer",,dev:trader:remote,2mo
Galaxy Digital Services,Accounting Policy Director,,accounting:executive:remote,2mo
Galaxy Digital Services,Financial Operations Specialist,,finance:operations:remote,2mo
Galaxy Digital Services,FLAG Analyst Program,$40k - $120k,analyst,2mo
Galaxy Digital Services,Strategy Associate,$56k - $160k,remote,2mo
Galaxy Digital Services,"VP/Director, Trading Tech Developer",$140k - $180k,dev:executive:java:remote,3mo
Galaxy Digital Services,Campus Recruiting Coordinator,,recruiter:non tech:remote,3mo
Galaxy Digital Services,"Associate, Accounting Policy",$11k - $25k,accounting:remote,3mo
Galaxy Digital Services,"Vice President, State and Local Tax",$11k - $25k,accounting:remote,3mo
Galaxy Digital Services,"Analyst/Associate, Operations",,analyst:operations:remote,3mo
Galaxy Digital Services,Investment Banking Associate,$40k - $100k,finance:remote,3mo
Galaxy Digital Services,Receptionist,$56k - $160k,remote,3mo
Galaxy Digital Services,"Director / Vice President, Finance",$40k - $225k,executive:finance:remote,3mo
Galaxy Digital Services,Head of Legislative and Regulatory Affairs,,executive:legal:remote,4mo
Galaxy Digital Services,Talent Acquisition Sourcer,,recruiter:non tech:remote,4mo
Galaxy Digital Services,"Analyst, Institutional Sales",,analyst:sales:non tech:remote,5mo
Galaxy Digital Services,"VP, Client Onboarding Manager",$70k - $180k,executive,5mo
Galaxy Digital Services,"Analyst, Strategic Solutions",$40k - $120k,analyst,5mo
Galaxy Digital Services,"People Business Partner, Technology",,,5mo
Galaxy Digital Services,MiFi Associate,,,5mo
Galaxy Digital Services,"Associate/Analyst, Product Analyst",$40k - $120k,analyst,6mo
Galaxy Digital Services,VP Corporate Communications,$70k - $180k,executive,6mo
Galaxy Digital Services,Digital Marketing Manager,$45k - $130k,marketing:non tech,6mo
Galaxy Digital Services,Digital Marketing Manager,$45k - $130k,marketing:non tech,6mo
Galaxy Digital Services,"Associate/VP, Java Developer",$140k - $180k,dev:java:executive,6mo
Galaxy Digital Services,"Associate/VP, Java Developer",$140k - $180k,dev:java:executive,6mo
Galaxy Digital Services,Trading Systems Developer (C++),$100k - $150k,c:c plus plus:dev,6mo
Galaxy Digital Services,GDIB Associate,,finance:legal,6mo
Galaxy Digital Services,GDIB Analyst,,analyst:finance:legal,6mo
