Company Name,Job Title,Salary Range,Tags,Posted Before
Gemini,Senior Data Engineer,$130k - $160k,data science:dev:senior:javascript,21d
Gemini,Data Engineer,$70k - $160k,data science:dev,21d
Gemini,Senior End User Support Engineer,,dev:senior:customer support,25d
Gemini,"Director, Brand Strategy - UK / Europe",$70k - $158k,marketing:non tech:executive,28d
Gemini,Senior Data Engineer,$130k - $160k,data science:dev:senior:javascript,29d
Gemini,Senior Cloud Engineer for Gemini Prime,,cloud:dev:senior:ethereum:java,29d
Gemini,"Senior Backend Software Development Engineer in Test, Nifty Gateway",,quality assurance:backend:dev:senior:ethereum,1mo
Gemini,"Lead Software Engineer, Trust & Safety",,dev:lead:scala:java,1mo
Gemini,End User Support Engineer,$90k - $140k,dev:customer support,1mo
Gemini,Senior UX Researcher,$60k - $120k,senior:design:non tech,1mo
Gemini,"Principal Software Engineer, Nifty Gateway",$200k - $400k,dev:executive:react:react native:nft,1mo
Gemini,Principal Data Engineer,,data science:dev:executive:javascript,1mo
Gemini,"Manager, Software Engineering for Trading Systems",$26k - $120k,dev:ethereum:java,2mo
Gemini,Performance Marketing - Crypto & NFTs,$46k - $140k,marketing:non tech:crypto:nft,2mo
Gemini,Machine Learning Engineer - Quantitative Researcher (Python),$140k - $180k,dev:machine learning:python:java,2mo
Gemini,Machine Learning Engineer (Python),$140k - $180k,dev:machine learning:python:java,2mo
Gemini,"Engineering Manager, Product",$70k - $180k,executive,2mo
Gemini,Developer Productivity Platform Engineer,$33k - $100k,dev:java:golang,2mo
Gemini,Data Engineer,$70k - $160k,data science:dev,2mo
Gemini,Principal Brand Designer,,marketing:non tech:design:executive,2mo
Gemini,"Manager, Product Design",$50k - $150k,design:non tech,2mo
Gemini,"Senior Software Engineer, Blockchain Platform",$80k - $200k,dev:senior:blockchain:scala:java,2mo
Gemini,"Senior Blockchain Platform Engineer, SRE",$80k - $200k,dev:senior:blockchain,2mo
Gemini,"Lead Visual Designer, Marketing",$40k - $190k,design:non tech:lead:marketing,2mo
Gemini,Associate Brand Designer,,marketing:non tech:design,2mo
Gemini,"Product Designer, Design",$45k - $135k,design:non tech:javascript,2mo
Gemini,"Product Designer, Nifty Gateway",$80k - $150k,design:non tech:ethereum:nft,3mo
Gemini,Senior Brand Designer,,marketing:non tech:design:senior,3mo
Gemini,"Intern, Product Design",$18k - $28k,design:non tech:intern:entry level:javascript,3mo
Gemini,Brand Designer,,marketing:non tech:design,3mo
Gemini,Product Design Intern,$18k - $28k,design:non tech:intern:entry level:javascript,3mo
Gemini,"Intern, Brand Design",,marketing:non tech:design:intern:entry level,3mo
Gemini,"Senior Designer, Product",$60k - $120k,design:non tech:senior:javascript,3mo
Gemini,"Manager, Data Engineering",$33k - $140k,java,3mo
Gemini,"Product Manager, Operations",,operations:product manager:non tech,4mo
Gemini,UX Research Manager,$50k - $150k,design:non tech,4mo
Gemini,"Associate, Financial Planning & Analysis",$40k - $150k,finance,4mo
Gemini,"Program Manager, Compliance",,compliance:executive,4mo
Gemini,Program Manager,$70k - $180k,executive,4mo
Gemini,"Principal Software Engineer, Site Lead",$140k - $200k,dev:lead:executive:ethereum:scala,4mo
Gemini,"Product Manager, Operations Treasury",,operations:product manager:non tech,4mo
Gemini,Product Manager - Analytics,,stats:product manager:non tech,4mo
Gemini,"Senior Associate, Talent Insights & Reporting",$40k - $70k,senior:recruiter:non tech,4mo
Gemini,"Associate Director, Total Rewards",$70k - $180k,executive,4mo
Gemini,"Sr. Associate, Accounts Payable",,finance:accounting:senior,4mo
Gemini,"Sourcing Lead, IT Category",$60k - $200k,lead,4mo
Gemini,Senior Technical Sourcer,$40k - $70k,recruiter:non tech:senior,4mo
Gemini,"Senior Associate, Talent Acquisition (Technology)",$40k - $70k,senior:recruiter:non tech,4mo
Gemini,"Senior Associate, Talent Acquisition (Corporate)",$40k - $70k,senior:recruiter:non tech,4mo
Gemini,"Senior Associate, Recruiting Analytics",,stats:recruiter:non tech:senior,4mo
Gemini,"Senior Accountant, Digital Assets",,accounting:finance:senior,4mo
Gemini,Recruiting Coordinator,$40k - $70k,recruiter:non tech,4mo
Gemini,People Operations Business Partner (HRBP),$60k - $200k,operations,4mo
Gemini,People Operations Associate (Systems and Process Admin),$60k - $200k,operations,4mo
Gemini,Payroll Analyst,$50k - $70k,analyst:accounting,4mo
Gemini,Office Manager,,,4mo
Gemini,"Manager, Customer Support, Credit Card",$40k - $80k,customer support,4mo
Gemini,"Lead, R4R Recruiter",$40k - $70k,lead:recruiter:non tech,4mo
Gemini,Global Compensation Manager,,,4mo
Gemini,Executive Assistant,$63k - $180k,executive:nft,4mo
Gemini,"Associate, Customer Support",$40k - $80k,customer support,4mo
Gemini,"Associate Director, Talent Acquisition (Technology)",,executive:recruiter:non tech,4mo
Gemini,"Associate Director, Custody Operations",$150k - $230k,executive:operations,4mo
Gemini,"Principal, Technology and Security Internal Auditor",$95k - $250k,executive:security,4mo
Gemini,"Principal, Global Real Estate and Office Services",$70k - $180k,executive,4mo
Gemini,"Lead, Programmatic Trader",,lead:trader:solidity,4mo
Gemini,"Lead Program Manager, Infrastructure",$140k - $200k,lead:executive,4mo
Gemini,KYC Advisory Lead,,kyc:lead,4mo
Gemini,Head of Asia Pacific (APAC),$70k - $180k,executive,4mo
Gemini,Critical Operations Analyst,,analyst:operations,4mo
Gemini,"Country Manager, Canada",,,4mo
Gemini,"Country Manager, Australia",,,4mo
Gemini,Corporate Counsel,$24k - $140k,legal,4mo
Gemini,"Compliance Associate, Institutional Onboarding",,compliance,4mo
Gemini,"Compliance Associate, Account Review",,compliance,4mo
Gemini,"Compliance Analyst, Retail Onboarding",,compliance:analyst,4mo
Gemini,"Compliance Analyst, Account Review",,compliance:analyst,4mo
Gemini,Background Check Program Manager,$70k - $180k,executive,4mo
Gemini,"Associate, Treasury Operations",$60k - $200k,operations,4mo
Gemini,"Associate, Producer - Nifty Gateway",$55k - $150k,nft,4mo
Gemini,"Associate, Producer - Marketplace, Nifty Gateway",$70k - $158k,solidity:nft,4mo
Gemini,"Associate, Producer - Marketplace",$70k - $158k,solidity:nft,4mo
Gemini,"Associate, Operational Risk",$60k - $80k,operations:ethereum,4mo
Gemini,"Senior Principal, Business Development",$40k - $150k,sales:non tech:executive:senior,4mo
Gemini,"Senior Business Development Associate, Gemini Fund Solutions",$50k - $150k,sales:non tech:senior,4mo
Gemini,Head of Research,$70k - $180k,executive,4mo
Gemini,Head of Marketplace,$70k - $180k,executive,4mo
Gemini,"Director, Derivatives",$70k - $180k,executive,4mo
Gemini,"Associate Director, Technical Accounting",$120k - $150k,accounting:executive,4mo
Gemini,Accounting Manager,$25k - $150k,accounting,4mo
Gemini,"Senior Product Manager, Trust & Security",,product manager:non tech:security:senior,4mo
