Company Name,Job Title,Salary Range,Tags,Posted Before
Gnosis,Event Manager (m/f/d),,events manager:non tech:ethereum,7d
Gnosis,Visual Content Creator (m/f/d),,vfx:non tech:ethereum,8d
Gnosis,Social Media Manager (m/w/d),$35k - $110k,social media:non tech:remote:ethereum,13d
Gnosis,Front Desk Receptionist,$60k - $150k,remote:node,15d
Gnosis,DAO Coordination Lead (m/w/d),$78k - $200k,lead:ethereum:node,27d
Gnosis,Senior Backend Engineer - Rust or Python (m/w/d),,backend:dev:python:rust:senior,29d
Gnosis,Senior Data Engineer,$130k - $160k,data science:dev:senior:remote:ethereum,1mo
Gnosis,Senior UI Designer,$60k - $120k,design:non tech:senior:react:ethereum,1mo
Gnosis,Product Manager (m/w/d),$115k - $175k,product manager:non tech:remote:ethereum:node,1mo
Gnosis,Backend/Research Engineer (Rust) (m/w/d),$50k - $140k,backend:dev:rust:remote:solidity,1mo
Gnosis,Accountant/Senior Accountant (w/m/d),,accounting:senior:ethereum:remote,2mo
Gnosis,Talent Acquisition Manager (m/w/d),,recruiter:non tech:remote:ethereum:node,2mo
Gnosis,DevOps Engineer (Blockchain) (m/w/d),$59k - $80k,devops:dev:blockchain:remote:ethereum,2mo
Gnosis,Product Manager (m/w/d),$115k - $175k,product manager:non tech:remote:ethereum,2mo
Gnosis,IT Support & Systems Admin (m/f/d),$40k - $80k,customer support:remote,2mo
Gnosis,Senior Solver Backend Engineer (m/w/d),$70k - $200k,backend:dev:senior:remote:solidity,2mo
Gnosis,Business Developer Manager (m/w/d),$95k - $300k,executive:dev:remote:ethereum,2mo
Gnosis,Senior Marketing Manager (m/w/d),$46k - $109k,marketing:non tech:senior:remote:ethereum,2mo
Gnosis,Office Manager / HR Admin (m/w/d),$60k - $120k,hr:non tech:remote:node,2mo
Gnosis,Accounting Manager,$120k - $150k,accounting:ethereum,2mo
Gnosis,Senior Frontend Engineer (React.js/Web3) (m/w/d),$50k - $140k,javascript:dev:front end:react:senior,2mo
Gnosis,Senior Backend Engineer (Rust) (m/w/d),$50k - $140k,backend:dev:rust:senior:remote,2mo
Gnosis,Senior Developer Relations Engineer,,customer support:dev:senior:remote:solidity,3mo
Gnosis,Data Scientist (m/w/d),,data science:remote:ethereum:javascript:rust,3mo
Gnosis,Finance Assistant (m/w/d),,finance:ethereum:remote,3mo
Gnosis,(Senior) Legal Counsel (m/w/d),,legal:senior:remote:ethereum,3mo
Gnosis,Business and Ecosystem Development (m/w/d),$60k - $145k,remote:ethereum,3mo
Gnosis,Engineering Manager (m/w/d),$90k - $150k,executive:remote:node:rust,3mo
Gnosis,Office Manager (m/w/d),$60k - $145k,ethereum:remote,4mo
Gnosis,Community Lead (m/w/d),$40k - $65k,community manager:non tech:lead:ethereum:remote,4mo
Gnosis,Community Support Manager (m/w/d),,community manager:non tech:customer support:ethereum:node,4mo
Gnosis,Senior Talent Acquisition Manager (m/w/d),$40k - $70k,senior:recruiter:non tech:node:remote,5mo
Gnosis,Open Application,$60k - $145k,ethereum:remote,5mo
Gnosis,Backend Lead (m/w/d),,backend:lead:node:rust:remote,5mo
Gnosis,Talent Acquisition Manager (m/w/d),,recruiter:non tech:ethereum:node:remote,5mo
Gnosis,Senior Production / Reliability Engineer (m/w/d),$150k - $200k,dev:sys admin:senior:ethereum:rust,5mo
Gnosis,(Junior) HR Manager (m/w/d),,hr:non tech:junior:entry level:node,6mo
Gnosis,Senior DevOps Engineer (m/w/d),$120k - $200k,devops:dev:senior:ethereum:rust,6mo
Gnosis,Senior Frontend Engineer (React.js) (m/w/d),$50k - $140k,javascript:dev:front end:react:senior,7mo
Gnosis,Marketing Lead (m/w/d),$50k - $120k,lead:marketing:non tech:node:remote,7mo
Gnosis,HR Generalist - HR (m/w/d),,hr:non tech:node:remote,7mo
Gnosis,Legal Counsel (m/w/d),,legal:ethereum:remote,7mo
Gnosis,HR Generalist - Operations (m/w/d),,hr:non tech:operations:ethereum:node,7mo
Gnosis,DevOps Engineer (m/w/d),$95k - $145k,devops:dev:ethereum:remote,7mo
Gnosis,Data Analyst (m/w/d),,analyst:data science:ethereum:javascript:rust,7mo
Gnosis,Community Lead (m/w/d),$40k - $65k,community manager:non tech:lead:ethereum:remote,7mo
