Company Name,Job Title,Salary Range,Tags,Posted Before
Immutable,Marketing Lead (New Games),$50k - $120k,lead:marketing:non tech:remote:ethereum,1d
Immutable,Product Marketing Lead (Guild of Guardians),$50k - $120k,lead:marketing:non tech:ethereum,1d
Immutable,Head of Growth (Studio),$70k - $158k,executive:marketing:non tech,6d
Immutable,Senior Manager Risk and Compliance,,compliance:senior:ethereum:nft,6d
Immutable,Principal Game Designer,$26k - $150k,design:non tech:game dev:executive,6d
Immutable,Live Operations Lead,,lead:operations,6d
Immutable,Head of Channel Publishing,$79k - $158k,executive:ethereum,7d
Immutable,Senior Security Engineer,$95k - $250k,dev:security:senior:ethereum,7d
Immutable,Recruitment Coordinator,,recruiter:non tech:ethereum:nft,7d
Immutable,Director of Product Operations,$135k - $170k,executive:product manager:non tech:operations,7d
Immutable,Chief of Staff,,executive:recruiter:non tech,7d
Immutable,Social Media and Community Manager,$45k - $110k,community manager:non tech:social media:nft,7d
Immutable,Head of Community (Gods Unchained),$45k - $150k,executive:community manager:non tech:ethereum,8d
Immutable,Game Analyst,$50k - $120k,analyst:game dev:remote:ethereum:nft,9d
Immutable,Head of Communications (Studio),$79k - $158k,executive:remote:ethereum,9d
Immutable,Head of Communications (Studio),$79k - $158k,executive:remote:ethereum,12d
Immutable,Game Token Manager,,game dev:remote:ethereum:nft,12d
Immutable,Partner Success Executive — Ecosystems,$79k - $158k,executive:remote:ethereum,12d
Immutable,Partner Success Executive — New Verticals,$79k - $158k,executive:remote:ethereum,12d
Immutable,Partner Success Manager — Gaming,$135k - $150k,sales:non tech:game dev:remote:ethereum,12d
Immutable,BI Analyst,$50k - $185k,analyst:ethereum:nft,14d
Immutable,Senior Concept Artist (New Games),$78k - $200k,senior,15d
Immutable,Senior Business Development Manager - Gaming,$135k - $150k,sales:non tech:game dev:senior:ethereum,16d
Immutable,Global Head of Community,,executive:community manager:non tech:remote:marketing,20d
Immutable,Senior Business Development Manager - Gaming,$135k - $150k,sales:non tech:game dev:senior:remote,30d
Immutable,Senior Talent Acquisition Partner (Engineering),$40k - $70k,senior:recruiter:non tech:ethereum,30d
