Company Name,Job Title,Salary Range,Tags,Posted Before
Kraken,Engineering Manager - Crypto Payments,$79k - $175k,executive:crypto:remote,14h
Kraken,MEV Engineer - Staked,$60k - $165k,dev:remote:node,4d
Kraken,Internal Communications Specialist,$56k - $160k,remote,7d
Kraken,Strategic Finance Associate - London / UK,$40k - $150k,finance,14d
Kraken,Head of Business Development,$40k - $150k,executive:sales:non tech:remote,15d
Kraken,Senior DevOps Engineer - Staked,$120k - $200k,devops:dev:senior:remote:node,20d
Kraken,Senior DevSecOps Engineer - Staked,$85k - $200k,dev:senior:remote:node,22d
Kraken,Banking and Payments Lead - APAC (Japanese Speaking),,finance:lead:remote,26d
Kraken,"Content Writer, NFT",,copywriting:nft:remote,27d
Kraken,Banking and Payments Associate,$40k - $100k,finance:remote,30d
Kraken,Crypto Markets Associate,$35k - $150k,crypto:remote,1mo
Kraken,"Product Marketing Manager, NFTs",$55k - $140k,marketing:non tech:nft:remote,1mo
Kraken,Senior Engineering Manager - NFT Marketplace,,executive:senior:nft:remote,1mo
Kraken,"Managing Director, United Kingdom",$70k - $180k,executive,2mo
Kraken,Treasury - Project Management - Data Analyst,$36k - $72k,analyst:data science,2mo
Kraken,NFT Customer Support Specialist,,customer support:nft:remote,2mo
Kraken,Senior Content Writer - Blog,,copywriting:senior:remote,2mo
Kraken,Strategic Finance Analyst - London / EMEA,,analyst:finance,2mo
Kraken,"NFT Business Development, Associate",$100k - $180k,sales:non tech:nft:remote,2mo
Kraken,Treasury - Asset Liability Management - Senior Analyst,$150k - $185k,analyst:senior,2mo
Kraken,Treasury - Risk Management - Senior Analyst,$150k - $185k,analyst:senior,2mo
Kraken,Marketing Operations Manager - Product Marketing,,marketing:non tech:operations:remote,2mo
Kraken,Tax Information Reporting - Senior Associate,$80k - $110k,senior:accounting,2mo
Kraken,Business Development Manager,$29k - $108k,sales:non tech:remote,2mo
Kraken,Business Development - Senior Associate,$50k - $150k,sales:non tech:senior:remote,3mo
Kraken,Junior Product Manager (Junior Quant),,junior:entry level:product manager:non tech:remote,3mo
Kraken,Senior Product Manager (Senior Quant),$80k - $150k,product manager:non tech:senior:remote,3mo
Kraken,Senior Full Stack Engineer (North America),$70k - $180k,dev:full stack:senior:remote:nft,3mo
Kraken,NFT Compliance Associate,,compliance:nft:remote,3mo
Kraken,Research Manager,$56k - $160k,remote,3mo
Kraken,Crypto Research Associate,$35k - $150k,crypto:remote,3mo
Kraken,Head of Asset Liability Management,$70k - $180k,executive,3mo
Kraken,Treasury - Project Manager,$50k - $150k,project manager:non tech,3mo
Kraken,Head of Treasury Risk Management,$70k - $180k,executive,3mo
Kraken,Head of Treasury Investments & FX,$70k - $180k,executive,3mo
Kraken,Content Writer - Kraken Learn,$25k - $30k,copywriting:remote,3mo
Kraken,Content Marketing Lead,$50k - $120k,lead:marketing:non tech:remote,3mo
Kraken,"Social Media Manager, NFT",$35k - $75k,social media:non tech:nft:remote,3mo
Kraken,Administrative Assistant,$56k - $160k,remote,3mo
Kraken,Global Experimentation Lead,$95k - $200k,lead:remote,4mo
Kraken,Global SEO Lead,,lead:seo:non tech:remote,4mo
Kraken,SEO Manager,,seo:non tech:remote,4mo
Kraken,International SEO Manager,,seo:non tech:remote,4mo
Kraken,Technical SEO Associate,,seo:non tech:remote:javascript,4mo
Kraken,"Managing Director, Europe Crypto Operations (CEO)",,executive:operations:crypto,4mo
Kraken,"Managing Director, Kraken MENA (CEO)",$70k - $180k,executive,4mo
Kraken,"Managing Director, Europe Funding Operations (CEO)",$150k - $230k,executive:operations,4mo
Kraken,"Director, Regional Operations (Global)",,executive:operations:remote,4mo
Kraken,Business Admin for the Director of Compliance,,compliance:executive,4mo
Kraken,Public Relations Associate - US,$25k - $120k,marketing:non tech:remote,4mo
Kraken,Operations Associate - APAC,,operations:ethereum:remote,5mo
Kraken,Product Strategy Manager,$56k - $160k,remote,5mo
Kraken,Senior Product Strategy Manager,$80k - $200k,senior:remote,5mo
Kraken,Executive Assistant - People Experience and Recruiting,,executive:recruiter:non tech,5mo
Kraken,Program Manager,$70k - $180k,executive,5mo
