Company Name,Job Title,Salary Range,Tags,Posted Before
Latoken,Head of Operations,$150k - $230k,executive:operations,20d
Latoken,Backend Developer,$60k - $180k,backend:dev:remote:solidity:node,1mo
Latoken,IR & Partnerships Manager,$29k - $108k,sales:non tech:remote,2mo
Latoken,Senior Customer Satisfaction Manager App Rating,$80k - $200k,senior:remote:solidity,2mo
Latoken,Sales Manager - Crypto / Blockchain / Fin Tech,$40k - $140k,finance:sales:non tech:blockchain:crypto,4mo
Latoken,Analyst (remote),$50k - $120k,remote:analyst:nft,4mo
Latoken,Analyst,$50k - $120k,analyst:nft:remote,4mo
Latoken,Sales Manager - Crypto / Blockchain / Fin Tech,$40k - $140k,finance:sales:non tech:blockchain:crypto,5mo
Latoken,IT Recruiter,$40k - $70k,recruiter:non tech,5mo
Latoken,Developer Backend (Payment services),$65k - $180k,backend:dev:nft:node:java,6mo
Latoken,Social Media Manager and Designer,,design:non tech:social media:remote,6mo
Latoken,Head of Analytics,$50k - $130k,executive:stats,6mo
Latoken,"Frontend Team Lead (C#, React, JS)",,c:c sharp:c plus plus:javascript:front end,6mo
Latoken,Product Manager of Content Production and Distribution,,product manager:non tech:react:remote,6mo
Latoken,Liquidity Support Manager (Market Making),,sales:non tech:customer support,6mo
Latoken,Forensic Analyst,$40k - $120k,analyst,6mo
Latoken,Product Manager Investment Platform,,finance:product manager:non tech,6mo
Latoken,dApps/DEX Developer,$80k - $170k,dev:solidity:remote,6mo
Latoken,Social Media Manager and Designer,,design:non tech:social media,6mo
Latoken,Head of Growth Operations,$70k - $158k,executive:marketing:non tech:operations,6mo
Latoken,Sales Executive,$40k - $150k,executive:sales:non tech,6mo
Latoken,Sales Manager,$29k - $108k,sales:non tech:remote,6mo
Latoken,Blockchain Developer,$26k - $87k,dev:blockchain:java:remote,6mo
Latoken,Developer Backend (Blockchain integration),$60k - $180k,backend:dev:blockchain:solidity:node,6mo
Latoken,IT Recruiter Junior,,junior:entry level:recruiter:non tech,6mo
Latoken,Investment Analyst,,analyst:finance,6mo
Latoken,Product Analyst,$40k - $120k,analyst,6mo
Latoken,Head of Quality Assurance,$140k - $180k,executive:java,6mo
Latoken,Quantitative Developer,$33k - $140k,dev:java,6mo
Latoken,Liquidity Support Lead (Listings),,lead:sales:non tech:customer support,6mo
Latoken,Product Manager Deposits and Staking Payments,$69k - $160k,product manager:non tech,6mo
Latoken,Product Manager P2P Payments,$69k - $160k,product manager:non tech,6mo
Latoken,Sales Manager - Crypto / Blockchain / Fin Tech x2,$40k - $140k,finance:sales:non tech:blockchain:crypto,6mo
