Company Name,Job Title,Salary Range,Tags,Posted Before
Localcoin,"Marketing Specialist, Content & Social Media",$28k - $100k,marketing:non tech:social media,10d
Localcoin,People & Talent Coordinator,$40k - $70k,recruiter:non tech,22d
Localcoin,Technical Recruiter,$40k - $70k,recruiter:non tech,3mo
Localcoin,Business Operations Coordinator,$60k - $200k,operations,3mo
Localcoin,Customer Service Quality & Training Executive,,customer support:executive:education,3mo
Localcoin,Quality Assurance Analyst,$150k - $185k,analyst:java,3mo
Localcoin,Graphic Designer,$50k - $150k,design:non tech,4mo
Localcoin,Content Marketing & Digital Specialist,$45k - $130k,marketing:non tech,4mo
Localcoin,Compliance Senior Manager,,compliance:senior,4mo
Localcoin,Web Developer,$56k - $160k,dev:react:javascript,4mo
Localcoin,Social & Paid Media Specialist,,,4mo
Localcoin,Director of Sales,$40k - $150k,executive:sales:non tech,4mo
Localcoin,Chief Financial Officer (CFO),$90k - $200k,finance:executive,5mo
Localcoin,"Operations Coordinator, Cash-in-Transit (CIT)",$60k - $200k,operations,5mo
Localcoin,Bilingual Customer Service Representative (Part-Time),,customer support:part time,5mo
Localcoin,Senior Sales Executive,$40k - $150k,executive:sales:non tech:senior,5mo
Localcoin,"Regional Sales Executive (Vancouver, BC)",$40k - $150k,executive:sales:non tech,5mo
Localcoin,"Regional Sales Executive (Toronto, ON)",$40k - $150k,executive:sales:non tech,5mo
Localcoin,"Regional Sales Executive (Montreal, QC)",$40k - $150k,executive:sales:non tech:vue,5mo
Localcoin,"Regional Sales Executive (Los Angeles, CA)",$40k - $150k,executive:sales:non tech,5mo
Localcoin,"Regional Sales Executive (Houston, TX)",$40k - $150k,executive:sales:non tech,5mo
Localcoin,"Regional Sales Executive (Chicago, IL)",$40k - $150k,executive:sales:non tech,5mo
Localcoin,"Director, People & Talent",,executive:recruiter:non tech,5mo
Localcoin,Warehouse Specialist,,,5mo
Localcoin,Installation Coordinator,,,5mo
Localcoin,ATM Field Technician,,,5mo
Localcoin,Staff Accountant,$25k - $150k,accounting,5mo
Localcoin,Corporate Accountant,$25k - $150k,accounting,5mo
Localcoin,"Software Developer, Integrations",$65k - $160k,dev:php,5mo
Localcoin,Analytics Engineering Manager,$50k - $130k,executive:stats,5mo
Localcoin,Bilingual Customer Service Representative (Full-Time),,customer support:full time,5mo
Localcoin,Executive Assistant,$70k - $180k,executive,5mo
Localcoin,"Regional Sales Executive (Jacksonville, FL)",$40k - $150k,executive:sales:non tech,5mo
Localcoin,Data Engineer,$70k - $160k,data science:dev,6mo
Localcoin,Administrative Assistant,,,6mo
Localcoin,Cash Reconciliation Analyst,$40k - $120k,analyst,6mo
Localcoin,Operations Manager,$60k - $200k,operations,6mo
Localcoin,Customer Service Representative (Full-Time),,customer support:full time,6mo
Localcoin,Customer Service Representative (Part-Time),,customer support:part time,6mo
Localcoin,"Regional Sales Executive (Orlando, FL)",$40k - $150k,executive:sales:non tech,6mo
Localcoin,Regional Sales Executive (California),$40k - $150k,executive:sales:non tech,6mo
