Company Name,Job Title,Salary Range,Tags,Posted Before
Messari,Crypto Research Analyst,$20k - $120k,analyst:crypto,3d
Messari,Recruiting Coordinator,$40k - $70k,recruiter:non tech,6d
Messari,"Software Engineer, DeFi Metrics",$90k - $150k,dev:defi:golang,10d
Messari,"Research Analyst, Protocol Services",$40k - $120k,analyst,10d
Messari,"Research Specialist, Protocol Services",$56k - $160k,remote,18d
Messari,"Research Specialist, Asset Profiles",$56k - $160k,remote,18d
Messari,"Director, Messari Asset Coverage Services",$79k - $200k,executive:remote,18d
Messari,User Researcher,$56k - $160k,remote,18d
Messari,Product Manager - Messari Governor,$115k - $175k,product manager:non tech:remote,18d
Messari,Product Manager - Market Intelligence,$115k - $175k,product manager:non tech:remote,18d
Messari,Corporate Paralegal,$56k - $160k,remote,18d
Messari,Digital Marketing Manager,$25k - $120k,marketing:non tech:remote,18d
Messari,"Software Engineer, Market Data",$65k - $180k,dev:remote,18d
Messari,"Software Engineer, DeFi Metrics",$95k - $250k,dev:defi:remote,18d
Messari,"Blockchain Engineer, DAOs",$70k - $190k,dev:blockchain:remote:ethereum,18d
Messari,Strategic Account Executive - Banking and Fintech Vertical,$40k - $225k,finance:executive:remote,18d
Messari,Technical Writer,$45k - $120k,analyst:remote,2mo
Messari,Accounting Manager,$11k - $25k,accounting:remote,2mo
Messari,On-Chain Data Specialist,$56k - $160k,remote,3mo
Messari,Data Engineer,,data science:dev:remote,3mo
Messari,"Research Analyst, Protocol Services",$45k - $120k,analyst:remote,3mo
Messari,Content Marketing Specialist,$25k - $120k,marketing:non tech:remote,3mo
Messari,"Communications, Marketing",$25k - $120k,marketing:non tech:remote,4mo
Messari,Recruiting Coordinator,,recruiter:non tech:remote,4mo
Messari,Recruiter,,recruiter:non tech:remote,4mo
Messari,Data Engineer - Research,,data science:dev:remote,5mo
Messari,Community Manager,$40k - $101k,community manager:non tech:remote,5mo
Messari,Senior Front-end Engineer,$70k - $190k,dev:front end:senior:react:remote,5mo
Messari,Fullstack Engineer,$65k - $180k,dev:full stack:react:remote,5mo
Messari,"Director, Architecture",,executive:react:java:golang:remote,5mo
Messari,Blockchain Engineer,$65k - $160k,dev:blockchain:node:golang:remote,5mo
Messari,Backend Engineer,$33k - $160k,backend:dev:golang:remote,5mo
Messari,Enterprise Account Executive,$79k - $200k,executive:remote,5mo
Messari,Business Development Representative,$29k - $108k,sales:non tech:remote,5mo
Messari,Senior Technical Recruiter,$40k - $70k,recruiter:non tech:senior:remote,5mo
Messari,Corporate Counsel,,legal:remote,6mo
Messari,Messari Hub Analyst (Contract Role),$45k - $120k,analyst:remote,6mo
Messari,"Director, Product Design",,design:non tech:executive:remote,6mo
Messari,DeFi Protocol Specialist,$100k - $260k,defi:solana:ethereum:remote,6mo
Messari,Governance Analyst,$45k - $120k,analyst:remote,6mo
Messari,Senior Cryptoasset Research Analyst,,analyst:senior:remote,6mo
Messari,Research Editor,$56k - $160k,remote,6mo
Messari,Research Hub Associate,$39k - $56k,junior:remote,6mo
Messari,Messari Hub Research Analyst,$45k - $120k,analyst:remote,6mo
Messari,Crypto Research Analyst,,analyst:crypto:remote,7mo
Messari,Crypto Research Analyst,,analyst:crypto:remote,7mo
