Company Name,Job Title,Salary Range,Tags,Posted Before
Meta Mask,Global Head of Developer and Community Experience,$45k - $150k,executive:community manager:non tech:dev:ethereum,13h
Meta Mask,Fullstack engineer (Codefi),$80k - $130k,dev:full stack:web3js:react:solidity,5d
Meta Mask,Full Stack Engineer (Innovation Labs),$80k - $130k,dev:full stack:web3js:react:solidity,5d
Meta Mask,Full Stack Engineer,$80k - $130k,dev:full stack:web3js:react:solidity,5d
Meta Mask,Front-end Engineer (Codefi),$50k - $144k,dev:front end:react:react native:ethereum,5d
Meta Mask,Front-end Engineer (Codefi),$50k - $144k,dev:front end:react:react native:ethereum,5d
Meta Mask,Director of Engineering (ConsenSys NFT Business),$50k - $158k,executive:nft:ethereum,13d
Meta Mask,DevOps Lead/Manager (Codefi),,devops:lead:ethereum:javascript:golang,13d
Meta Mask,DevOps Engineer - Protocols,$95k - $145k,devops:dev:ethereum,13d
Meta Mask,Senior Web3 JavaScript Engineer (MetaMask Snaps Studio),$80k - $150k,dev:javascript:senior:ethereum,1mo
Meta Mask,Product Designer (MetaMask Snaps Studio),$80k - $150k,design:non tech:ethereum,1mo
Meta Mask,UX Researcher - MetaMask Institutional,$50k - $150k,design:non tech,1mo
Meta Mask,Lead Content Designer,$40k - $190k,design:non tech:lead:ethereum,1mo
Meta Mask,Head of Design,,executive:design:non tech:ethereum,1mo
Meta Mask,Technical Project Manager (ConsenSys NFT),$55k - $75k,project manager:non tech:nft:ethereum,2mo
Meta Mask,Backend Software Engineer - Protocols,$60k - $160k,backend:dev:web3js:ethereum:golang,2mo
Meta Mask,Backend Software Engineer - Protocols,$60k - $160k,backend:dev:web3js:ethereum:golang,2mo
Meta Mask,Backend Software Engineer - Protocols,$60k - $160k,backend:dev:web3js:ethereum:golang,2mo
Meta Mask,"Designer, Web UX / UI",$80k - $150k,design:non tech:ethereum,2mo
Meta Mask,DevOps Engineer (Codefi),$95k - $145k,devops:dev:ethereum:javascript:golang,2mo
Meta Mask,Senior DevOps Engineer (ConsenSys NFT),$120k - $200k,devops:dev:senior:nft:ethereum,2mo
Meta Mask,DeFi Market Analyst,$50k - $120k,analyst:defi:ethereum,2mo
Meta Mask,Lead Technical Architect (ConsenSys NFT),,architecture:lead:nft:solidity:ethereum,3mo
Meta Mask,Senior UX Researcher,$60k - $120k,senior:design:non tech:ethereum,3mo
Meta Mask,Strategic Sales Manager - Crypto and Web3,$30k - $140k,sales:non tech:crypto:ethereum,3mo
Meta Mask,UX Researcher,$80k - $150k,design:non tech:ethereum,3mo
Meta Mask,Product Designer,$80k - $150k,design:non tech:ethereum,3mo
Meta Mask,"UX Designer (Professional Services, USA)",$80k - $135k,design:non tech:react:ethereum,3mo
Meta Mask,Senior Mobile/Web3 Engineer (Codefi),$120k - $200k,dev:mobile:senior:react:react native,4mo
Meta Mask,Executive Assistant (International Team),$79k - $158k,executive:ethereum,4mo
Meta Mask,Senior Systems Administrator,,senior:sys admin:ethereum,4mo
Meta Mask,Senior Product Manager - DeFi + Fintech Developer Experience,,dev:finance:product manager:non tech:senior,4mo
Meta Mask,UX Researcher (Codefi),$80k - $150k,design:non tech:ethereum,4mo
Meta Mask,Lead DevOps Engineer (Codefi),$60k - $100k,devops:dev:lead:ethereum:javascript,4mo
Meta Mask,Senior Revenue Analyst,$150k - $185k,analyst:senior:ethereum,4mo
Meta Mask,Senior HR Business Partner (MetaMask),,hr:non tech:senior:ethereum,4mo
Meta Mask,Senior Accountant,,accounting:senior:ethereum,4mo
Meta Mask,Learning and Development Specialist,,,4mo
Meta Mask,Equity Administrator,$60k - $150k,ethereum,4mo
Meta Mask,Community Advocate,$15k - $30k,community manager:non tech:ethereum,4mo
Meta Mask,Academy Operations Lead,,lead:operations:ethereum,4mo
Meta Mask,Senior Systems Administrator,,senior:sys admin:ethereum,4mo
Meta Mask,Security Auditor / White Hat Hacker,$150k - $185k,security:solidity:ethereum:javascript:node,4mo
Meta Mask,SRE (Infura),$24k - $180k,senior:react:ethereum,4mo
Meta Mask,Protocol & Debugging Engineer (Truffle),$63k - $160k,dev:solidity:ethereum:javascript:node,4mo
Meta Mask,Program Manager (ConsenSys NFT),$50k - $158k,executive:nft:ethereum,4mo
Meta Mask,Mid Scrum / Dev Project Manager,,dev:project manager:non tech:scrum:ethereum,4mo
Meta Mask,Golang Engineer (Infura),$40k - $134k,dev:golang:ethereum,4mo
Meta Mask,Ecosystem Engagement Program Manager,$79k - $158k,executive:ethereum,4mo
Meta Mask,Distributed Systems/Formal Verification Applied Researcher (Protocol),,data science:ethereum:java:rust,4mo
Meta Mask,Design Systems Designer,$80k - $135k,design:non tech:react:ethereum,4mo
Meta Mask,DeFi and DAO Token Engineer,$90k - $220k,dev:defi:ethereum,4mo
Meta Mask,Data Analyst,,analyst:data science:ethereum,4mo
Meta Mask,DAO Strategist,$70k - $158k,ethereum:nft,4mo
Meta Mask,DAO Governance Strategist,$70k - $158k,ethereum:nft,4mo
Meta Mask,Community Builder (ConsenSys NFT),$35k - $101k,community manager:non tech:nft:ethereum,4mo
Meta Mask,Bootcamp Security Auditors,$150k - $185k,security:solidity:ethereum:javascript:node,4mo
Meta Mask,Applied Researcher - Cryptography,,data science:ethereum:rust,4mo
Meta Mask,Applied Researcher (TxRx Advanced Research Team),,data science:ethereum:java,4mo
Meta Mask,Product Analyst - NFTs,$50k - $185k,analyst:nft:ethereum,4mo
Meta Mask,Technical Support Manager USA,,customer support:ethereum,4mo
Meta Mask,Technical Support Manager EMEA,,customer support:remote:ethereum,4mo
Meta Mask,Sr. Accounting Manager,,accounting:senior:ethereum,4mo
Meta Mask,Sales Enablement Manager,$29k - $43k,sales:non tech:ethereum,4mo
Meta Mask,SDR (US),$60k - $150k,ethereum,4mo
Meta Mask,Revenue Manager,$60k - $150k,ethereum,4mo
Meta Mask,Help Desk Team lead,,customer support:lead:ethereum,4mo
Meta Mask,Help Desk Agent,,customer support:ethereum,4mo
Meta Mask,"Global Help-Desk, VP",$79k - $158k,executive:ethereum,4mo
Meta Mask,Developer Relations Evangelist (Truffle),,customer support:dev:react:solidity:ethereum,4mo
Meta Mask,Developer Relations Evangelist (MetaMask),,customer support:dev:ethereum:javascript,4mo
Meta Mask,Customer Success Manager (Americas),,sales:non tech:customer support:ethereum,4mo
Meta Mask,Customer Success Lead,,customer support:lead:ethereum,4mo
Meta Mask,Corporate Development - Associate,$60k - $150k,ethereum,4mo
Meta Mask,Community Support Manager,,community manager:non tech:customer support:ethereum,4mo
Meta Mask,Community Moderator,$15k - $30k,community manager:non tech:ethereum,4mo
Meta Mask,Senior Product Manager (MetaMask Snaps),$80k - $150k,product manager:non tech:senior:ethereum,4mo
Meta Mask,Product Strategy Manager,$60k - $150k,ethereum,4mo
Meta Mask,"Product Manager - FinTech and Decentralized Finance (Codefi), B2C",,c:c plus plus:finance:product manager:non tech,4mo
Meta Mask,Product Manager,$80k - $150k,product manager:non tech:ethereum,4mo
Meta Mask,"Technical Product Marketing Manager, Developer Tools",$85k - $120k,dev:marketing:non tech:ethereum,4mo
Meta Mask,Technical Content Writer (Infura),,copywriting:ethereum,4mo
Meta Mask,Product Marketing Manager (MetaMask),$48k - $120k,marketing:non tech:ethereum,4mo
Meta Mask,Product Marketing Manager (Codefi/MetaMask),$48k - $120k,marketing:non tech:ethereum,4mo
Meta Mask,Product Marketing Manager,$48k - $120k,marketing:non tech:ethereum:node:java,4mo
Meta Mask,Internal Communications Manager,$48k - $120k,marketing:non tech:ethereum,4mo
Meta Mask,Event Marketing Lead,,events manager:non tech:lead:marketing:ethereum,4mo
Meta Mask,Digital Marketing Specialist,$25k - $120k,marketing:non tech:remote:ethereum,4mo
Meta Mask,Community Growth Lead,$45k - $150k,community manager:non tech:marketing:lead:ethereum,4mo
Meta Mask,Brand Experience Designer,,marketing:non tech:design:ethereum,4mo
Meta Mask,Sr. Blockchain Engineer (Truffle),$80k - $200k,dev:senior:blockchain:web3js:solidity,4mo
Meta Mask,Sr. Blockchain Engineer (Ganache),$80k - $200k,dev:senior:blockchain:solidity:ethereum,4mo
Meta Mask,Blockchain/Solidity Developer (Codefi),$52k - $160k,dev:blockchain:solidity:web3js:react,4mo
Meta Mask,Blockchain Protocol Engineer (EMEA),$33k - $120k,dev:blockchain:ethereum:java,4mo
Meta Mask,Blockchain Protocol Engineer (Australia),$33k - $120k,dev:blockchain:ethereum:java,4mo
Meta Mask,JavaScript Engineer,$56k - $160k,dev:javascript:react:ethereum:node,4mo
Meta Mask,Java Software Engineer (Protocol Engineering),$26k - $120k,dev:java:ethereum,4mo
Meta Mask,Head of Research and Development (Protocol),$79k - $158k,executive:ethereum,4mo
Meta Mask,Golang Software Engineer (GoQuorum),$40k - $134k,dev:golang:ethereum,4mo
Meta Mask,Golang Backend Engineer (Codefi),$33k - $160k,backend:dev:golang:ethereum,4mo
Meta Mask,Fullstack engineer (Codefi),$80k - $130k,dev:full stack:web3js:react:solidity,4mo
Meta Mask,Director of Engineering (Infura),$79k - $158k,executive:ethereum,4mo
Meta Mask,Director of Engineering (Codefi),$79k - $158k,executive:ethereum,4mo
Meta Mask,DevOps Software Engineer (Protocol Engineering),,devops:dev:react:ethereum:java,4mo
