Company Name,Job Title,Salary Range,Tags,Posted Before
Mycelium,Smart Contract Lead,$140k - $220k,lead:smart contract:solidity,7d
Mycelium,Product Designer,$80k - $150k,design:non tech:ethereum,20d
Mycelium,UX/UI Product Designer,$50k - $150k,design:non tech,21d
Mycelium,Product Designer,$50k - $135k,design:non tech:remote,21d
Mycelium,Product Designer,$50k - $150k,design:non tech,21d
Mycelium,Product Designer,$50k - $150k,design:non tech,21d
Mycelium,Product Designer,$50k - $150k,design:non tech,21d
Mycelium,Product Designer,$50k - $150k,design:non tech,1mo
Mycelium,Senior Product Manager - Perpetual Swaps,$80k - $150k,product manager:non tech:senior:ethereum,1mo
Mycelium,Smart Contract Developer,$72k - $200k,dev:smart contract:solidity:ethereum,2mo
Mycelium,UX Designer,$80k - $150k,design:non tech:ethereum:node,2mo
Mycelium,DFCRC - PhD Student - Law,$60k - $160k,node,3mo
Mycelium,Office Manager,$60k - $160k,node,3mo
Mycelium,Researcher,$60k - $160k,node,3mo
Mycelium,Midweight Designer,$80k - $150k,design:non tech:ethereum:node,3mo
Mycelium,Product Manager,,product manager:non tech:node,4mo
Mycelium,Tracer DAO Treasury Manager,$18k - $250k,finance:node,4mo
Mycelium,Senior Recruiter,$40k - $70k,recruiter:non tech:senior:node,4mo
Mycelium,Recruiter,,recruiter:non tech:node,4mo
Mycelium,Financial Planning & Analysis Accountant,,accounting:finance:node,4mo
Mycelium,Financial Accountant (Newly Qualified),,accounting:finance:node,4mo
Mycelium,Financial Accountant (3-5 years),,accounting:finance:node,4mo
Mycelium,Marketing and Communications Lead,$50k - $120k,lead:marketing:non tech:node,4mo
Mycelium,Head of Communications,$56k - $300k,executive:node,4mo
Mycelium,Smart Contract Developer,$72k - $200k,dev:smart contract:solidity:ethereum:node,4mo
Mycelium,Senior Smart Contract Developer,$120k - $250k,dev:senior:smart contract:solidity:ethereum,4mo
Mycelium,Scrum Master (blockchain),,scrum:blockchain:node,4mo
Mycelium,QA Engineer (blockchain),$62k - $10k,dev:quality assurance:blockchain:node,4mo
Mycelium,Frontend Web3 Developer,$22k - $120k,dev:front end:remote:react:ethereum,4mo
Mycelium,UX/UI Designer,$80k - $135k,design:non tech:node,4mo
Mycelium,Senior Visual Designer,$60k - $120k,design:non tech:senior:node,4mo
Mycelium,Design Lead,$40k - $190k,design:non tech:lead:node,4mo
Mycelium,Senior Frontend Web3 Developer,$70k - $190k,dev:front end:senior:react:javascript,5mo
