Company Name,Job Title,Salary Range,Tags,Posted Before
Mythical Games,In-House Counsel,$24k - $140k,legal,8d
Mythical Games,Director Product Management - Platform,$70k - $180k,executive,15d
Mythical Games,"Director, WEB3 Gaming Community & Collaborations",$45k - $150k,community manager:non tech:executive:game dev:nft,19d
Mythical Games,Technical Director,$70k - $180k,executive,19d
Mythical Games,Senior Software Development Engineer in Test - Platform,$30k - $50k,quality assurance:dev:senior,21d
Mythical Games,Development Director - Core,,executive:solidity:java,21d
Mythical Games,Development Director - Platform,$140k - $180k,executive:java,22d
Mythical Games,Technical Product Manager,$130k - $175k,product manager:non tech:solidity:java,30d
Mythical Games,Software Development Engineer in Test- Lead,$100k - $180k,quality assurance:dev:lead:solidity:java,1mo
Mythical Games,Sr. Software Engineer,$50k - $200k,dev:senior:java,1mo
Mythical Games,Senior Software Engineer,$80k - $200k,dev:senior:javascript:java,1mo
Mythical Games,Lead Software Engineer,$120k - $200k,dev:lead:react:javascript:java,1mo
Mythical Games,Engineering Manager,$70k - $180k,executive,2mo
Mythical Games,Lead Front End Engineer,$56k - $79k,dev:front end:lead:react:javascript,2mo
Mythical Games,Sr. Front End Engineer,$70k - $190k,dev:front end:senior:react:javascript,2mo
Mythical Games,"Senior Manager, Business Development",$50k - $150k,sales:non tech:senior,2mo
Mythical Games,Senior Account Manager,,account manager:senior,2mo
Mythical Games,Feature Designer,$50k - $150k,design:non tech,2mo
Mythical Games,UX Designer,$50k - $150k,design:non tech,2mo
Mythical Games,Product Manager,$69k - $160k,product manager:non tech,2mo
Mythical Games,Lead Tools Engineer,$100k - $200k,dev:lead,2mo
Mythical Games,Client Developer,$60k - $180k,dev,2mo
Mythical Games,Tools Developer,$60k - $180k,dev,2mo
Mythical Games,"Producer, Blankos",,,2mo
Mythical Games,Blockchain Analytics Engineer,$360k - $500k,stats:dev:blockchain,2mo
Mythical Games,Corporate/Compliance Attorney,,compliance,2mo
Mythical Games,Associate Quality Engineer - Platform,$56k - $150k,dev:javascript,3mo
Mythical Games,Lead Software Development Engineer in Test,$100k - $180k,quality assurance:dev:lead,3mo
Mythical Games,Software Quality Engineer - Platform,$56k - $150k,dev:javascript,3mo
Mythical Games,Software Quality Engineer - Game Services,,dev:game dev:java,3mo
Mythical Games,Sr. Front End Engineer,$70k - $190k,dev:front end:senior:react:javascript,3mo
Mythical Games,"Senior Technical Product Manager, Analytics",,stats:product manager:non tech:senior,4mo
Mythical Games,3D Artist,$13k - $50k,vfx,4mo
Mythical Games,Technical Director,$70k - $180k,executive,4mo
Mythical Games,Client Developer,$60k - $180k,dev,4mo
Mythical Games,Concept Artist,,,4mo
Mythical Games,Producer,,,4mo
Mythical Games,Backend Engineer,$65k - $95k,backend:dev:php:java,4mo
Mythical Games,Data Engineer,$70k - $160k,data science:dev,4mo
Mythical Games,Quantitative Analyst,$40k - $120k,analyst,5mo
Mythical Games,Lead Game Product Manager - Blankos Block Party,,game dev:lead:product manager:non tech,5mo
Mythical Games,Release Manager,,,6mo
Mythical Games,"Director, Game Analytics",,stats:executive:game dev:java,6mo
Mythical Games,Tax Director,$120k - $150k,executive:accounting:nft,6mo
Mythical Games,Front End Engineer,$50k - $144k,dev:front end:react:javascript:node,6mo
Mythical Games,Lead Game Product Manager,,game dev:lead:product manager:non tech,7mo
