Company Name,Job Title,Salary Range,Tags,Posted Before
Nansen.Ai,VP of Operations (Operations),$150k - $230k,operations:executive,1d
Nansen.Ai,VP of Engineering (Engineering),$79k - $200k,executive:remote,2d
Nansen.Ai,"Internship, Product",,intern:entry level,2d
Nansen.Ai,Director of Business Intelligence & Data Analytics,$50k - $130k,stats:executive,7d
Nansen.Ai,Director of Accounting,$120k - $150k,accounting:executive,8d
Nansen.Ai,Graphic Designer,$50k - $135k,design:non tech:remote,13d
Nansen.Ai,Communications Lead,$60k - $200k,lead,13d
Nansen.Ai,Brand Marketing Lead,$50k - $120k,marketing:non tech:lead,13d
Nansen.Ai,Data Engineer (Engineering),,data science:dev:remote:ethereum,2mo
Nansen.Ai,Accounting Associate,$11k - $25k,accounting:remote,2mo
Nansen.Ai,Engineering Manager (Engineering),$79k - $158k,executive:remote:ethereum,2mo
Nansen.Ai,Finance Associate (Operations),$55k - $200k,finance:operations,3mo
Nansen.Ai,Quality and Testing Engineer (Product),$65k - $180k,dev:remote,3mo
Nansen.Ai,Legal Counsel (Operations),,legal:operations,3mo
Nansen.Ai,Quality Assurance Engineer Lead (Product),$100k - $200k,dev:lead,3mo
Nansen.Ai,Quality Assurance Tester/Engineer(Product),$65k - $180k,dev:remote,3mo
Nansen.Ai,Social Media Intern (Marketing),$24k - $48k,intern:entry level:marketing:non tech:social media,4mo
Nansen.Ai,"Internship, Product",,intern:entry level,4mo
Nansen.Ai,"Internship, Attribution",,intern:entry level:ethereum,4mo
Nansen.Ai,"Web Designer, Webflow (Marketing)",,design:non tech:marketing:javascript,4mo
Nansen.Ai,Principal Recruiter (Operations),,operations:executive:recruiter:non tech,5mo
Nansen.Ai,DevOps Engineer (Engineering),$95k - $180k,devops:dev:remote,5mo
Nansen.Ai,Data Quality Engineer (Attribution),$60k - $158k,dev:ethereum,5mo
Nansen.Ai,"Product Owner, Smart Alerts (Product)",$69k - $160k,product manager:non tech,5mo
Nansen.Ai,Product Designer (Product),$50k - $135k,design:non tech:remote,5mo
Nansen.Ai,Public Relations Manager (Marketing),$45k - $130k,marketing:non tech,5mo
Nansen.Ai,Affiliate Marketing Manager (Marketing),$25k - $120k,marketing:non tech:remote,5mo
Nansen.Ai,Venture Analyst (Alpha),$36k - $120k,analyst:nft,5mo
Nansen.Ai,"Internship, Alpha",,intern:entry level,5mo
Nansen.Ai,Research Engineer (Attribution),$63k - $160k,dev:solidity:ethereum:remote,5mo
Nansen.Ai,Data Engineer (NFT),$70k - $150k,data science:dev:nft:solidity:remote,5mo
