Company Name,Job Title,Salary Range,Tags,Posted Before
Near,Technical Recruiter,$40k - $70k,recruiter:non tech,7d
Near,Technical Recruiter,$40k - $70k,recruiter:non tech,7d
Near,"Engineering Manager, Storage",$70k - $180k,executive,13d
Near,"Senior Product Manager, Applications",$80k - $150k,product manager:non tech:senior:ethereum,16d
Near,"Senior Product Manager, AstroDAO",$80k - $150k,product manager:non tech:senior:ethereum,16d
Near,"Technical Program Manager Community Success, Applications DAO",$45k - $150k,community manager:non tech:executive,23d
Near,"Engineering Manager, Applications",$70k - $180k,executive,27d
Near,General Counsel,$24k - $140k,legal,1mo
Near,"Lead Product Manager, Developer Console",,dev:lead:product manager:non tech,2mo
Near,People Operations Coordinator,$60k - $200k,operations,2mo
Near,Solutions Architect,,architecture:remote:web3js:ethereum:javascript,2mo
Near,"Technical Program Manager, Solutions Architect",$50k - $300k,architecture:executive,2mo
Near,Front End Software Engineer,$22k - $120k,dev:front end:remote:web3js:react,2mo
Near,Back End Software Engineer,$60k - $180k,backend:dev:remote:web3js:ethereum,2mo
Near,Head of People,$70k - $180k,executive,2mo
Near,Senior Core Engineer,$120k - $210k,dev:senior:rust,2mo
Near,"Product Lead, Protocol",$60k - $200k,lead,2mo
Near,Core Engineer (Database Development),$75k - $190k,dev:rust,2mo
Near,Business Operations Manager,$60k - $200k,operations,3mo
Near,EA for CEO,$70k - $180k,executive,3mo
Near,Lead Quality Assistance Engineer,$100k - $200k,dev:lead:javascript,3mo
Near,"Senior Front-End Engineer, Applications",$70k - $190k,dev:front end:senior:web3js:react,3mo
Near,"Front-End Engineer, Applications",$36k - $120k,dev:front end:web3js:react:ethereum,3mo
Near,"Senior Product Manager, Applications",$80k - $150k,product manager:non tech:senior:ethereum,3mo
Near,Technical Writer,$150k - $185k,analyst:javascript:java:rust,3mo
Near,"Full-Stack Engineer, Applications",$80k - $130k,dev:full stack:web3js:react:ethereum,3mo
Near,"Senior Full-Stack Engineer, Applications",$70k - $180k,dev:full stack:senior:web3js:react,3mo
Near,"Product Designer, Applications",$50k - $150k,design:non tech,3mo
Near,Controller,$24k - $140k,legal,3mo
Near,"Project Manager, Education",,education:project manager:non tech,3mo
Near,Head of Finance,$90k - $200k,executive:finance,3mo
Near,Head of Advisory Group,$70k - $180k,executive,3mo
Near,Developer Relations (Grants Team),$90k - $140k,customer support:dev,3mo
Near,Product Marketing Manager,$45k - $130k,marketing:non tech,3mo
Near,Senior Designer,$60k - $120k,design:non tech:senior,3mo
Near,"Product Manager, Web",$69k - $160k,product manager:non tech,3mo
Near,Marketing Manager,$45k - $130k,marketing:non tech,3mo
Near,"Director, Global Communications",$70k - $180k,executive,3mo
Near,Grant Analyst,$40k - $120k,analyst,3mo
Near,Dev Rel,$60k - $180k,dev,3mo
Near,Technical Recruiter,$40k - $70k,recruiter:non tech,3mo
Near,Senior Writer,$78k - $200k,senior,3mo
Near,"Software Engineer, Integrations 软件工程师 (生态项目集成）",$69k - $160k,dev:javascript:rust,3mo
Near,"Software Engineer, Integrations",$69k - $160k,dev:javascript:rust,3mo
Near,"Software Engineer, Data Platform",$60k - $120k,dev:web3js:ethereum:javascript:rust,3mo
Near,"Engineering Manager, Integrations",,executive:javascript:rust,3mo
Near,"Engineering Manager, Applications",$70k - $180k,executive,3mo
Near,Legal Counsel,$24k - $140k,legal,3mo
Near,"Software Engineer, Zero-Knowledge",$60k - $120k,dev:web3js:ethereum:rust,4mo
Near,Director of Business Operations,$150k - $230k,executive:operations,4mo
Near,Technical Recruiter,$40k - $70k,recruiter:non tech,4mo
Near,Business Operations Associate,$60k - $200k,operations,4mo
Near,Chief of Staff,,executive:recruiter:non tech,4mo
