Company Name,Job Title,Salary Range,Tags,Posted Before
Next Big Thing Ag,Founder / Entrepreneur - Machine Learning (f/m/x),,executive:machine learning:remote,27d
Next Big Thing Ag,CTO (f/m/x) in the Blockchain space,$100k - $300k,cto:executive:blockchain:remote:react,28d
Next Big Thing Ag,(Senior) Sales Manager - European market,$50k - $150k,sales:non tech:senior:remote,29d
Next Big Thing Ag,Entrepreneur | Co-Founder (f/m/x) Blockchain,$100k - $300k,executive:blockchain:remote,1mo
Next Big Thing Ag,CTO (f/m/x) in the Blockchain space,$100k - $300k,executive:blockchain:remote:react:javascript,1mo
Next Big Thing Ag,Founder / Entrepreneur - Machine Learning (f/m/x),,executive:machine learning:remote,1mo
Next Big Thing Ag,Senior Sales Manager - European market,$50k - $150k,sales:non tech:senior:remote,1mo
Next Big Thing Ag,Produktmanager (w/m/d) bei ConcR,$56k - $160k,remote,1mo
Next Big Thing Ag,Business Development Specialist (m/f/d),$29k - $108k,sales:non tech:remote,2mo
Next Big Thing Ag,Entrepreneur | Co-Founder (f/m/x) Blockchain,$100k - $300k,executive:blockchain:remote,2mo
Next Big Thing Ag,Full Stack Engineer (m/f/d),$70k - $200k,dev:full stack:remote:react:javascript,2mo
Next Big Thing Ag,Founder / Entrepreneur - Machine Learning (f/m/x),,executive:machine learning:remote,2mo
Next Big Thing Ag,Senior Sales Manager - European market,$50k - $150k,sales:non tech:senior:remote,2mo
Next Big Thing Ag,Senior Sales Manager - European market,$50k - $150k,sales:non tech:senior:remote,2mo
Next Big Thing Ag,Head of Sales - European market,$40k - $150k,executive:sales:non tech:remote,2mo
Next Big Thing Ag,Entrepreneur | Co-Founder (f/m/x) Blockchain,$100k - $300k,executive:blockchain:remote,2mo
Next Big Thing Ag,Business Intelligence Intern (Working Student) (m/f/x),$24k - $48k,intern:entry level:remote,2mo
Next Big Thing Ag,Senior Product Owner (m/w/d),$80k - $150k,product manager:non tech:senior:remote,2mo
Next Big Thing Ag,Entrepreneur / Co-Founder (f/m/x) - IoT,$79k - $200k,executive:remote,2mo
Next Big Thing Ag,Founder / Entrepreneur - Machine Learning (f/m/x),,executive:machine learning:remote,2mo
Next Big Thing Ag,"CTO and co-founder (f/m/x) for ZERO defects, our SaaS startup in the field of industrial quality management",,executive:saas:remote:cto,2mo
Next Big Thing Ag,Full Stack Engineer (m/f/x),$70k - $200k,dev:full stack:remote,2mo
Next Big Thing Ag,Head of Sales - European market,$40k - $150k,executive:sales:non tech:remote,2mo
Next Big Thing Ag,Entrepreneur | Co-Founder (f/m/x) Blockchain,$100k - $300k,executive:blockchain:remote,2mo
Next Big Thing Ag,Head of Sales - European market,$40k - $150k,executive:sales:non tech:remote,2mo
Next Big Thing Ag,IoT Lead (f/m/x),$95k - $200k,lead:remote,3mo
Next Big Thing Ag,Founder / Entrepreneur - Machine Learning (f/m/x),,executive:machine learning:remote,3mo
Next Big Thing Ag,Business Development Specialist (m/f/d),$29k - $108k,sales:non tech:remote,3mo
Next Big Thing Ag,Entrepreneur | Co-Founder (f/m/x) Blockchain,$100k - $300k,executive:blockchain:remote,3mo
Next Big Thing Ag,Full Stack Engineer (m/f/x),$70k - $200k,dev:full stack:remote,3mo
Next Big Thing Ag,Business Development Specialist (m/f/d),$29k - $108k,sales:non tech:remote,3mo
Next Big Thing Ag,Entrepreneur in Residence (f/m/x) - Accelerating the Sensor Revolution,$56k - $160k,remote,3mo
Next Big Thing Ag,Founder / Entrepreneur - Machine Learning (f/m/x),,executive:machine learning:remote,3mo
Next Big Thing Ag,Co-Founder and CPO (f/m/x),$79k - $200k,executive:remote,3mo
Next Big Thing Ag,"CTO and co-founder (f/m/x) for ZERO defects, our SaaS startup in the field of industrial quality management",,executive:saas:remote:cto,3mo
