Company Name,Job Title,Salary Range,Tags,Posted Before
Open Sea,Web3 Community Data Scientist,,community manager:non tech:data science,4d
Open Sea,Benefits Specialist,$56k - $160k,remote,5d
Open Sea,Sr. Partner Manager,$85k - $200k,senior:remote,5d
Open Sea,"Manager, Data Analytics and Business Intelligence",,stats:remote,5d
Open Sea,Counsel,,legal:remote,7d
Open Sea,HR Coordinator,$60k - $120k,hr:non tech:remote,8d
Open Sea,Head of International Accounting Operations,,executive:accounting:operations,9d
Open Sea,Technical Accounting & Reporting Manager,$11k - $25k,accounting:remote,9d
Open Sea,Sr. Corporate Strategy Manager,$85k - $200k,senior:remote,9d
Open Sea,Accounts Payable Manager,,finance:accounting:remote,15d
Open Sea,Senior Counsel/Counsel (Commercial/Intellectual Property),,legal:senior:remote,15d
Open Sea,Product Operations Lead,,lead:operations:remote,18d
Open Sea,Technical Learning Designer,$50k - $135k,design:non tech:remote,18d
Open Sea,Recruiting Operations Lead,,lead:operations:recruiter:non tech:remote,18d
Open Sea,People Operations Specialist,$80k - $110k,operations:remote,18d
Open Sea,Web3 Community Data Scientist,,community manager:non tech:data science:remote,18d
Open Sea,Office Manager,,,18d
Open Sea,Office Manager,,,18d
Open Sea,Blockchain Data Scientist,,data science:blockchain:remote,18d
Open Sea,Email Marketing Lead,$50k - $120k,lead:marketing:non tech:remote,18d
Open Sea,Associate General Counsel or Director (Law Enforcement & Compliance),,compliance:legal:executive:remote,18d
Open Sea,Head of Payroll & Equity Admin,,executive:accounting:remote,18d
Open Sea,Director of Strategic Finance,$40k - $225k,executive:finance:remote,18d
Open Sea,Senior Site Reliability Engineer,$150k - $200k,dev:sys admin:senior:remote,18d
Open Sea,Marketing Analyst,,analyst:marketing:non tech:remote,18d
Open Sea,"Engineering Manager, Product",$90k - $150k,executive:remote:react,18d
Open Sea,"Engineering Manager, Backend",$140k - $180k,executive:backend:remote,18d
Open Sea,"Quality Assurance Lead, Customer Experience",$25k - $35k,customer support:lead:remote,18d
Open Sea,"Data and Ops Analyst, Customer Happiness",$40k - $95k,analyst:customer support:remote,18d
Open Sea,"Customer Experience Manager, BPO",$40k - $80k,customer support:remote,18d
Open Sea,Customer Experience Manager,$40k - $80k,customer support:remote,18d
Open Sea,Experiential Production Manager,$56k - $165k,remote:nft,18d
Open Sea,Community Grants Manager,$40k - $101k,community manager:non tech:remote:ethereum,18d
Open Sea,Community Events Coordinator,$40k - $101k,community manager:non tech:remote:nft,18d
Open Sea,Technical Partner Manager,$56k - $165k,remote:nft,18d
Open Sea,"Senior Manager, Payments Partnerships",$50k - $150k,sales:non tech:senior:nft,18d
Open Sea,"Senior Associate, Web3 Product Partnerships",$50k - $150k,sales:non tech:senior:remote,18d
Open Sea,Senior Trust & Safety Investigator,$78k - $200k,senior,2mo
Open Sea,"Staff Software Engineer, Backend",$60k - $180k,backend:dev:remote,2mo
Open Sea,"Director, Content and Moderation Policy",$79k - $200k,executive:remote,2mo
Open Sea,"Senior Associate, Gaming Partnerships",$135k - $150k,sales:non tech:game dev:senior:remote,2mo
Open Sea,Platform Partnerships Manager,$29k - $108k,sales:non tech:remote:nft,2mo
Open Sea,Learning Experience Designer,$50k - $135k,design:non tech:remote,2mo
Open Sea,"Director, Partner Management",$70k - $180k,executive,3mo
Open Sea,Partner Marketing Manager,$25k - $120k,marketing:non tech:remote,3mo
Open Sea,"Senior Associate, Corporate Development",$80k - $200k,senior:remote,3mo
Open Sea,Associate General Counsel (Litigation & Employment),,legal:remote,3mo
