Company Name,Job Title,Salary Range,Tags,Posted Before
"Palm Nft Studio, Inc.",Tax Manager,$120k - $150k,accounting:nft,1d
"Palm Nft Studio, Inc.",Product Owner,$80k - $150k,product manager:non tech:ethereum:nft,3d
"Palm Nft Studio, Inc.",FP&A Director,$63k - $180k,executive:nft,4d
"Palm Nft Studio, Inc.",Junior Executive Assistant,,executive:junior:entry level:nft,15d
"Palm Nft Studio, Inc.",Client Reporting Manager,$70k - $158k,ethereum:nft,19d
"Palm Nft Studio, Inc.",Partnership Manager,$100k - $180k,sales:non tech:nft,19d
"Palm Nft Studio, Inc.",Engineering Manager,$85k - $300k,executive:web3js:solidity:ethereum:nft,20d
"Palm Nft Studio, Inc.",Senior Backend Engineer,$70k - $200k,backend:dev:senior:ethereum:nft,21d
"Palm Nft Studio, Inc.",Senior Brand Marketing Lead,$50k - $120k,marketing:non tech:lead:senior:ethereum,21d
"Palm Nft Studio, Inc.",QA Engineer,$65k - $150k,dev:quality assurance:ethereum:nft:java,21d
"Palm Nft Studio, Inc.",General Application,$56k - $165k,remote:nft,25d
"Palm Nft Studio, Inc.",Producer / Project Manager,$55k - $75k,project manager:non tech:nft,1mo
"Palm Nft Studio, Inc.",Product Manager,$80k - $150k,product manager:non tech:ethereum:nft,1mo
"Palm Nft Studio, Inc.",Strategy & Business Operations Manager/Analyst,,analyst:operations:nft:javascript,1mo
"Palm Nft Studio, Inc.",Marketing Data Analyst,,analyst:data science:marketing:non tech:ethereum,1mo
"Palm Nft Studio, Inc.",Project Manager,$55k - $75k,project manager:non tech:nft,1mo
"Palm Nft Studio, Inc.",Senior UI/UX Designer,$60k - $120k,design:non tech:senior:ethereum:nft,1mo
"Palm Nft Studio, Inc.",Writer/Editor,$70k - $158k,ethereum:nft,1mo
"Palm Nft Studio, Inc.",Senior Software Engineer - Big Data/Analytics,,stats:big data:dev:senior:ethereum,1mo
"Palm Nft Studio, Inc.",Technical Community Specialist,$15k - $30k,community manager:non tech:ethereum:nft,2mo
"Palm Nft Studio, Inc.",Junior Designer,,design:non tech:junior:entry level:nft,2mo
"Palm Nft Studio, Inc.",Front End Engineer - Blockchain Technology,$33k - $190k,dev:front end:blockchain:react:ethereum,2mo
"Palm Nft Studio, Inc.",Lead UX/UI Designer,$40k - $190k,design:non tech:lead:ethereum:nft,2mo
"Palm Nft Studio, Inc.",Developer Relations Lead,,customer support:dev:lead:nft,2mo
"Palm Nft Studio, Inc.",Senior Concept Artist,$90k - $200k,senior:nft,2mo
"Palm Nft Studio, Inc.",Illustrator,$15k - $70k,illustrator:nft,2mo
"Palm Nft Studio, Inc.",Full Stack Engineer,$80k - $130k,dev:full stack:web3js:react:solidity,2mo
"Palm Nft Studio, Inc.",Senior Creative (Copy),$90k - $200k,senior:nft,2mo
"Palm Nft Studio, Inc.",Product Counsel,,legal:nft,2mo
"Palm Nft Studio, Inc.",Technical Recruiter,$51k - $70k,recruiter:non tech:nft,2mo
"Palm Nft Studio, Inc.",3D Modeler / Generalist,$11k - $35k,vfx:nft,2mo
"Palm Nft Studio, Inc.",Head of People,$63k - $180k,executive:nft,2mo
