Company Name,Job Title,Salary Range,Tags,Posted Before
Paradigm,Systems Administrator,$150k - $200k,sys admin,5d
Paradigm,Policy Associate,$50k - $158k,,9d
Paradigm,Recruiting - Paradigm Portfolio,,finance:recruiter:non tech:remote,18d
Paradigm,Finance - Paradigm Portfolio,$40k - $100k,finance:remote,18d
Paradigm,Growth - Paradigm Portfolio,$50k - $100k,finance:marketing:non tech:remote,24d
Paradigm,Communications - Paradigm Portfolio,$40k - $100k,finance:remote,24d
Paradigm,Product - Paradigm Portfolio,$40k - $100k,finance:remote,25d
Paradigm,People Ops - Paradigm Portfolio,$40k - $100k,finance:remote,25d
Paradigm,Legal - Paradigm Portfolio,,finance:legal:remote,25d
Paradigm,Controller,$24k - $140k,legal,1mo
Paradigm,Events Lead,$60k - $200k,lead,2mo
Paradigm,Tax Director,$120k - $150k,executive:accounting,2mo
Paradigm,Business Operations Analyst,,analyst:operations,3mo
Paradigm,Research Engineer (Security),$95k - $250k,dev:security,3mo
Paradigm,Finance Associate,$40k - $150k,finance,5mo
Paradigm,Finance Associate,$40k - $150k,finance,5mo
Paradigm,Software Engineer - Paradigm Portfolio,,finance:dev:remote,5mo
Paradigm,Engineering Leadership - Paradigm Portfolio,$40k - $100k,finance:remote,5mo
Paradigm,Research Associate,,,5mo
Paradigm,Software Engineer - Front End,$50k - $150k,dev:front end,5mo
Paradigm,Software Engineer - Data,$60k - $180k,dev,5mo
Paradigm,Software Engineer - Crypto Infrastructure,$60k - $160k,dev:crypto,5mo
Paradigm,Senior Recruiter - Portfolio,,finance:recruiter:non tech:senior,5mo
Paradigm,Senior Recruiter - Internal,$40k - $70k,recruiter:non tech:senior,5mo
Paradigm,Office Manager,,,5mo
Paradigm,Managing Editor,,,5mo
Paradigm,Legal Associate,$24k - $140k,legal,5mo
Paradigm,Engineering Director,$70k - $180k,executive,5mo
Paradigm,Deputy Chief Compliance Officer,,compliance:executive,5mo
Paradigm,Communications Manager,$45k - $130k,marketing:non tech,5mo
Paradigm,Business Operations Associate,$60k - $200k,operations,5mo
Paradigm,Administrative Assistant,,,5mo
Paradigm,Investment Associate,$40k - $150k,finance,5mo
Paradigm,Executive Assistant,$70k - $180k,executive,6mo
Paradigm,Community Lead,$40k - $65k,community manager:non tech:lead,6mo
Paradigm,Software Engineer - Smart Contracts,$70k - $200k,dev:smart contract,6mo
