Company Name,Job Title,Salary Range,Tags,Posted Before
Polygon,Partnership Development - Music & Talent,,sales:non tech:music:recruiter:ethereum,3h
Polygon,Partnership Development - Film & Animation,,sales:non tech:video:ethereum:nft,3h
Polygon,Partnership Development - Arts & Fashion,$29k - $43k,sales:non tech:ethereum:nft,3h
Polygon,Lead - eDAO Studios,$56k - $118k,lead:remote:ethereum:nft,3h
Polygon,Community Manager,$15k - $30k,community manager:non tech:ethereum:nft,3h
Polygon,Business Development Lead,,sales:non tech:lead:remote:ethereum,7h
Polygon,"Director, Talent Acquisition",,executive:recruiter:non tech:ethereum,17h
Polygon,Email Marketer (REMOTE),$25k - $120k,remote:marketing:non tech:ethereum,1d
Polygon,"Developer Advocate, Europe (REMOTE)",$65k - $150k,remote:dev:ethereum,1d
Polygon,"Associate, Institutional Marketing",$25k - $120k,marketing:non tech:remote:ethereum,1d
Polygon,"SVP, People",$60k - $150k,ethereum,1d
Polygon,Senior Recruiter,$40k - $70k,recruiter:non tech:senior:ethereum,1d
Polygon,"Director, Talent Acquisition",,executive:recruiter:non tech:ethereum,1d
Polygon,Technical Content Creator,$60k - $146k,remote:ethereum,2d
Polygon,Social Media Manager,$35k - $110k,social media:non tech:remote:ethereum,2d
Polygon,Web Strategist,$60k - $146k,remote:ethereum,2d
Polygon,Graphic Designer (Remote),$50k - $150k,remote:design:non tech:ethereum,2d
Polygon,"HR Manager, eDAO",$60k - $120k,hr:non tech:remote:ethereum:nft,3d
Polygon,HR Operation Intern,,hr:non tech:intern:entry level,4d
Polygon,Talent Acquisition Operations Manager,,operations:recruiter:non tech:ethereum,5d
Polygon,PR Coordinator (Enterprise and DeFi),$60k - $140k,marketing:non tech:defi:remote:ethereum,5d
Polygon,Senior Technical Recruiter,$40k - $70k,recruiter:non tech:senior:ethereum,6d
Polygon,Recruiting Manager,,recruiter:non tech:ethereum,6d
Polygon,MIS IT Engineer - APAC (Remote),$65k - $150k,remote:dev:ethereum,8d
Polygon,Senior Protocol Engineer,,dev:senior:remote:rust:backend,9d
Polygon,Senior Golang Engineer,$65k - $150k,dev:golang:senior:ethereum:node,9d
