Company Name,Job Title,Salary Range,Tags,Posted Before
Protocol Labs,Core Engineer,$65k - $180k,dev:remote,3mo
Protocol Labs,"Startup Operator, PLN Marketplace",$56k - $160k,remote,3mo
Protocol Labs,Recruiting Manager,,recruiter:non tech:remote,3mo
Protocol Labs,Public-Goods-Funding Software Engineer,$65k - $180k,dev:remote,3mo
Protocol Labs,Smart Contract Engineer,$90k - $180k,dev:smart contract:nft:remote,4mo
Protocol Labs,Senior Engineer- Ecosystem Projects,$90k - $200k,dev:senior:nft:remote,4mo
Protocol Labs,"Technical Program Manager, L&D",$79k - $200k,executive:remote,4mo
Protocol Labs,Technical Recruiter,,recruiter:non tech:remote,5mo
Protocol Labs,Public-Goods-Funding Startup Operator,$56k - $160k,remote,5mo
Protocol Labs,Public-Goods-Funding Researcher,$56k - $160k,remote,5mo
Protocol Labs,"Technical Program Manager, R&D Labs",$79k - $200k,executive:remote,5mo
Protocol Labs,"Research Scientist, ResNetLab",$56k - $160k,remote,5mo
Protocol Labs,"Research Scientist, CryptoNetLab",$56k - $160k,remote,5mo
Protocol Labs,"Research Scientist, ConsensusLab",$56k - $160k,remote,5mo
Protocol Labs,"Research Scientist, CryptoEconLab",$56k - $160k,remote,5mo
Protocol Labs,"Research Engineer, Resilient Networks Lab",$65k - $180k,dev:remote,5mo
Protocol Labs,"Research Engineer, CryptoCompute Lab",$65k - $180k,dev:remote,5mo
Protocol Labs,"Research Engineer, ConsensusLab",$65k - $180k,dev:remote,5mo
Protocol Labs,"Protocol Engineer, CryptoEconLab",$65k - $180k,dev:remote,5mo
Protocol Labs,Research Program Manager,$79k - $200k,executive:remote,5mo
Protocol Labs,Research Administrator,$56k - $160k,remote,5mo
Protocol Labs,"Technical Program Manager, Infra",$79k - $200k,executive:remote,5mo
Protocol Labs,"Product Manager, Web3 Core Protocols",$115k - $175k,product manager:non tech:remote,5mo
Protocol Labs,Senior Technical Recruiter,$40k - $70k,recruiter:non tech:senior:remote,5mo
Protocol Labs,People Ops Generalist,$56k - $160k,remote,5mo
Protocol Labs,People Ops Coordinator,$56k - $160k,remote,5mo
Protocol Labs,People Ops Business Partner,$56k - $160k,remote,5mo
Protocol Labs,Learning and Development Program Manager,$79k - $200k,executive:remote,5mo
Protocol Labs,Corporate Counsel,,legal:remote,5mo
Protocol Labs,"Sr. Software Engineer, libp2p",$85k - $200k,dev:senior:remote,5mo
Protocol Labs,"Sr. Software Engineer, IPFS",$85k - $200k,dev:senior:remote,5mo
Protocol Labs,"Sr. Software Engineer, Filecoin",$85k - $200k,dev:senior:remote,5mo
Protocol Labs,"Sr. Software Engineer, Distributed Systems",$85k - $200k,dev:senior:remote,5mo
Protocol Labs,"Sr. Software Engineer, Cryptography & Systems",$85k - $200k,dev:senior:remote,5mo
Protocol Labs,"Sr. Infra Engineer, NetOps",$85k - $200k,dev:senior:remote,5mo
Protocol Labs,Sr. Data Engineer,$130k - $160k,data science:dev:senior:remote,5mo
Protocol Labs,"Engineering Manager, Web3 Core Protocols",$79k - $200k,executive:remote,5mo
Protocol Labs,"Engineering Manager, Infra",$79k - $200k,executive:remote,5mo
Protocol Labs,"Data Scientist, CryptoEconLab",$50k - $135k,data science:remote,5mo
Protocol Labs,Technical Support Engineer (Lotus),,dev:customer support:remote,5mo
Protocol Labs,"Developer Advocate, Ecosystems",$65k - $180k,dev:remote,5mo
Protocol Labs,"Community Engineer (China), Filecoin",,community manager:non tech:dev:remote,5mo
Protocol Labs,Technical Content Strategist,$56k - $160k,remote,5mo
Protocol Labs,Head of Content,$79k - $200k,executive:remote,5mo
Protocol Labs,"Crypto Ops Lead [Product, Strategy & Ops]",$25k - $79k,lead:crypto:remote,5mo
Protocol Labs,"Technical Program Manager, Web3 Core Protocols",$79k - $200k,executive:remote,6mo
Protocol Labs,People Operations Manager,$80k - $110k,operations:remote,6mo
Protocol Labs,"Sr. Software Engineer, Drand",$85k - $200k,dev:senior:remote,6mo
Protocol Labs,Distributed Computation Engineer,$65k - $180k,dev:remote,6mo
Protocol Labs,"Crypto Ops Lead [Product, Strategy & Ops]",$25k - $79k,lead:crypto:remote,6mo
Protocol Labs,"Project Manager, Cross Functional Projects",$56k - $150k,project manager:non tech:remote,6mo
Protocol Labs,Assistant Controller,,finance:legal:remote,6mo
