Company Name,Job Title,Salary Range,Tags,Posted Before
Qubit9 Gmb H,Senior Data Engineer m/f/d,$130k - $160k,data science:dev:senior,1d
Qubit9 Gmb H,Senior Data Analyst f/d/m,,analyst:data science:senior,8d
Qubit9 Gmb H,Senior Software Engineer - Distributed Systems m/w/d,$70k - $200k,dev:senior:node,14d
Qubit9 Gmb H,Ground Control Manager / Office Management m/w/d,,,18d
Qubit9 Gmb H,SRE/DevOps (Cloud & Cluster Computing) m/w/d,,cloud:devops:senior,18d
Qubit9 Gmb H,Senior Backend Developer m/w/d,$70k - $200k,backend:dev:senior,18d
Qubit9 Gmb H,Lead Developer - Blockchain (m/f/d),$30k - $160k,dev:lead:blockchain:react:solidity,28d
Qubit9 Gmb H,Senior Backend Developer m/f/d,$70k - $200k,backend:dev:senior:node:rust,1mo
Qubit9 Gmb H,Lead Developer - Blockchain (m/f/d),$30k - $160k,dev:lead:blockchain:react:solidity,1mo
Qubit9 Gmb H,Lead Developer - Blockchain (m/f/d),$30k - $160k,dev:lead:blockchain:react:solidity,2mo
Qubit9 Gmb H,Lead Developer - Blockchain (m/f/d),$30k - $160k,dev:lead:blockchain:react:solidity,2mo
Qubit9 Gmb H,Inhouse Legal Counsel / Unternehmensjurist m/w/d - Teilzeit,$24k - $140k,legal,3mo
Qubit9 Gmb H,VP Blockchain,$46k - $200k,executive:blockchain,3mo
Qubit9 Gmb H,Cloud Engineer (Storage) m/f/d,,cloud:dev,3mo
Qubit9 Gmb H,Product / Market Researcher m/f/d,,,4mo
Qubit9 Gmb H,Senior Recruiter m/w/d,$40k - $70k,recruiter:non tech:senior,4mo
Qubit9 Gmb H,Technical Product Manager - Cloud / Blockchain m/w/d,,cloud:product manager:non tech:blockchain,4mo
Qubit9 Gmb H,Frontend Engineer (CLI) m/w/d,$50k - $150k,dev:front end,4mo
Qubit9 Gmb H,Vice President (VP) - B2B Sales,$40k - $150k,sales:non tech:executive,4mo
Qubit9 Gmb H,General Management & Entrepreneurship Resident (m/w/d) - Cloud & Blockchain,$109k - $13k,cloud:blockchain,4mo
Qubit9 Gmb H,Principal Software / Cloud Engineer (m/f/d),,cloud:dev:executive,5mo
Qubit9 Gmb H,Senior Controller (m/w/d),,legal:senior,5mo
Qubit9 Gmb H,Senior Accountant (m/w/d),$80k - $110k,accounting:senior,5mo
Qubit9 Gmb H,"Legal, Tax & Admin Associate (m/w/d)",,legal:accounting,5mo
Qubit9 Gmb H,Cryptoasset Research Analyst (m/f/d),$40k - $120k,analyst,5mo
Qubit9 Gmb H,Working Student - Recruiting / Active Sourcing (m/f/d),$40k - $70k,recruiter:non tech,5mo
Qubit9 Gmb H,Tech Recruiter (m/f/d),$40k - $70k,recruiter:non tech,5mo
Qubit9 Gmb H,Junior-Recruiter - Active Sourcing (m/f/d),,junior:entry level:recruiter:non tech,5mo
Qubit9 Gmb H,Senior Backend Engineer (m/f/d),$70k - $200k,backend:dev:senior,5mo
Qubit9 Gmb H,Lead Developer - Blockchain (m/f/d),$30k - $160k,dev:lead:blockchain,5mo
Qubit9 Gmb H,Full Stack Developer (m/f/d),$65k - $180k,dev:full stack,5mo
Qubit9 Gmb H,DevOps Engineer (m/f/d),$70k - $180k,devops:dev,5mo
Qubit9 Gmb H,Senior Smart Contract Engineer (m/f/d),$120k - $250k,dev:senior:smart contract,5mo
Qubit9 Gmb H,Technical Co-Founder / CTO / Tech-Lead (m/f/d) - Decentralized Data Cloud Business,,cloud:executive:lead:tech lead:cto,6mo
Qubit9 Gmb H,Product Lead (m/f/d) - Decentralized Data Cloud Business,,cloud:lead,6mo
Qubit9 Gmb H,(Senior) Web3 Front End Engineer (m/f/d),$70k - $190k,dev:front end:senior:react,6mo
Qubit9 Gmb H,Senior Smart Contract Engineer,$120k - $250k,dev:senior:smart contract,7mo
