Company Name,Job Title,Salary Range,Tags,Posted Before
Rarible,Legal Counsel,,legal:remote:nft,1d
Rarible,Head of Events,$79k - $180k,executive:remote:nft,1d
Rarible,Solana Community Manager,,community manager:non tech,4d
Rarible,Product Manager Marketplace,$115k - $175k,product manager:non tech:remote:nft,18d
Rarible,Assistant (Senior Executive),,executive:senior:nft,18d
Rarible,Rarible Protocol Marketing Lead,$50k - $120k,lead:marketing:non tech:remote:nft,18d
Rarible,Solana Community Manager,$40k - $101k,community manager:non tech:remote:solana:nft,18d
Rarible,Flow Community Manager,$40k - $101k,community manager:non tech:remote:nft,18d
Rarible,Discord community manager,$40k - $101k,community manager:non tech:remote:nft,18d
Rarible,Polygon community manager,$40k - $101k,community manager:non tech:remote:nft,2mo
Rarible,Senior Frontend Engineer (React),$50k - $140k,dev:front end:javascript:react:senior,3mo
Rarible,"Team Assistant, Operations",,operations:remote:nft,3mo
Rarible,BD & Comms Executive Assistant,$79k - $180k,executive:remote:nft,3mo
Rarible,Tezos community manager,$40k - $101k,community manager:non tech:remote:nft,3mo
Rarible,Community Lead,$40k - $65k,community manager:non tech:lead:remote:ethereum,3mo
Rarible,Chief Marketing Officer,$70k - $158k,executive:marketing:non tech:remote:nft,3mo
Rarible,Product Marketing Manager JD,$25k - $120k,marketing:non tech:remote:ethereum:nft,3mo
Rarible,Partner Manager,$56k - $165k,remote:nft,4mo
Rarible,Senior Rust Developer (Solana),$120k - $210k,dev:rust:senior:remote:nft,4mo
Rarible,Data engineer,,data science:dev:remote:nft,4mo
Rarible,Product Designer,$50k - $135k,design:non tech:remote:nft,4mo
Rarible,Product Manager (Protocol),$69k - $160k,product manager:non tech:nft:remote,5mo
Rarible,Product Manager,$69k - $160k,product manager:non tech:nft:remote,5mo
Rarible,Senior Product Marketing Manager,$46k - $109k,marketing:non tech:senior:nft:remote,5mo
Rarible,Senior Marketing Insights & Data Analyst,,analyst:data science:marketing:non tech:senior,5mo
Rarible,Partner Marketing Manager,$55k - $140k,marketing:non tech:nft:remote,5mo
Rarible,Marketing Program Manager,$70k - $158k,marketing:non tech:executive:nft:remote,5mo
Rarible,Integrated Marketing Manager,$55k - $140k,marketing:non tech:nft:remote,5mo
Rarible,Event Marketing Manager,,events manager:non tech:marketing:nft:remote,5mo
Rarible,Developer Marketing Manager,$85k - $120k,dev:marketing:non tech:nft:remote,5mo
Rarible,Senior Machine Learning Engineer,,dev:machine learning:senior:nft,5mo
Rarible,DevOps,$95k - $180k,devops:nft,5mo
Rarible,Technical Lead Backend (Java/Kotlin),$140k - $180k,backend:java:lead:tech lead:nft,5mo
Rarible,Senior QA Engineer (Marketplace),$30k - $50k,dev:quality assurance:senior:nft:remote,5mo
Rarible,Senior Mobile Engineer (Android),,android:mobile:dev:senior:nft,5mo
Rarible,Senior Frontend Engineer (React),$50k - $140k,dev:front end:javascript:react:senior,5mo
Rarible,Senior Backend Engineer (Java/Kotlin),$60k - $160k,backend:dev:java:senior:nft,5mo
Rarible,QA Engineer,$65k - $110k,dev:quality assurance:nft:remote,5mo
Rarible,QA Automation Engineer (Senior),$30k - $50k,dev:quality assurance:senior:nft:remote,5mo
Rarible,Brand Creative Designer,,marketing:non tech:design:nft:remote,5mo
Rarible,Protocol Partnerships & Integrations Lead,,sales:non tech:lead:nft:remote,5mo
Rarible,Marketing Lead,$50k - $120k,lead:marketing:non tech:nft:remote,5mo
Rarible,Grants Program Lead,$56k - $200k,lead:nft:remote,5mo
Rarible,Social Media Manager,$35k - $75k,social media:non tech:nft:remote,5mo
Rarible,Editorial Copywriter,,copywriting:nft:remote,5mo
Rarible,Head of Developer Relations,,executive:customer support:dev:nft:remote,6mo
