Company Name,Job Title,Salary Range,Tags,Posted Before
Recur,Senior Designer - Sports,$60k - $120k,design:non tech:senior:ethereum,13d
Recur,"Senior Art Director, Marketing",$70k - $158k,executive:marketing:non tech:senior:remote,21d
Recur,Art Director,$50k - $158k,executive:ethereum:nft,21d
Recur,AML Associate,$55k - $150k,nft,21d
Recur,Senior Software Engineer - Platform Engineering,$90k - $200k,dev:senior:nft:javascript:node,21d
Recur,Community Operations Team Lead (APAC),$40k - $65k,community manager:non tech:lead:operations:ethereum,21d
Recur,Community Operations Team Lead (APAC),$40k - $65k,community manager:non tech:lead:operations:ethereum,21d
Recur,Community Operations Team Lead (APAC),$40k - $65k,community manager:non tech:lead:operations:ethereum,21d
Recur,Community Manager - Engagement (APAC),$15k - $30k,community manager:non tech:ethereum:nft,21d
Recur,Copy of Copy of Community Manager - Policy (APAC),$15k - $30k,community manager:non tech:ethereum:nft,21d
Recur,Copy of Community Operations Team Lead (APAC),$40k - $65k,community manager:non tech:lead:operations:ethereum,21d
Recur,Copy of Community Operations Team Lead (APAC),$40k - $65k,community manager:non tech:lead:operations:ethereum,21d
Recur,Copy of Community Operations Team Lead (APAC),$40k - $65k,community manager:non tech:lead:operations:ethereum,21d
Recur,Copy of Community Operations Team Lead (APAC),$40k - $65k,community manager:non tech:lead:operations:ethereum,21d
Recur,Copy of Community Manager - Policy (APAC),$15k - $30k,community manager:non tech:ethereum:nft,21d
Recur,Copy of Community Manager - Policy (APAC),$15k - $30k,community manager:non tech:ethereum:nft,21d
Recur,Copy of Community Manager - Policy (APAC),$15k - $30k,community manager:non tech:ethereum:nft,21d
Recur,Copy of Community Manager - Engagement (APAC),$15k - $30k,community manager:non tech:ethereum:nft,22d
Recur,Director of Product Marketing,$70k - $158k,executive:marketing:non tech:product manager:ethereum,23d
Recur,"Manager, Payroll",$120k - $150k,accounting:nft,26d
Recur,Corporate Trainer,,education,27d
Recur,Community Manager - Engagement (APAC),$15k - $30k,community manager:non tech:ethereum:nft,27d
Recur,Community Manager - Engagement (APAC),$15k - $30k,community manager:non tech:ethereum:nft,27d
Recur,Staff Software Engineer - Platform Engineering,$56k - $180k,dev:nft:javascript:node:java,28d
Recur,Associate Marketing Program Manager - Sports,$70k - $158k,marketing:non tech:executive:remote:ethereum,29d
Recur,Office Coordinator,$79k - $158k,remote:ethereum:nft,29d
Recur,Creative Director,$50k - $158k,executive:ethereum:nft,29d
Recur,Recruiter,,recruiter:non tech:ethereum,30d
Recur,Assistant Controller,,finance:legal:ethereum,1mo
Recur,Security Engineer,,dev:security:nft:javascript:java,1mo
