Company Name,Job Title,Salary Range,Tags,Posted Before
Shakepay,User Acquisition Manager (Remote - Canada),$25k - $120k,remote:marketing:non tech,18d
Shakepay,Customer Lifecycle Specialist (Remote - Canada),$56k - $160k,remote,18d
Shakepay,Financial Operations Manager (Remote - Canada),,remote:finance:operations,18d
Shakepay,Accounting Technician (Remote - Canada),$11k - $25k,remote:accounting,18d
Shakepay,Staff Developer (Remote - Canada),$65k - $180k,remote:dev,18d
Shakepay,Senior QA Engineer (Remote - Canada),,remote:dev:quality assurance:senior,18d
Shakepay,Data Analyst (Remote - Canada),$45k - $120k,remote:analyst:data science,18d
Shakepay,MultiMedia Graphic Designer (Remote - Canada),$50k - $135k,remote:design:non tech,1mo
Shakepay,Technical Recruiter (Remote - Canada),,remote:recruiter:non tech,2mo
Shakepay,Paralegal (Remote - Canada),$56k - $160k,remote,2mo
Shakepay,Legal Counsel (Remote - Canada),,legal:remote,2mo
Shakepay,Merch Manager (Remote - Canada),$56k - $160k,remote,2mo
Shakepay,Crypto Risk & Fraud Analyst (Remote - Canada),,remote:analyst:security:crypto,3mo
Shakepay,IT Operations Engineer (Remote - Canada),,remote:dev:operations,3mo
Shakepay,"Product Manager, Lending - Remote (Canada)",$115k - $175k,remote:product manager:non tech,3mo
Shakepay,Product Manager - Payments (Remote - Canada),$115k - $175k,remote:product manager:non tech,3mo
Shakepay,Product Manager - Internal Tools (Remote - Canada),$115k - $175k,remote:product manager:non tech,3mo
Shakepay,Talent Lead (Remote - Canada),,remote:lead:recruiter:non tech,3mo
Shakepay,Head of Engineering (Remote - Canada),$79k - $200k,executive:remote,3mo
Shakepay,Communications & Policy Lead (Remote - Canada),$95k - $200k,remote:lead,3mo
Shakepay,Fraud Lead (Remote - Canada),,remote:security:lead,3mo
Shakepay,Senior Product Designer (Remote - Canada),$50k - $135k,remote:design:non tech:senior,3mo
Shakepay,Agent of Change (Remote - Canada),$56k - $160k,remote,3mo
Shakepay,Fraud Dispute Analyst (Remote - Canada),,remote:analyst:security,3mo
Shakepay,Security Engineer (Remote - Canada),$95k - $250k,remote:dev:security,4mo
Shakepay,Security Analyst (Remote - Canada),,remote:analyst:security,4mo
Shakepay,Application Security Engineer (Remote - Canada),$95k - $250k,remote:dev:security,4mo
Shakepay,AML Analyst (Remote - Canada),$45k - $120k,remote:analyst,4mo
Shakepay,Community Lead (Remote - Canada),$40k - $101k,remote:community manager:non tech:lead,4mo
Shakepay,Talent Sourcer (Remote - Canada),,remote:recruiter:non tech,5mo
Shakepay,HR Generalist (Remote - Canada),$60k - $120k,remote:hr:non tech,5mo
Shakepay,Fiat Fraud Specialist (Remote - Canada),$95k - $250k,remote:security,5mo
Shakepay,Card Operations Manager (Remote - Canada),$80k - $110k,remote:operations,5mo
Shakepay,Risk & Fraud Analyst (Remote - Canada),,remote:analyst:security,5mo
Shakepay,Client Onboarding Rep - KYC (Remote - Canada),,kyc:remote,5mo
Shakepay,Recruiter (Remote - Canada),,remote:recruiter:non tech,5mo
Shakepay,Growth Lead (Remote - Canada),$25k - $120k,remote:marketing:non tech:lead,5mo
Shakepay,Accounting Manager (Remote - Canada),$11k - $25k,remote:accounting,5mo
Shakepay,Junior Developer (Remote - Canada),$39k - $56k,remote:dev:junior:entry level,5mo
Shakepay,Full-stack Developer (Remote - Canada),$70k - $200k,remote:dev:full stack,5mo
Shakepay,Frontend Developer (Remote - Canada),$22k - $120k,remote:dev:front end,5mo
Shakepay,Engineering Manager (Remote - Canada),$79k - $200k,executive:remote,5mo
Shakepay,DevOps (Remote - Canada),$95k - $180k,remote:devops,5mo
Shakepay,Design Lead (Remote - Canada),$50k - $135k,remote:design:non tech:lead,5mo
Shakepay,Creative Director (Remote - Canada),$79k - $200k,remote:executive,5mo
Shakepay,Représentant(e) Service à la clientèle bilingue FR/AN (À distance - Canada),,,5mo
Shakepay,Gestionnaire service à la clientèle bilingue FR/AN (À distance - Canada),,,5mo
Shakepay,Customer Support Manager (Remote - Canada),$40k - $80k,remote:customer support,5mo
Shakepay,Customer Support (Remote - Canada),$40k - $80k,remote:customer support,5mo
Shakepay,Customer Support - Evenings (Remote - Canada),$40k - $80k,remote:customer support,5mo
Shakepay,Copywriter (Remote - Canada),$25k - $30k,remote:copywriting,5mo
Shakepay,Securities Compliance Representative (Remote - Canada),,compliance:remote,5mo
Shakepay,Product Manager - Card (Remote - Canada),$115k - $175k,remote:product manager:non tech,6mo
Shakepay,Securities Compliance Representative (Remote-Canada),,compliance:remote,6mo
