Company Name,Job Title,Salary Range,Tags,Posted Before
Stellar,Senior Data Engineer,$130k - $160k,data science:dev:senior:golang,7d
Stellar,Content Marketing Manager,$45k - $125k,marketing:non tech,8d
Stellar,Content Marketing Manager,$45k - $125k,marketing:non tech,8d
Stellar,Security Engineering Manager,,executive:security:ruby,13d
Stellar,Head of Product,$135k - $170k,executive:product manager:non tech,13d
Stellar,Head of Product,$135k - $170k,executive:product manager:non tech,13d
Stellar,Head of Investments,$70k - $180k,executive,20d
Stellar,Head of Investments,$70k - $180k,executive,20d
Stellar,Product Counsel,$24k - $140k,legal,20d
Stellar,Product Counsel,$24k - $140k,legal,20d
Stellar,Senior Protocol Engineer,$120k - $210k,dev:senior:rust,20d
Stellar,Technical Content Writer,$13k - $45k,copywriting,21d
Stellar,Technical Content Writer,$13k - $45k,copywriting,23d
Stellar,"Senior Engineering Manager, Core Protocol",,executive:senior:rust,1mo
Stellar,"Senior Engineering Manager, Core Protocol",,executive:senior:rust,1mo
Stellar,"Senior Engineering Manager, Core Protocol",,executive:senior:rust,1mo
Stellar,Legal Counsel,$24k - $140k,legal,1mo
Stellar,Legal Counsel,$24k - $140k,legal,1mo
Stellar,Technical Writer,$40k - $120k,analyst,2mo
Stellar,"Legal Counsel, Debt and Investments",$24k - $140k,legal,2mo
Stellar,"Staff Software Engineer, Tech Strategy",$75k - $190k,dev:rust,2mo
Stellar,"Staff Software Engineer, Tech Strategy",$75k - $190k,dev:rust,2mo
Stellar,"Staff Software Engineer, Tech Strategy",$75k - $190k,dev:rust,2mo
Stellar,Product Manager - Core Protocol,$69k - $160k,product manager:non tech,2mo
Stellar,Product Manager - Core Protocol,$69k - $160k,product manager:non tech,2mo
Stellar,Director of Mobile Engineering,,executive:mobile,2mo
Stellar,Director of Mobile Engineering,,executive:mobile,2mo
Stellar,Director of Mobile Engineering,,executive:mobile,2mo
Stellar,Product Manager - Core Protocol,$69k - $160k,product manager:non tech,2mo
Stellar,Senior Site Reliability Engineer,$150k - $200k,dev:sys admin:senior:ruby,3mo
Stellar,Senior Site Reliability Engineer,$150k - $200k,dev:sys admin:senior:ruby,3mo
Stellar,Social Media Manager,$33k - $85k,social media:non tech,3mo
Stellar,Social Media Manager,$33k - $85k,social media:non tech,3mo
Stellar,Social Media Manager,$33k - $85k,social media:non tech,3mo
Stellar,Product Marketing Manager,$45k - $130k,marketing:non tech,3mo
Stellar,Product Marketing Manager,$45k - $130k,marketing:non tech,3mo
Stellar,Visual Designer,$50k - $150k,design:non tech,3mo
Stellar,Visual Designer,$50k - $150k,design:non tech,3mo
Stellar,Visual Designer,$50k - $150k,design:non tech,3mo
Stellar,Senior Protocol Engineer,$120k - $210k,dev:senior:rust,3mo
Stellar,Senior Protocol Engineer,$120k - $210k,dev:senior:rust,3mo
Stellar,Senior Software Engineer,$70k - $180k,dev:senior:react:react native:java,3mo
Stellar,Senior Software Engineer,$70k - $180k,dev:senior:react:react native:java,3mo
Stellar,Director of Policy and Government Relations,$70k - $180k,executive,3mo
Stellar,PR & Communications Manager,$45k - $130k,marketing:non tech,3mo
Stellar,PR & Communications Manager,$45k - $130k,marketing:non tech,3mo
Stellar,PR & Communications Manager,$45k - $130k,marketing:non tech,3mo
Stellar,Data Engineer,,data science:dev:golang,4mo
Stellar,Data Engineer,,data science:dev:golang,5mo
Stellar,Technical Program Manager,$70k - $180k,executive,5mo
Stellar,Technical Program Manager,$70k - $180k,executive,5mo
Stellar,Technical Program Manager,$70k - $180k,executive,5mo
Stellar,Investment Associate,$40k - $150k,finance,5mo
Stellar,Investment Associate,$40k - $150k,finance,5mo
Stellar,Accountant,$25k - $150k,accounting,5mo
Stellar,Staff Software Engineer,$11k - $130k,dev:javascript:java:rust,5mo
Stellar,Staff Software Engineer,$11k - $130k,dev:javascript:java:rust,5mo
Stellar,Staff Software Engineer,$11k - $130k,dev:javascript:java:rust,5mo
Stellar,Protocol Architect,$67k - $180k,architecture,5mo
Stellar,Protocol Architect,$67k - $180k,architecture,5mo
Stellar,Protocol Architect,$67k - $180k,architecture,5mo
Stellar,Site Reliability Engineer,,dev:sys admin:ruby,5mo
Stellar,Senior Application Security Engineer,$95k - $250k,dev:security:senior:react:golang,5mo
Stellar,Senior Application Security Engineer,$95k - $250k,dev:security:senior:react:golang,5mo
Stellar,"Engineering Manager, Horizon",$70k - $180k,executive,5mo
Stellar,"Engineering Manager, Horizon",$70k - $180k,executive,5mo
Stellar,"Engineering Manager, Horizon",$70k - $180k,executive,5mo
Stellar,Backend Engineer,$60k - $160k,backend:dev:java:rust,5mo
Stellar,Backend Engineer,$60k - $160k,backend:dev:java:rust,5mo
Stellar,Senior C++ Engineer,$100k - $150k,c:c plus plus:dev:senior,5mo
Stellar,Senior C++ Engineer,$100k - $150k,c:c plus plus:dev:senior,5mo
Stellar,Senior C++ Engineer,$100k - $150k,c:c plus plus:dev:senior,5mo
Stellar,Technical Content Specialist,$25k - $96k,marketing:non tech:copywriting:react:javascript,5mo
Stellar,Enterprise Account Manager,,account manager,5mo
Stellar,Enterprise Account Manager,,account manager,5mo
Stellar,Enterprise Account Manager,,account manager,6mo
Stellar,Enterprise Account Manager,,account manager,6mo
Stellar,Developer Advocate,$56k - $150k,dev:javascript,6mo
