Company Name,Job Title,Salary Range,Tags,Posted Before
Super Rare Labs,Lead Brand Designer,,marketing:non tech:design:lead:nft,13d
Super Rare Labs,Software Engineer - Backend Services,$65k - $125k,backend:dev:ethereum:nft:javascript,1mo
Super Rare Labs,Senior Software Engineer - Backend Services,$70k - $200k,backend:dev:senior:ethereum:nft,1mo
Super Rare Labs,Director of Community,$45k - $150k,community manager:non tech:executive:ethereum:nft,1mo
Super Rare Labs,Sr. Technical Recruiter,$40k - $70k,recruiter:non tech:senior:ethereum:nft,2mo
Super Rare Labs,Software Development Engineer in Test,$80k - $180k,quality assurance:dev:solidity:ethereum:nft,2mo
Super Rare Labs,Backend Engineer - API's,$60k - $170k,api:backend:dev:ethereum:nft,2mo
Super Rare Labs,Product Support Specialist,,customer support:remote:ethereum:nft,2mo
Super Rare Labs,Senior Frontend Architect,,architecture:front end:senior:react:ethereum,2mo
Super Rare Labs,Human Resources Business Partner (HRBP),$70k - $158k,ethereum:nft,3mo
Super Rare Labs,CRM & Marketing Automation Specialist,,crm:marketing:non tech:ethereum:nft,3mo
Super Rare Labs,Pop-up Gallery Project Manager - Contract,$80k - $150k,project manager:non tech:ethereum:nft,3mo
Super Rare Labs,Senior iOS Engineer,$51k - $109k,dev:ios:mobile:senior:ethereum,3mo
Super Rare Labs,Associate Curator,$70k - $158k,ethereum:nft,4mo
Super Rare Labs,Sr. Digital Marketing Manager,$46k - $109k,marketing:non tech:senior:ethereum:nft,4mo
Super Rare Labs,Protocol Engineer,$63k - $160k,dev:solidity:ethereum:nft:javascript,4mo
Super Rare Labs,Marketing Coordinator,$48k - $120k,marketing:non tech:ethereum:nft,5mo
Super Rare Labs,Social Media & Marketing Manager,$28k - $100k,marketing:non tech:social media:ethereum:nft,5mo
Super Rare Labs,Recruiting Coordinator,,recruiter:non tech:ethereum:nft,5mo
Super Rare Labs,Controller,,legal:ethereum:nft,5mo
Super Rare Labs,Brand and Marketing Copywriter,$25k - $96k,marketing:non tech:copywriting:ethereum:nft,5mo
Super Rare Labs,Sr. Product Manager,$80k - $150k,product manager:non tech:senior:ethereum:nft,5mo
Super Rare Labs,Product Designer,$80k - $150k,design:non tech:ethereum:nft,5mo
Super Rare Labs,Swag Merchandising Coordinator,$70k - $158k,ethereum:nft,5mo
Super Rare Labs,SEO Manager,,seo:non tech:ethereum:nft,5mo
Super Rare Labs,Head of Performance Marketing,$70k - $158k,executive:marketing:non tech:ethereum:nft,5mo
Super Rare Labs,Brand and Marketing Copywriter,$25k - $96k,marketing:non tech:copywriting:ethereum:nft,5mo
Super Rare Labs,Frontend Engineer,$50k - $144k,dev:front end:react:ethereum:nft,5mo
Super Rare Labs,DevOps Engineer,$95k - $145k,devops:dev:ethereum:nft:golang,5mo
Super Rare Labs,Associate Editor,$70k - $158k,ethereum:nft,5mo
Super Rare Labs,Product Support Specialist,,customer support:ethereum:nft,5mo
Super Rare Labs,Senior Mobile Engineer (Android),,android:mobile:dev:senior:ethereum,6mo
Super Rare Labs,Senior Data Engineer,$130k - $160k,data science:dev:senior:ethereum:nft,6mo
