Company Name,Job Title,Salary Range,Tags,Posted Before
Swiss Borg,Gaming Guild Junior product designer (Remote),$50k - $150k,remote:design:non tech:game dev:junior,1d
Swiss Borg,Gaming Guild Illustrator/graphic designer (Remote),$50k - $150k,remote:design:non tech:game dev:illustrator,1d
Swiss Borg,Gaming Guild Business developer (Remote),$70k - $200k,remote:dev:game dev,1d
Swiss Borg,Gaming Guild Happiness Manager (Remote),,remote:game dev:customer support,1d
Swiss Borg,Gaming Guild Product manager (Remote),$110k - $160k,remote:game dev:product manager:non tech,1d
Swiss Borg,Gaming Guild Growth hacker (Remote),$40k - $65k,remote:game dev:marketing:non tech,1d
Swiss Borg,Junior product designer,,design:non tech:junior:entry level,1d
Swiss Borg,Business developer (Remote),$70k - $180k,remote:dev,1d
Swiss Borg,XBorg illustrator/graphic designer,$65k - $80k,design:non tech:illustrator:nft,1d
Swiss Borg,Scala Engineer (Remote),,remote:dev:scala,7d
Swiss Borg,Growth Hacker - DeFi (Remote),$25k - $120k,remote:marketing:non tech:defi,7d
Swiss Borg,Senior Product Manager - Operations (Remote),,remote:operations:product manager:non tech:senior,8d
Swiss Borg,Marketing Manager - Passive Income (Remote),$25k - $120k,remote:marketing:non tech,13d
Swiss Borg,Engineering Manager (Remote),$79k - $200k,executive:remote,14d
Swiss Borg,French Relationship Manager (Remote),$25k - $120k,remote:marketing:non tech,14d
Swiss Borg,German Relationship Manager (Remote),$25k - $120k,remote:marketing:non tech,14d
Swiss Borg,Video Editing Magician,,video,15d
Swiss Borg,Regulatory Compliance Specialist (Remote),,compliance:legal:remote,16d
Swiss Borg,Regulatory Compliance Specialist (Remote),,compliance:legal:remote,16d
Swiss Borg,Ukraine Fast Track Application,$56k - $160k,remote,18d
Swiss Borg,Gaming Guild Community Manager (Remote),$40k - $101k,remote:community manager:non tech:game dev:nft,18d
Swiss Borg,Senior Product Manager - Invest With Purpose (Remote),$115k - $175k,remote:product manager:non tech:senior,18d
Swiss Borg,Social Media Specialist/Manager,$33k - $85k,social media:non tech,18d
Swiss Borg,Regulatory Compliance Specialist (Remote),,compliance:legal:remote,18d
Swiss Borg,Treasury Manager,$40k - $150k,finance,18d
Swiss Borg,Engineering Manager (Remote),$79k - $200k,executive:remote,18d
Swiss Borg,Junior Scala Engineer (Remote),$39k - $56k,remote:dev:junior:entry level:scala,18d
Swiss Borg,Financial Controller,,legal:finance,18d
Swiss Borg,Payments Operations Manager,$60k - $200k,operations,18d
Swiss Borg,Payments Officer,,finance:legal,18d
Swiss Borg,Payments Officer,,finance:legal,18d
Swiss Borg,Payments Officer,,finance:legal,18d
Swiss Borg,Customer Support Manager,$40k - $80k,customer support,18d
Swiss Borg,Junior KYC analyst,,kyc:analyst:junior:entry level,18d
Swiss Borg,Junior KYC analyst,,kyc:analyst:junior:entry level,18d
Swiss Borg,Junior KYC analyst,,kyc:analyst:junior:entry level,18d
Swiss Borg,Spanish Community Advisor (Remote),$40k - $101k,remote:community manager:non tech,18d
Swiss Borg,German Relationship Manager (Remote),$25k - $120k,remote:marketing:non tech,18d
Swiss Borg,German Community Advisor (Remote),$40k - $101k,remote:community manager:non tech,18d
Swiss Borg,French Community Advisor (Remote),$40k - $101k,remote:community manager:non tech,18d
Swiss Borg,Influencer Marketing Specialist (Remote - French),$25k - $120k,remote:marketing:non tech,18d
