Company Name,Job Title,Salary Range,Tags,Posted Before
Sygnum Bank Ag,People Operations Manager,$60k - $200k,operations,27d
Sygnum Bank Ag,(Junior) Compliance Officer 80-100%,,compliance:junior:entry level:ethereum,28d
Sygnum Bank Ag,Blockchain Engineer,$52k - $160k,dev:blockchain:solidity:node,30d
Sygnum Bank Ag,Business Management Intern – Digital Assets Custody & Decentralized Finance (DeFi),,finance:intern:entry level:defi:ethereum,1mo
Sygnum Bank Ag,Application Security and Cybersecurity Incident Manager,$95k - $200k,security,1mo
Sygnum Bank Ag,Intern - Site Reliability Engineering,,intern:entry level:sys admin:java,1mo
Sygnum Bank Ag,Site Reliability Engineer,$150k - $200k,dev:sys admin:java,1mo
Sygnum Bank Ag,DeFi Engineer,$80k - $160k,dev:defi:react:solidity:ethereum,1mo
Sygnum Bank Ag,People Operations Manager,$60k - $200k,operations,1mo
Sygnum Bank Ag,Tech Lead Engineering - Custody Platform,$100k - $220k,lead:tech lead:react:javascript:node,1mo
Sygnum Bank Ag,Product Manager - Onboarding and Crypto-Compliance,,compliance:product manager:non tech:crypto:ethereum,1mo
Sygnum Bank Ag,Senior Quantitative Trader,,senior:trader:ethereum,1mo
Sygnum Bank Ag,Internship - Investment Research,,intern:entry level:finance:ethereum,1mo
Sygnum Bank Ag,Credit & Lending Lead,$96k - $220k,lead:ethereum,1mo
Sygnum Bank Ag,VP Credit & Lending,$79k - $158k,executive:ethereum,1mo
Sygnum Bank Ag,Software Engineer,$57k - $140k,dev:react:ethereum:javascript,1mo
Sygnum Bank Ag,Backend Engineer,$65k - $150k,backend:dev:javascript:java,1mo
Sygnum Bank Ag,Senior Product Manager - Tokenization,$80k - $150k,product manager:non tech:senior:ethereum,1mo
Sygnum Bank Ag,Data Solutions Architect,$67k - $180k,architecture,1mo
Sygnum Bank Ag,"Full-stack Tech Lead, Singapore",$78k - $120k,full stack:lead:tech lead:react,1mo
Sygnum Bank Ag,"Full-stack Tech Lead, Singapore",$78k - $120k,full stack:lead:tech lead:react,1mo
Sygnum Bank Ag,Treasurer,$60k - $150k,ethereum,1mo
Sygnum Bank Ag,People Operations Manager,$60k - $200k,operations,1mo
Sygnum Bank Ag,Internship - Investment Research,,intern:entry level:finance:ethereum,1mo
Sygnum Bank Ag,"Full Stack Engineer, Singapore",$65k - $180k,dev:full stack:react:ethereum:javascript,1mo
Sygnum Bank Ag,"Full Stack Engineer, Singapore",$65k - $180k,dev:full stack:react:ethereum:javascript,1mo
Sygnum Bank Ag,Blockchain Engineer,$52k - $160k,dev:blockchain:solidity:node,1mo
Sygnum Bank Ag,Digital Asset Investment Researcher and Strategist,$15k - $150k,finance:ethereum,1mo
Sygnum Bank Ag,Senior UI UX Designer,$60k - $120k,design:non tech:senior:ethereum:javascript,1mo
Sygnum Bank Ag,"Portfolio Manager, Digital Assets",$15k - $150k,finance:ethereum,1mo
Sygnum Bank Ag,Internship - Investment Research,,intern:entry level:finance:ethereum,1mo
Sygnum Bank Ag,Full-time internship – Clients,,full time:intern:entry level:ethereum,1mo
Sygnum Bank Ag,"Relationship Manager EAM & MFO, Suisse Romandie Market",$48k - $120k,marketing:non tech:ethereum,1mo
Sygnum Bank Ag,Public Relations Manger,$45k - $130k,marketing:non tech,1mo
Sygnum Bank Ag,Internship - IT Infrastructure & Services 6 months,,intern:entry level,1mo
Sygnum Bank Ag,Senior crypto writer and editor,$90k - $110k,senior:crypto:ethereum,1mo
Sygnum Bank Ag,Business Management Intern – Digital Assets Custody & Decentralized Finance (DeFi),,finance:intern:entry level:defi:ethereum,1mo
Sygnum Bank Ag,Tech Lead - Software Engineering,$140k - $220k,lead:dev:tech lead:react,1mo
Sygnum Bank Ag,"Relationship Manager EAM & MFO, Suisse Romandie Market",$48k - $120k,marketing:non tech:ethereum,1mo
Sygnum Bank Ag,Intern - Site Reliability Engineering,,intern:entry level:sys admin:java,1mo
Sygnum Bank Ag,Business Management Intern – Digital Assets Custody & Decentralized Finance (DeFi),,finance:intern:entry level:defi:ethereum,1mo
Sygnum Bank Ag,(Junior) Compliance Officer 80-100%,,compliance:junior:entry level:ethereum,1mo
Sygnum Bank Ag,B2B Intern,,intern:entry level:ethereum,1mo
Sygnum Bank Ag,"(Junior) Relationship Manager EAM & MFO, Suisse Romandie Market",$20k - $30k,junior:entry level:marketing:non tech:ethereum,1mo
Sygnum Bank Ag,"VP, Asset Management Sales",$40k - $150k,sales:non tech:executive:ethereum,1mo
Sygnum Bank Ag,VP Credit & Lending,$79k - $158k,executive:ethereum,2mo
Sygnum Bank Ag,DeFi Engineer,$80k - $160k,dev:defi:react:solidity:ethereum,2mo
Sygnum Bank Ag,Senior Quantitative Trader,,senior:trader:ethereum,2mo
Sygnum Bank Ag,Site Reliability Engineer,$150k - $200k,dev:sys admin:java,2mo
Sygnum Bank Ag,Infrastructure Architect,$67k - $180k,architecture,2mo
Sygnum Bank Ag,"VP/SVP, Product Manager - Digital Asset Platform",$135k - $170k,product manager:non tech:executive,2mo
Sygnum Bank Ag,Vendor & Workforce Manager – Tech,,,2mo
Sygnum Bank Ag,Credit & Lending Lead,$96k - $220k,lead:ethereum,2mo
Sygnum Bank Ag,Intern - Site Reliability Engineering,,intern:entry level:sys admin:java,2mo
Sygnum Bank Ag,Senior Operations Specialist,,operations:senior:ethereum,2mo
Sygnum Bank Ag,UI/UX Designer,$50k - $150k,design:non tech,2mo
Sygnum Bank Ag,Product Manager (Onboarding and Client Lifecycle),$80k - $150k,product manager:non tech:ethereum,2mo
Sygnum Bank Ag,Executive Director - UAE,$79k - $158k,executive:ethereum,2mo
Sygnum Bank Ag,Senior Press Officer,$78k - $200k,senior,2mo
Sygnum Bank Ag,Tech Lead Engineering - Custody Platform,$100k - $220k,lead:tech lead:react:javascript:node,2mo
Sygnum Bank Ag,Risk Officer,$60k - $150k,ethereum,2mo
Sygnum Bank Ag,Product Manager – Digital Assets Custody,,finance:product manager:non tech:ethereum,2mo
Sygnum Bank Ag,Junior Relationship Manager DLT & FinTech Companies (100%),$40k - $67k,finance:junior:entry level:marketing:non tech,2mo
Sygnum Bank Ag,Senior Product Manager - Tokenization,$80k - $150k,product manager:non tech:senior:ethereum,2mo
Sygnum Bank Ag,Senior Product Manager - Tokenization,$80k - $150k,product manager:non tech:senior:ethereum,2mo
Sygnum Bank Ag,Application Security and Cybersecurity Incident Manager,$95k - $200k,security,2mo
Sygnum Bank Ag,Vendor & Workforce Manager – Tech,,,2mo
Sygnum Bank Ag,"Full Stack Engineer, Singapore",$65k - $180k,dev:full stack:react:ethereum:javascript,2mo
Sygnum Bank Ag,"VP/SVP, Product Manager - Digital Asset Platform",$135k - $170k,product manager:non tech:executive,2mo
Sygnum Bank Ag,Data Solutions Architect,$67k - $180k,architecture,2mo
Sygnum Bank Ag,Blockchain Engineer,$52k - $160k,dev:blockchain:solidity:node,2mo
Sygnum Bank Ag,People Operations Manager,$60k - $200k,operations,2mo
Sygnum Bank Ag,"(Junior) Relationship Manager EAM & MFO, Suisse Romandie Market",$20k - $30k,junior:entry level:marketing:non tech:ethereum,2mo
Sygnum Bank Ag,Site Reliability Engineer,$150k - $200k,dev:sys admin:java,2mo
Sygnum Bank Ag,"Senior Associate/Vice-President, Strategic Digital Assets Solutions",,finance:senior:ethereum,2mo
Sygnum Bank Ag,Senior UI UX Designer,$60k - $120k,design:non tech:senior:ethereum:javascript,2mo
Sygnum Bank Ag,Tokenization Associate/Senior Associate,$80k - $200k,senior:ethereum,2mo
Sygnum Bank Ag,Senior UI UX Designer,$60k - $120k,design:non tech:senior:ethereum:javascript,2mo
Sygnum Bank Ag,Head of Sales and Client Services,$40k - $150k,executive:sales:non tech:ethereum,2mo
Sygnum Bank Ag,Intern - Site Reliability Engineering,,intern:entry level:sys admin:java,2mo
Sygnum Bank Ag,(Junior) Relationship Manager EAM & MFO,$40k - $67k,finance:junior:entry level:marketing:non tech,2mo
Sygnum Bank Ag,Product Manager – Digital Assets Custody,,finance:product manager:non tech:ethereum,2mo
Sygnum Bank Ag,Infrastructure Architect,$67k - $180k,architecture,2mo
Sygnum Bank Ag,Internship - IT Infrastructure & Services 6 months,,intern:entry level,2mo
Sygnum Bank Ag,DeFi Engineer,$80k - $160k,dev:defi:react:solidity:ethereum,2mo
Sygnum Bank Ag,Tech Lead - Blockchain Protocol & Staking,$78k - $118k,lead:tech lead:blockchain:react:javascript,2mo
Sygnum Bank Ag,Business Management Intern – Digital Assets Custody & Decentralized Finance (DeFi),,finance:intern:entry level:defi:ethereum,2mo
Sygnum Bank Ag,Junior Sales Trader,$78k - $93k,junior:entry level:sales:non tech:trader,2mo
Sygnum Bank Ag,Team Lead - Infrastructure Services,$60k - $200k,lead,2mo
Sygnum Bank Ag,Head Blockchain Engineering,$60k - $110k,executive:blockchain:solidity:javascript,2mo
Sygnum Bank Ag,B2B Intern,,intern:entry level:ethereum,2mo
Sygnum Bank Ag,DeFi Engineer,$80k - $160k,dev:defi:react:solidity:ethereum,2mo
Sygnum Bank Ag,"Digital Assets Operations Team Leader, Singapore",,finance:lead:operations:ethereum,2mo
Sygnum Bank Ag,Internship – Clients,,intern:entry level:ethereum,2mo
Sygnum Bank Ag,Senior Product Manager - Tokenization,$80k - $150k,product manager:non tech:senior:ethereum,2mo
Sygnum Bank Ag,Corporate Communications Manager,$45k - $130k,marketing:non tech,2mo
Sygnum Bank Ag,"Associate, CEO Office",$79k - $158k,executive:ethereum,2mo
Sygnum Bank Ag,Internship - IT Infrastructure & Services 6 months,,intern:entry level,2mo
