Company Name,Job Title,Salary Range,Tags,Posted Before
Tangany,Frontend Web Developer,$50k - $144k,dev:front end:react:vue,27d
Tangany,Cloud and Software Security Engineer,,cloud:dev:security:ethereum,29d
Tangany,Backend (Crypto) Software Developer,$90k - $250k,backend:dev:crypto:ethereum:javascript,1mo
Tangany,Backend (Crypto) Software Developer,$90k - $250k,backend:dev:crypto:ethereum:javascript,1mo
Tangany,Key Account Manager m/f/d Munich/Remote,,remote:account manager,1mo
Tangany,Head Of (Crypto) Cloud and DevOps Operations,,executive:cloud:devops:operations:crypto,1mo
Tangany,Crypto Regulatory Legal Counsel,,legal:crypto:remote,1mo
Tangany,Information Security Officer (ISO) (w/m/d),$95k - $250k,security:remote,1mo
Tangany,Head Of (Crypto) Cloud and DevOps Operations,,executive:cloud:devops:operations:crypto,1mo
Tangany,Head Of Engineering,$79k - $158k,executive:remote:ethereum:javascript:node,1mo
Tangany,Cloud and Software Security Engineer,,cloud:dev:security:ethereum:remote,1mo
Tangany,Information Security Officer (ISO) (w/m/d),$95k - $250k,security:remote,1mo
Tangany,Product Manager m/f/d Munich/Remote,$115k - $175k,remote:product manager:non tech,1mo
Tangany,Backend (Crypto) Software Developer,$90k - $250k,backend:dev:crypto:ethereum:javascript,1mo
Tangany,Head Of (Crypto) Cloud and DevOps Engineer,,executive:cloud:devops:dev:crypto,1mo
Tangany,Cloud and Software Security Engineer,,cloud:dev:security:ethereum:remote,1mo
Tangany,Crypto Regulatory Legal Counsel,,legal:crypto:remote,2mo
Tangany,Key Account Manager m/f/d Munich/Remote,,remote:account manager,2mo
Tangany,(Junior / Senior) Sales & Key Account Manager m/f/d Munich/Remote,,remote:account manager:junior:entry level:sales,2mo
Tangany,Technical Support Engineer,,dev:customer support:remote,2mo
Tangany,Head Of (Crypto) Cloud and DevOps Engineer,,executive:cloud:devops:dev:crypto,2mo
Tangany,Backend (Crypto) Software Developer,$90k - $250k,backend:dev:crypto:ethereum:javascript,2mo
Tangany,Head Of (Crypto) Cloud and DevOps Engineer,,executive:cloud:devops:dev:crypto,2mo
Tangany,Head Of (Crypto) Cloud and DevOps Engineer,,executive:cloud:devops:dev:crypto,2mo
Tangany,Lead Crypto Software Engineer,$56k - $79k,dev:lead:crypto:remote:ethereum,2mo
Tangany,Cloud and Software Security Engineer,,cloud:dev:security:ethereum:remote,2mo
Tangany,Data (Crypto) Analyst (f/m/d),,analyst:crypto:remote,2mo
Tangany,Product Manager Crypto Trading m/f/d Munich/Remote,$115k - $175k,remote:product manager:non tech:crypto,2mo
Tangany,Cloud Engineer (w/m/d),,cloud:dev:node:remote,2mo
Tangany,Cloud Engineer (w/m/d),,cloud:dev:node:remote,2mo
Tangany,Backend Software Developer or Web Services Developer (w/m/d),$65k - $125k,backend:dev:ethereum:javascript:node,2mo
Tangany,(Junior / Senior) Sales & Key Account Manager m/f/d Munich/Remote,,remote:account manager:junior:entry level:sales,2mo
Tangany,Lead Software Engineer Backend,$100k - $180k,backend:dev:lead:remote:ethereum,2mo
Tangany,Data (Crypto) Analyst (f/m/d),,analyst:crypto:remote,2mo
Tangany,Cloud and Software Security Engineer,,cloud:dev:security:ethereum:remote,2mo
Tangany,Technical Support Engineer,,dev:customer support:remote,2mo
Tangany,Lead Cloud and DevOps Engineer,,cloud:devops:dev:lead:remote,2mo
Tangany,Backend Software Developer or Web Services Developer (w/m/d),$54k - $81k,backend:dev:ethereum:javascript:node,2mo
Tangany,(Junior / Senior) Sales & Key Account Manager m/f/d Munich/Remote,,remote:account manager:junior:entry level:sales,2mo
Tangany,Product Manager m/f/d Munich/Remote,$115k - $175k,remote:product manager:non tech,2mo
Tangany,Cloud Engineer (w/m/d),,cloud:dev:node:remote,2mo
