Company Name,Job Title,Salary Range,Tags,Posted Before
Terraform Labs,Crypto Prop/Operations Trader,,operations:trader:crypto:remote:ethereum,3d
Terraform Labs,Graphic Designer,$50k - $135k,design:non tech:remote:ethereum,7d
Terraform Labs,Product Designer (Anchor),$50k - $135k,design:non tech:remote:ethereum,7d
Terraform Labs,Smart Contract Engineer (Nebula),$80k - $200k,dev:smart contract:remote:ethereum:rust,15d
Terraform Labs,Core Engineer,$60k - $158k,dev:ethereum,16d
Terraform Labs,Front End Engineer (Moonshots),$22k - $120k,dev:front end:remote:ethereum,16d
Terraform Labs,Visual Designer,$50k - $135k,design:non tech:remote:ethereum,16d
Terraform Labs,Terra Smart Contract Developer (Moonshots),$80k - $200k,dev:smart contract:remote:ethereum,19d
Terraform Labs,R&D Engineer,$60k - $150k,dev:remote:ethereum,26d
Terraform Labs,"Program Manager, Grants",$79k - $158k,executive:remote:ethereum,26d
Terraform Labs,Mobile Engineer,$65k - $180k,dev:mobile:remote:ethereum,28d
Terraform Labs,General Job,$60k - $145k,remote:ethereum,1mo
Terraform Labs,Communications Associate,$60k - $145k,remote:ethereum,1mo
Terraform Labs,Technical Recruiter,,recruiter:non tech:ethereum:remote,1mo
Terraform Labs,Ecosystem Growth Analyst,,analyst:marketing:non tech:remote:ethereum,1mo
Terraform Labs,Ethereum Smart Contract Developer,$80k - $200k,dev:smart contract:remote:ethereum,1mo
Terraform Labs,Terra Smart Contract Developer,$80k - $200k,dev:smart contract:remote:ethereum,1mo
Terraform Labs,HR Office Manager,$60k - $120k,hr:non tech:remote:ethereum,1mo
Terraform Labs,Technical QA Engineer,,dev:quality assurance:remote:ethereum,1mo
Terraform Labs,Web Engineer,$60k - $150k,dev:remote:ethereum,1mo
Terraform Labs,Ecosystem Growth Analyst,,analyst:marketing:non tech:remote:ethereum,1mo
Terraform Labs,Protocol Security Engineer (Anchor),$95k - $250k,dev:security:remote:ethereum,1mo
Terraform Labs,Front End Engineer (Anchor),$22k - $120k,dev:front end:remote:ethereum,1mo
Terraform Labs,FP&A Manager,$60k - $145k,remote:ethereum,1mo
Terraform Labs,Ecosystem Success Project Manager,$56k - $150k,project manager:non tech:remote:ethereum,1mo
Terraform Labs,Developer Relations Engineer,,customer support:dev:remote:react:rust,1mo
Terraform Labs,Developer Documentation Writer,,dev:analyst:remote,1mo
Terraform Labs,Front End Engineer (Anchor),$22k - $120k,dev:front end:remote,1mo
Terraform Labs,Ecosystem Growth,$25k - $120k,marketing:non tech:remote,1mo
Terraform Labs,Mobile Engineer,$65k - $180k,dev:mobile:remote,1mo
Terraform Labs,Developer Documentation Writer,,dev:analyst:remote:rust,3mo
Terraform Labs,Developer Marketing Lead,,dev:lead:marketing:non tech:remote,3mo
Terraform Labs,BI/Analytics Lead,,stats:lead:remote,3mo
Terraform Labs,Events Leader,$95k - $200k,lead:remote,3mo
Terraform Labs,Product Manager,$115k - $175k,product manager:non tech:remote,6mo
Terraform Labs,Full-stack Engineer,$39k - $200k,dev:full stack:solidity:ethereum:remote,6mo
Terraform Labs,Communications Associate,$56k - $160k,remote,6mo
Terraform Labs,BD / Ecosystem Operations Associate,$60k - $200k,operations,6mo
Terraform Labs,Business Development Manager,$26k - $140k,sales:non tech,6mo
