Company Name,Job Title,Salary Range,Tags,Posted Before
Uphold,"Security & Privacy Risk Analyst - Governance, Risk, and Compliance (GRC)",,compliance:analyst:security,29d
Uphold,Junior FinOps Analyst,$10k - $13k,analyst:junior:entry level:javascript,1mo
Uphold,Senior FinOps Analyst,$150k - $185k,analyst:senior:javascript,2mo
Uphold,Senior Privacy Program Manager,$46k - $110k,executive:senior,5mo
Uphold,Senior Third Party Risk Analyst,$150k - $185k,analyst:senior,6mo
Uphold,Developer Evangelist,$60k - $180k,dev,6mo
Uphold,"Manager of Strategic Projects, Compliance",,compliance,6mo
Uphold,Data Engineer,$70k - $160k,data science:dev,6mo
Uphold,Customer Service CRM Manager,,crm:customer support,6mo
Uphold,"Engineering Manager, Equities",$70k - $180k,executive,6mo
Uphold,"SVP, Accounting & Finance",$120k - $150k,accounting:finance,6mo
Uphold,Backend Engineer,$65k - $150k,backend:dev:javascript:node:golang,6mo
Uphold,"Digital Marketing Manager, UK & EU",$45k - $130k,marketing:non tech,6mo
Uphold,Senior Network Engineer,$80k - $200k,dev:senior,6mo
Uphold,Frontend Engineer,$50k - $144k,dev:front end:react:react native:javascript,6mo
Uphold,Quality Assurance Analyst,$40k - $120k,analyst,6mo
Uphold,Digital Marketing Manager UK/EU,$45k - $130k,marketing:non tech,6mo
Uphold,Senior Fraud Team Lead,,security:lead:senior,6mo
Uphold,"Product Manager, Compliance",,compliance:product manager:non tech,6mo
Uphold,Fraud Analyst,$60k - $185k,analyst:security,6mo
Uphold,Junior Backend Engineer - Connectivity,$28k - $39k,backend:dev:junior:entry level:react,6mo
Uphold,Sr. Frontend Engineer,$70k - $190k,dev:front end:senior:react:node,6mo
Uphold,Head of CRM,,executive:crm,6mo
Uphold,Junior FinOps Analyst,$10k - $13k,analyst:junior:entry level:javascript,6mo
Uphold,Senior Backend Engineer - Connectivity Team,$70k - $200k,backend:dev:senior:react:ruby,6mo
Uphold,Staff Accountant,$25k - $150k,accounting,6mo
Uphold,Social Media Manager,$33k - $85k,social media:non tech,6mo
Uphold,Senior Trading Systems Engineer,$150k - $200k,dev:senior:sys admin,6mo
Uphold,Case Analyst,$40k - $120k,analyst,6mo
Uphold,"Director, Human Resources",$70k - $180k,executive,6mo
Uphold,"Product Manager (Core Crypto / DeFi, ETH2, PoS)",$60k - $160k,product manager:non tech:crypto:defi,6mo
Uphold,Crypto Channel Director,$50k - $158k,executive:crypto,6mo
Uphold,Senior DevOps Engineer,$120k - $200k,devops:dev:senior,6mo
Uphold,Blockchain Engineer,$52k - $160k,dev:blockchain:solidity:javascript:node,6mo
Uphold,Legal Admin,$24k - $140k,legal,6mo
Uphold,Cryptocurrency Investigations Analyst,$20k - $120k,analyst:crypto,6mo
