Company Name,Job Title,Salary Range,Tags,Posted Before
Voodoo,Lead Influence Marketing Manager,$50k - $120k,lead:marketing:non tech,1d
Voodoo,Lead Influence Marketing Manager,$50k - $120k,lead:marketing:non tech,1d
Voodoo,Lead Concept Artist - Casual Games,$60k - $200k,lead,2d
Voodoo,Lead Influence Marketing Manager,$50k - $120k,lead:marketing:non tech,3d
Voodoo,Senior 3D Game Artist - Casual Games,,vfx:non tech:game dev:senior,7d
Voodoo,HR Projects Manager,,hr:non tech:project manager,8d
Voodoo,Senior Hyper Casual Game Artist,$70k - $150k,game dev:senior,9d
Voodoo,Senior Game Artist - Blitz,$70k - $150k,game dev:senior,9d
Voodoo,UA Associate,$50k - $158k,,11d
Voodoo,Senior Backend Engineer - Blitz,$70k - $200k,backend:dev:senior,11d
Voodoo,Senior UA Associate,$78k - $200k,senior,11d
Voodoo,Senior UA Associate,$78k - $200k,senior,12d
Voodoo,Lead UA Manager,$60k - $200k,lead,15d
Voodoo,Senior/Lead VFX Artist (Casual/Midcore games),,lead:senior:vfx:remote,15d
Voodoo,Growth Marketing Manager - Blitz,$45k - $130k,marketing:non tech,15d
Voodoo,Lead User Acquisition Manager,$50k - $120k,lead:marketing:non tech,15d
Voodoo,Senior Back-end Software Engineer - Wizz,$70k - $200k,backend:dev:senior,15d
Voodoo,Studios Strategic Operation Manager - Hyper Casual Games,,,20d
Voodoo,Treasury Assistant,,,21d
Voodoo,Lead Creative Manager,$60k - $200k,lead,22d
Voodoo,Senior Backend Engineer - Blockchain,$70k - $200k,backend:dev:senior:blockchain,23d
Voodoo,Strategy & Operations Manager,$60k - $200k,operations,23d
Voodoo,Global Payroll Officer,$25k - $150k,accounting,23d
Voodoo,Game Artist - Hyper Casual Games,$50k - $150k,game dev,23d
Voodoo,Lead Creative Manager,$60k - $200k,lead,24d
Voodoo,Product Owner/Manager - Marketing & Growth,,product manager:non tech:marketing,27d
Voodoo,Lead Software Engineer - Player Journey Optimization team,$100k - $200k,dev:lead,27d
Voodoo,Senior Blockchain Game Developer - Unity,$70k - $150k,dev:game dev:senior:blockchain,28d
Voodoo,ASO/Marketing Artist,$45k - $130k,marketing:non tech,1mo
Voodoo,Contract Manager/Paralegal,,,1mo
Voodoo,Data Analyst,$36k - $72k,analyst:data science,1mo
Voodoo,Backend Developer,$60k - $180k,backend:dev,1mo
Voodoo,Product Manager - Blockchain,$35k - $120k,product manager:non tech:blockchain,1mo
Voodoo,Game Developer - Hyper Casual Gaming,$70k - $150k,dev:game dev:remote,1mo
Voodoo,UX / UI Designer - Blockchain,$100k - $200k,design:non tech:blockchain,1mo
Voodoo,Data Product Manager,$69k - $160k,product manager:non tech,1mo
Voodoo,Senior Game Artist,$70k - $150k,game dev:senior,1mo
Voodoo,Senior Game Developer,$70k - $150k,dev:game dev:senior,1mo
Voodoo,Blockchain Mobile SDK Engineer - Unity,,dev:mobile:blockchain,1mo
Voodoo,Junior data analyst (end-of-study internship),,analyst:data science:intern:entry level:junior,1mo
Voodoo,Blockchain Developer,$50k - $170k,dev:blockchain,1mo
Voodoo,Creative Director (Remote in Canada only),$79k - $200k,remote:executive,2mo
Voodoo,Creative Director (Remote in Canada only),$79k - $200k,remote:executive,2mo
Voodoo,Data Analyst,$45k - $120k,analyst:data science:remote,2mo
Voodoo,Freelance Marketing Developer,$85k - $120k,dev:marketing:non tech:remote,2mo
Voodoo,Marketing Video Artist,,marketing:non tech:video,2mo
Voodoo,Internship - Business Developer,$12k - $33k,dev:intern:entry level,2mo
Voodoo,Game Developer,$70k - $150k,dev:game dev,2mo
Voodoo,Senior Game Artist 3D,,vfx:game dev:senior,2mo
Voodoo,Analytics Engineer,,stats:dev:remote,2mo
Voodoo,Data Analyst,$45k - $120k,analyst:data science:remote,2mo
Voodoo,Analytics Engineer,,stats:dev:remote,2mo
Voodoo,Data Analyst,$36k - $72k,analyst:data science,2mo
Voodoo,Senior Game Product Manager - Optimization,$135k - $160k,game dev:product manager:non tech:senior,2mo
Voodoo,Analytics Engineer,,stats:dev:remote,2mo
Voodoo,Senior Game Artist,$70k - $150k,game dev:senior,2mo
Voodoo,Data Analyst,$45k - $120k,analyst:data science:remote,2mo
Voodoo,Senior Game Product Manager - Optimization,$135k - $160k,game dev:product manager:non tech:senior,2mo
Voodoo,Senior Game Developer,$70k - $150k,dev:game dev:senior,2mo
Voodoo,Senior Game Artist 3D,,vfx:game dev:senior:remote,2mo
Voodoo,Freelance Marketing Artist,$25k - $120k,marketing:non tech:remote,2mo
Voodoo,Senior Game Artist 3D,,vfx:game dev:senior:remote,2mo
Voodoo,Lead Software Engineer - Publishing Engineering team,$100k - $200k,dev:lead,3mo
Voodoo,UX Designer - Freelance,$50k - $150k,design:non tech,3mo
Voodoo,Senior Android Software Engineer - Wizz,,android:mobile:dev:senior,3mo
Voodoo,Blockchain Investment Manager,$35k - $225k,finance:blockchain,4mo
Voodoo,Blockchain Publishing Manager,$50k - $150k,blockchain,4mo
Voodoo,Blockchain Engineering,$50k - $150k,blockchain,4mo
