Company Name,Job Title,Salary Range,Tags,Posted Before
Wirex Limited,Administrative Specialist,$50k - $150k,,5h
Wirex Limited,Test2,$50k - $150k,,6d
Wirex Limited,Test1,$50k - $150k,,6d
Wirex Limited,System Administrator,$150k - $200k,sys admin,8d
Wirex Limited,Automation Engineer,$60k - $180k,dev,20d
Wirex Limited,Senior Project Coordinator,$78k - $200k,senior,21d
Wirex Limited,Regulatory Counsel,$24k - $140k,legal,23d
Wirex Limited,Product Manager,$69k - $160k,product manager:non tech,27d
Wirex Limited,Senior People Administrator,$78k - $200k,senior,1mo
Wirex Limited,Finance Associate,$40k - $150k,finance,1mo
Wirex Limited,Fraud Operations Analyst,,analyst:security:operations,2mo
Wirex Limited,Fraud Strategy Analyst,$60k - $185k,analyst:security,2mo
Wirex Limited,Junior Android Developer,,android:mobile:dev:junior:entry level,2mo
Wirex Limited,Junior iOS Developer,$51k - $109k,dev:ios:mobile:junior:entry level,2mo
Wirex Limited,People Advisor,,,2mo
Wirex Limited,AML Compliance Analyst,,compliance:analyst,2mo
Wirex Limited,FinCrime Analyst (KYC/AML),,kyc:analyst,2mo
Wirex Limited,Compliance Analyst,,compliance:analyst,2mo
Wirex Limited,KYC Compliance Analyst - USA remote,,compliance:kyc:remote:analyst,2mo
Wirex Limited,KYC Compliance Analyst,,compliance:kyc:analyst,2mo
Wirex Limited,Marketing & Social Media Specialist (Graduate),$24k - $48k,intern:entry level:marketing:non tech:social media,2mo
Wirex Limited,Social Media Manager (Fintech/Crytpo/DeFi),$50k - $100k,finance:social media:non tech:defi,2mo
Wirex Limited,System Product Owner (system transactions),$69k - $160k,product manager:non tech,2mo
Wirex Limited,iOS Developer,$51k - $109k,dev:ios:mobile,3mo
Wirex Limited,Product Designer,$50k - $150k,design:non tech,3mo
Wirex Limited,Lead Product Designer,$40k - $190k,design:non tech:lead,3mo
Wirex Limited,Illustrator,$25k - $75k,illustrator,3mo
Wirex Limited,Graphic Designer,$50k - $150k,design:non tech,3mo
Wirex Limited,Research Analyst,$40k - $120k,analyst,3mo
Wirex Limited,Middle QA Engineer (Mobile),,dev:mobile:quality assurance:java,4mo
Wirex Limited,Senior Solidity Engineer,$80k - $200k,dev:senior:solidity:ethereum,4mo
Wirex Limited,Senior Rust Developer,$120k - $210k,dev:rust:senior:solana:javascript,4mo
Wirex Limited,AML Compliance Analyst,,compliance:analyst,4mo
Wirex Limited,Senior Android Developer,,android:mobile:dev:senior,4mo
Wirex Limited,Regulatory Counsel,$24k - $140k,legal,5mo
Wirex Limited,Senior Talent Acquisition Specialist/Partner,$40k - $70k,senior:recruiter:non tech,5mo
Wirex Limited,Fraud Analyst,$60k - $185k,analyst:security,5mo
Wirex Limited,SAR's Compliance Analyst,,compliance:analyst,5mo
Wirex Limited,Global Head of People,$70k - $180k,executive,5mo
Wirex Limited,System Product Owner,$69k - $160k,product manager:non tech,5mo
Wirex Limited,HR Brand Manager,,marketing:non tech:hr,5mo
Wirex Limited,Copywriter,$13k - $45k,copywriting,5mo
Wirex Limited,People Partner,,,5mo
Wirex Limited,Android Team Lead,,android:mobile:lead,5mo
Wirex Limited,Customer Support Agents - Live Chats (shift job),,customer support:ethereum,5mo
Wirex Limited,Customer Support Agent (full-time),,customer support:full time,5mo
Wirex Limited,QA Engineer (Mobile),,dev:mobile:quality assurance:java,5mo
Wirex Limited,QA Engineer (Back-end),,backend:dev:quality assurance,5mo
Wirex Limited,Senior Technical Product Owner,$80k - $150k,product manager:non tech:senior,5mo
Wirex Limited,Domain Coordinator B2C,$100k - $150k,c:c plus plus,5mo
Wirex Limited,Senior IT Recruiter,$40k - $70k,recruiter:non tech:senior,5mo
Wirex Limited,Total Rewards Specialist,,,5mo
Wirex Limited,PE Accountant,$25k - $150k,accounting,5mo
Wirex Limited,Cyber Security Engineer,,dev:security:ruby:php:java,5mo
Wirex Limited,.NET Back-end Developer,,dot net:backend:dev,5mo
Wirex Limited,Middle .NET Back-end Developer,,dot net:backend:dev,5mo
Wirex Limited,Junior .Net Back-end Developer,,dot net:backend:dev:junior:entry level,5mo
Wirex Limited,Affiliate Marketing Manager,$45k - $130k,marketing:non tech,5mo
Wirex Limited,Paralegal,,,5mo
Wirex Limited,Global CFO,$40k - $150k,finance,5mo
Wirex Limited,Head of Risk and Governance,$70k - $180k,executive,5mo
Wirex Limited,Head of Internal Audit,$70k - $180k,executive,5mo
Wirex Limited,People & Business Operations Manager,$60k - $200k,operations,6mo
Wirex Limited,System Product Owner,$69k - $160k,product manager:non tech,6mo
